date,state,district,pincode,demo_age_5_17,demo_age_17_,match
01-03-2025,chhattisgarh,bastar,494115,24,416,False
01-03-2025,jammu and kashmir,srinagar,191123,10,91,False
01-03-2025,uttar pradesh,fatehpur,216221,56,1335,False
01-03-2025,tamil nadu,madurai,625705,14,381,False
01-03-2025,west bengal,murshidabad,742157,14,431,False
01-03-2025,bihar,nawada,805108,16,179,False
01-03-2025,kerala,kozhikode,673019,51,398,False
01-03-2025,bihar,patna,804454,39,383,False
01-03-2025,chhattisgarh,rajnandgaon,491666,32,1370,False
01-03-2025,madhya pradesh,panna,488051,22,333,False
01-03-2025,uttar pradesh,bulandshahr,202397,33,889,False
01-03-2025,gujarat,surat,394220,10,129,False
01-03-2025,gujarat,mahesana,382825,29,114,False
01-03-2025,uttar pradesh,firozabad,205145,41,1002,False
01-03-2025,uttar pradesh,bijnor,246768,49,183,False
01-03-2025,telangana,nagarkurnool,509401,49,146,False
01-03-2025,gujarat,mahesana,382840,31,128,False
01-03-2025,uttar pradesh,firozabad,205142,30,576,False
01-03-2025,uttar pradesh,farrukhabad,207501,43,1231,False
01-03-2025,mizoram,lunglei,796730,37,369,False
01-03-2025,madhya pradesh,alirajpur,457893,43,479,False
01-03-2025,gujarat,mahesana,382705,57,392,False
01-03-2025,uttar pradesh,bulandshahr,202399,27,356,False
01-03-2025,bihar,lakhisarai,811315,32,336,False
01-03-2025,tamil nadu,chennai,600112,14,219,False
01-03-2025,uttar pradesh,mainpuri,206303,36,715,False
01-03-2025,chhattisgarh,sukma,494111,93,627,False
01-03-2025,chhattisgarh,bijapur,494448,24,482,False
01-03-2025,uttar pradesh,bulandshahr,202392,98,910,False
01-03-2025,uttar pradesh,bulandshahr,202398,91,809,False
01-03-2025,bihar,bhagalpur,813206,23,225,False
01-03-2025,uttar pradesh,lucknow,227105,17,435,False
01-03-2025,arunachal pradesh,upper siang,792061,12,40,False
01-03-2025,uttar pradesh,kanpur dehat,209715,93,1013,False
01-03-2025,dadra and nagar haveli and daman and diu,diu,362520,11,50,False
01-03-2025,uttar pradesh,lucknow,227111,42,1204,False
01-03-2025,jammu and kashmir,udhampur,182117,12,153,False
01-07-2025,uttar pradesh,unnao,241503,365,3185,False
01-07-2025,madhya pradesh,bhopal,462420,58,506,False
01-09-2025,karnataka,bidar,585415,0,1,False
01-09-2025,kerala,alappuzha,688012,0,3,False
01-09-2025,kerala,kozhikode,673615,1,1,False
01-09-2025,madhya pradesh,dhar,454129,0,1,False
01-09-2025,madhya pradesh,gwalior,474005,4,16,False
01-09-2025,madhya pradesh,raisen,464776,4,10,False
01-09-2025,madhya pradesh,shajapur,465440,0,1,False
01-09-2025,madhya pradesh,umaria,484552,0,4,False
01-09-2025,maharashtra,chandrapur,441228,0,6,False
01-09-2025,maharashtra,mumbai,400036,0,1,False
01-09-2025,bihar,muzaffarpur,843144,0,7,False
01-09-2025,bihar,muzaffarpur,843146,1,7,False
01-09-2025,bihar,muzaffarpur,843153,2,8,False
01-09-2025,bihar,nawada,805104,10,99,False
01-09-2025,bihar,nawada,805130,10,80,False
01-09-2025,bihar,patna,803204,0,1,False
01-09-2025,bihar,patna,803206,0,20,False
01-09-2025,bihar,saran,841105,0,4,False
01-09-2025,bihar,sitamarhi,843351,0,3,False
01-09-2025,chhattisgarh,bastar,494441,0,1,False
01-09-2025,chhattisgarh,raipur,492006,2,7,False
01-09-2025,chhattisgarh,uttar bastar kanker,494665,0,1,False
01-09-2025,chhattisgarh,uttar bastar kanker,494669,0,1,False
01-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396193,4,1,False
01-09-2025,dadra and nagar haveli and daman and diu,diu,362570,0,1,False
01-09-2025,gujarat,amreli,362730,0,3,False
01-09-2025,gujarat,amreli,364465,0,1,False
01-09-2025,gujarat,gandhinagar,382024,2,4,False
01-09-2025,gujarat,gandhinagar,382715,0,2,False
01-09-2025,gujarat,junagadh,362229,0,4,False
01-09-2025,gujarat,junagadh,362266,0,3,False
01-09-2025,gujarat,mahesana,382165,2,13,False
01-09-2025,gujarat,mahesana,382705,0,11,False
01-09-2025,gujarat,mahesana,382815,0,1,False
01-09-2025,gujarat,mahesana,384350,0,3,False
01-09-2025,gujarat,navsari,396424,0,4,False
01-09-2025,gujarat,surendranagar,363002,0,1,False
01-09-2025,haryana,ambala,133006,1,0,False
01-09-2025,himachal pradesh,kangra,176219,0,10,False
01-09-2025,himachal pradesh,mandi,171303,0,2,False
01-09-2025,himachal pradesh,mandi,174403,0,4,False
01-09-2025,himachal pradesh,mandi,176126,0,6,False
01-09-2025,himachal pradesh,shimla,173216,0,2,False
01-09-2025,himachal pradesh,shimla,173219,0,1,False
01-09-2025,jammu and kashmir,pulwama,192306,3,5,False
01-09-2025,jammu and kashmir,udhampur,182117,0,1,False
01-09-2025,jharkhand,dhanbad,828308,0,4,False
01-09-2025,jharkhand,dumka,814145,4,59,False
01-09-2025,jharkhand,ramgarh,829117,5,26,False
01-09-2025,maharashtra,thane,401104,0,1,False
01-09-2025,maharashtra,thane,421003,0,4,False
01-09-2025,mizoram,aizawl,796005,2,12,False
01-09-2025,mizoram,lunglei,796581,0,1,False
01-09-2025,mizoram,mamit,796471,0,2,False
01-09-2025,odisha,nuapada,766117,0,1,False
01-09-2025,punjab,jalandhar,144004,0,11,False
01-09-2025,punjab,ludhiana,142028,1,0,False
01-09-2025,rajasthan,banswara,327608,0,2,False
01-09-2025,rajasthan,jaipur,302032,0,1,False
01-09-2025,andhra pradesh,east godavari,507111,0,1,False
01-09-2025,andhra pradesh,east godavari,507134,0,5,False
01-09-2025,andhra pradesh,eluru,507121,1,1,False
01-09-2025,andhra pradesh,west godavari,507135,0,2,False
01-09-2025,arunachal pradesh,kamle,791130,0,10,False
01-09-2025,arunachal pradesh,longding,786631,1,2,False
01-09-2025,arunachal pradesh,upper siang,792061,0,1,False
01-09-2025,assam,cachar,788008,0,2,False
01-09-2025,bihar,banka,813127,0,4,False
01-09-2025,bihar,bhagalpur,813206,0,12,False
01-09-2025,bihar,bhagalpur,813223,1,20,False
01-09-2025,bihar,bhagalpur,813225,0,17,False
01-09-2025,bihar,bhagalpur,813227,0,7,False
01-09-2025,bihar,bhojpur,802237,0,4,False
01-09-2025,bihar,bhojpur,802315,1,18,False
01-09-2025,uttar pradesh,azamgarh,224166,1,1,False
01-09-2025,uttar pradesh,baghpat,250645,8,31,False
01-09-2025,uttar pradesh,bara banki,227301,15,43,False
01-09-2025,uttar pradesh,budaun,202520,4,11,False
01-09-2025,uttar pradesh,budaun,202521,0,1,False
01-09-2025,uttar pradesh,bulandshahr,202389,5,12,False
01-09-2025,uttar pradesh,bulandshahr,202390,5,29,False
01-09-2025,uttar pradesh,bulandshahr,202391,0,9,False
01-09-2025,uttar pradesh,bulandshahr,202392,12,33,False
01-09-2025,uttar pradesh,bulandshahr,202398,8,31,False
01-09-2025,uttar pradesh,bulandshahr,245401,1,14,False
01-09-2025,uttar pradesh,bulandshahr,245405,5,11,False
01-09-2025,uttar pradesh,bulandshahr,245409,4,19,False
01-09-2025,uttar pradesh,bulandshahr,245412,4,21,False
01-09-2025,uttar pradesh,farrukhabad,207505,3,12,False
01-09-2025,uttar pradesh,fatehpur,216221,8,64,False
01-09-2025,uttar pradesh,firozabad,205130,2,20,False
01-09-2025,uttar pradesh,firozabad,205142,6,27,False
01-09-2025,uttar pradesh,firozabad,205151,17,60,False
01-09-2025,uttar pradesh,kanpur nagar,209201,0,1,False
01-09-2025,uttar pradesh,lucknow,227101,2,19,False
01-09-2025,uttar pradesh,lucknow,227125,13,59,False
01-09-2025,uttar pradesh,lucknow,227202,1,36,False
01-09-2025,uttar pradesh,lucknow,227207,0,1,False
01-09-2025,uttar pradesh,lucknow,227305,5,67,False
01-09-2025,uttar pradesh,lucknow,227309,5,17,False
01-09-2025,uttar pradesh,mainpuri,205142,0,2,False
01-09-2025,uttar pradesh,mainpuri,206301,3,44,False
01-09-2025,uttar pradesh,meerut,250515,0,1,False
01-09-2025,uttar pradesh,sambhal,202411,0,2,False
01-09-2025,uttar pradesh,sambhal,202522,9,36,False
01-09-2025,uttar pradesh,unnao,209506,7,17,False
01-09-2025,uttar pradesh,unnao,241501,22,105,False
01-09-2025,uttarakhand,haridwar,246763,0,1,False
01-09-2025,uttarakhand,haridwar,247662,4,12,False
01-09-2025,west bengal,bankura,722169,0,4,False
01-09-2025,west bengal,bankura,722170,0,1,False
01-09-2025,west bengal,bankura,722177,0,8,False
01-09-2025,west bengal,bankura,722179,0,3,False
01-09-2025,west bengal,bankura,722182,0,5,False
01-09-2025,west bengal,birbhum,731251,0,3,False
01-09-2025,west bengal,cooch behar,735236,0,2,False
01-09-2025,west bengal,cooch behar,736118,1,9,False
01-09-2025,west bengal,dakshin dinajpur,733154,0,4,False
01-09-2025,west bengal,dakshin dinajpur,733155,0,1,False
01-09-2025,west bengal,hooghly,712418,0,1,False
01-09-2025,west bengal,hooghly,712705,1,17,False
01-09-2025,west bengal,hooghly,712708,1,5,False
01-09-2025,west bengal,jalpaiguri,735139,0,13,False
01-09-2025,west bengal,jalpaiguri,735306,1,15,False
01-09-2025,west bengal,malda,732150,4,12,False
01-09-2025,west bengal,malda,732213,0,3,False
01-09-2025,west bengal,murshidabad,742139,0,3,False
01-09-2025,west bengal,murshidabad,742176,0,2,False
01-09-2025,west bengal,murshidabad,742183,0,1,False
01-09-2025,west bengal,murshidabad,742229,0,7,False
01-09-2025,west bengal,murshidabad,742231,1,6,False
01-09-2025,west bengal,murshidabad,742403,0,3,False
01-09-2025,west bengal,north 24 parganas,743195,2,7,False
01-09-2025,west bengal,paschim medinipur,721123,0,7,False
01-09-2025,west bengal,paschim medinipur,721258,5,56,False
01-09-2025,west bengal,paschim medinipur,721518,0,2,False
01-09-2025,west bengal,purba medinipur,721669,0,2,False
01-09-2025,west bengal,purulia,723144,0,5,False
01-09-2025,west bengal,south 24 parganas,743384,1,14,False
01-09-2025,west bengal,south 24 parganas,743396,1,6,False
01-09-2025,west bengal,uttar dinajpur,733144,4,16,False
01-09-2025,west bengal,uttar dinajpur,733150,0,3,False
01-09-2025,west bengal,uttar dinajpur,733157,1,17,False
01-09-2025,west bengal,uttar dinajpur,733211,0,45,False
01-09-2025,west bengal,uttar dinajpur,733214,2,24,False
02-09-2025,andhra pradesh,alluri sitharama raju,507129,0,3,False
02-09-2025,rajasthan,pratapgarh,313605,5,42,False
02-09-2025,rajasthan,udaipur,313015,3,6,False
02-09-2025,tamil nadu,chennai,600108,1,2,False
02-09-2025,tamil nadu,chennai,600114,0,5,False
02-09-2025,tamil nadu,kancheepuram,603202,3,42,False
02-09-2025,tamil nadu,madurai,625502,0,2,False
02-09-2025,tamil nadu,salem,636104,3,10,False
02-09-2025,tamil nadu,viluppuram,605102,0,4,False
02-09-2025,telangana,mancherial,504215,2,34,False
02-09-2025,telangana,nalgonda,508203,1,2,False
02-09-2025,uttar pradesh,azamgarh,276401,0,3,False
02-09-2025,uttar pradesh,bara banki,227301,10,44,False
02-09-2025,uttar pradesh,bara banki,227302,1,19,False
02-09-2025,uttar pradesh,basti,272170,10,45,False
02-09-2025,uttar pradesh,budaun,202524,9,39,False
02-09-2025,uttar pradesh,budaun,243621,8,25,False
02-09-2025,uttar pradesh,bulandshahr,202396,6,33,False
02-09-2025,andhra pradesh,west godavari,507121,0,2,False
02-09-2025,arunachal pradesh,tirap,786629,0,1,False
02-09-2025,arunachal pradesh,upper siang,792061,0,1,False
02-09-2025,assam,dibrugarh,786005,1,4,False
02-09-2025,bihar,banka,813116,1,3,False
02-09-2025,bihar,bhagalpur,813113,1,17,False
02-09-2025,bihar,madhepura,852210,10,115,False
02-09-2025,bihar,muzaffarpur,843147,0,2,False
02-09-2025,bihar,nalanda,805130,0,10,False
02-09-2025,bihar,nawada,805130,8,121,False
02-09-2025,bihar,patna,803206,2,13,False
02-09-2025,bihar,patna,804454,3,39,False
02-09-2025,bihar,samastipur,848116,0,1,False
02-09-2025,bihar,samastipur,848220,0,4,False
02-09-2025,bihar,sheikhpura,811315,0,2,False
02-09-2025,chhattisgarh,mohla-manpur-ambagarh chouki,491666,4,8,False
02-09-2025,chhattisgarh,sukma,494111,6,42,False
02-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396230,0,27,False
02-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396235,0,3,False
02-09-2025,dadra and nagar haveli and daman and diu,daman,396220,0,2,False
02-09-2025,dadra and nagar haveli and daman and diu,daman,396210,1,7,False
02-09-2025,dadra and nagar haveli and daman and diu,diu,362520,0,2,False
02-09-2025,dadra and nagar haveli and daman and diu,diu,362570,0,2,False
02-09-2025,goa,north goa,403004,0,3,False
02-09-2025,gujarat,ahmedabad,382440,6,42,False
03-09-2025,andhra pradesh,east godavari,507121,0,4,False
03-09-2025,andhra pradesh,east godavari,533240,0,7,False
03-09-2025,andhra pradesh,west godavari,507114,0,3,False
03-09-2025,arunachal pradesh,longding,786631,0,1,False
03-09-2025,arunachal pradesh,upper siang,792061,0,3,False
03-09-2025,bihar,aurangabad,824218,0,3,False
03-09-2025,bihar,banka,813116,1,1,False
03-09-2025,bihar,banka,813127,0,1,False
03-09-2025,bihar,begusarai,851119,1,11,False
03-09-2025,bihar,begusarai,851122,1,10,False
03-09-2025,bihar,bhagalpur,813129,0,2,False
03-09-2025,bihar,bhagalpur,813228,0,9,False
03-09-2025,bihar,jehanabad,804433,0,9,False
03-09-2025,bihar,muzaffarpur,843144,1,4,False
03-09-2025,bihar,muzaffarpur,843162,0,1,False
03-09-2025,bihar,nawada,805104,2,76,False
03-09-2025,bihar,nawada,805130,7,64,False
03-09-2025,bihar,patna,801502,1,17,False
03-09-2025,bihar,patna,803206,1,16,False
03-09-2025,bihar,saran,841433,1,5,False
03-09-2025,chhattisgarh,bijapur,494444,5,24,False
03-09-2025,chhattisgarh,dakshin bastar dantewada,494552,2,9,False
03-09-2025,chhattisgarh,kondagaon,494226,4,42,False
02-09-2025,uttar pradesh,bulandshahr,245403,1,18,False
02-09-2025,uttar pradesh,bulandshahr,245405,6,35,False
02-09-2025,uttar pradesh,firozabad,205141,7,25,False
02-09-2025,uttar pradesh,firozabad,205145,7,38,False
02-09-2025,uttar pradesh,gautam buddha nagar,201308,0,21,False
02-09-2025,uttar pradesh,jaunpur,222110,0,1,False
02-09-2025,uttar pradesh,jaunpur,223107,1,15,False
02-09-2025,uttar pradesh,kanpur nagar,209201,0,1,False
02-09-2025,uttar pradesh,lucknow,227107,8,96,False
02-09-2025,uttar pradesh,lucknow,227115,17,69,False
02-09-2025,uttar pradesh,lucknow,227202,4,38,False
02-09-2025,uttar pradesh,mainpuri,206303,3,23,False
02-09-2025,uttar pradesh,mirzapur,231310,5,14,False
02-09-2025,uttar pradesh,saharanpur,247665,1,1,False
02-09-2025,uttar pradesh,sambhal,202412,13,60,False
02-09-2025,uttar pradesh,sonbhadra,232221,4,21,False
02-09-2025,uttar pradesh,sultanpur,228172,0,3,False
02-09-2025,uttar pradesh,unnao,229504,8,27,False
02-09-2025,uttarakhand,haridwar,246763,2,3,False
02-09-2025,west bengal,bankura,722165,2,6,False
02-09-2025,west bengal,bankura,722172,0,7,False
02-09-2025,west bengal,birbhum,731239,0,1,False
02-09-2025,west bengal,cooch behar,736118,0,9,False
02-09-2025,west bengal,cooch behar,736132,3,23,False
02-09-2025,west bengal,dakshin dinajpur,733147,0,3,False
02-09-2025,west bengal,dakshin dinajpur,733149,1,7,False
02-09-2025,west bengal,dakshin dinajpur,733154,0,17,False
02-09-2025,west bengal,hooghly,712419,0,2,False
02-09-2025,west bengal,jalpaiguri,735201,0,1,False
02-09-2025,west bengal,jalpaiguri,735235,1,7,False
02-09-2025,west bengal,murshidabad,742179,0,3,False
02-09-2025,west bengal,murshidabad,742182,0,6,False
02-09-2025,west bengal,murshidabad,742190,0,15,False
02-09-2025,west bengal,murshidabad,742220,0,1,False
02-09-2025,west bengal,murshidabad,742229,3,9,False
02-09-2025,west bengal,murshidabad,742232,0,11,False
02-09-2025,west bengal,murshidabad,742403,2,4,False
02-09-2025,west bengal,paschim medinipur,721165,2,22,False
02-09-2025,west bengal,paschim medinipur,721254,2,2,False
02-09-2025,west bengal,paschim medinipur,721466,0,2,False
02-09-2025,west bengal,purba bardhaman,713160,0,2,False
02-09-2025,west bengal,purba medinipur,721605,0,2,False
02-09-2025,west bengal,purba medinipur,721664,1,1,False
02-09-2025,west bengal,purba medinipur,721666,0,2,False
02-09-2025,west bengal,south 24 parganas,743398,0,3,False
02-09-2025,west bengal,south 24 parganas,743507,1,12,False
03-09-2025,andhra pradesh,alluri sitharama raju,507121,0,5,False
03-09-2025,andhra pradesh,ananthapuramu,515767,0,1,False
02-09-2025,gujarat,amreli,365665,0,4,False
02-09-2025,gujarat,botad,363415,0,2,False
02-09-2025,gujarat,chhotaudepur,391155,0,10,False
02-09-2025,gujarat,junagadh,362266,0,3,False
02-09-2025,gujarat,junagadh,362725,0,4,False
02-09-2025,gujarat,kachchh,370511,0,1,False
02-09-2025,gujarat,mahesana,382165,1,10,False
02-09-2025,gujarat,mahesana,382730,0,4,False
02-09-2025,gujarat,mahesana,384205,0,5,False
02-09-2025,gujarat,mahesana,384350,0,5,False
02-09-2025,gujarat,navsari,396424,1,7,False
02-09-2025,gujarat,porbandar,360560,0,4,False
02-09-2025,gujarat,surat,394220,0,3,False
02-09-2025,gujarat,surat,394230,4,45,False
02-09-2025,gujarat,valsad,396230,1,4,False
02-09-2025,gujarat,valsad,396235,0,1,False
02-09-2025,himachal pradesh,kangra,176122,0,3,False
02-09-2025,himachal pradesh,mandi,171302,0,3,False
02-09-2025,himachal pradesh,mandi,174401,0,6,False
02-09-2025,himachal pradesh,mandi,174402,0,2,False
02-09-2025,himachal pradesh,sirmaur,173022,0,5,False
02-09-2025,jammu and kashmir,kulgam,192102,0,1,False
02-09-2025,jharkhand,godda,814145,0,2,False
02-09-2025,jharkhand,latehar,822127,0,1,False
02-09-2025,jharkhand,ramgarh,825101,3,28,False
02-09-2025,karnataka,dakshina kannada,575027,2,4,False
02-09-2025,karnataka,koppal,584114,0,1,False
02-09-2025,karnataka,shivamogga,577447,0,1,False
01-09-2025,tamil nadu,chennai,600114,0,2,False
01-09-2025,tamil nadu,coimbatore,642124,1,1,False
01-09-2025,tamil nadu,cuddalore,606107,0,2,False
01-09-2025,tamil nadu,kallakurichi,606107,1,8,False
01-09-2025,tamil nadu,kanniyakumari,629805,1,0,False
01-09-2025,tamil nadu,the nilgiris,643228,0,1,False
01-09-2025,tamil nadu,virudhunagar,626145,0,1,False
01-09-2025,telangana,hyderabad,500025,2,2,False
01-09-2025,telangana,mahabubnagar,509401,1,7,False
01-09-2025,telangana,nalgonda,508203,1,1,False
02-09-2025,madhya pradesh,alirajpur,457893,0,14,False
02-09-2025,madhya pradesh,dhar,454129,0,2,False
02-09-2025,madhya pradesh,indore,453332,0,1,False
02-09-2025,madhya pradesh,tikamgarh,472446,0,3,False
02-09-2025,maharashtra,mumbai,400090,0,1,False
02-09-2025,maharashtra,nagpur,440009,0,13,False
02-09-2025,maharashtra,pune,412114,1,11,False
02-09-2025,odisha,angul,759104,0,3,False
02-09-2025,odisha,sambalpur,768026,1,3,False
02-09-2025,puducherry,puducherry,533464,0,9,False
02-09-2025,puducherry,puducherry,605012,2,0,False
02-09-2025,puducherry,puducherry,605106,2,3,False
02-09-2025,punjab,amritsar,143003,0,3,False
02-09-2025,punjab,amritsar,143026,0,2,False
02-09-2025,punjab,jalandhar,144011,0,1,False
02-09-2025,punjab,jalandhar,144013,0,1,False
02-09-2025,rajasthan,jaipur,302011,0,2,False
04-09-2025,andhra pradesh,west godavari,507121,0,2,False
04-09-2025,assam,jorhat,785005,1,1,False
04-09-2025,bihar,banka,813116,1,13,False
04-09-2025,bihar,banka,813118,0,5,False
04-09-2025,bihar,banka,813125,1,3,False
04-09-2025,bihar,banka,813224,0,9,False
04-09-2025,bihar,bhagalpur,813129,0,4,False
04-09-2025,bihar,bhagalpur,813227,0,6,False
04-09-2025,bihar,bhagalpur,813233,1,3,False
04-09-2025,bihar,bhojpur,802315,0,11,False
04-09-2025,bihar,gaya,805130,0,1,False
04-09-2025,bihar,khagaria,851220,2,15,False
04-09-2025,bihar,patna,803206,1,3,False
04-09-2025,bihar,saran,841105,0,5,False
04-09-2025,bihar,saran,841247,0,8,False
04-09-2025,chandigarh,chandigarh,160103,2,2,False
04-09-2025,chhattisgarh,kondagaon,494230,0,17,False
04-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396193,5,2,False
04-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396230,20,36,False
04-09-2025,dadra and nagar haveli and daman and diu,daman,396210,0,4,False
04-09-2025,dadra and nagar haveli and daman and diu,diu,362570,1,0,False
04-09-2025,dadra and nagar haveli and daman and diu,diu,362520,0,1,False
04-09-2025,gujarat,amreli,365545,0,1,False
04-09-2025,gujarat,amreli,365660,0,4,False
04-09-2025,gujarat,bharuch,394116,0,1,False
04-09-2025,gujarat,chhotaudepur,391175,1,2,False
04-09-2025,gujarat,gandhinagar,382715,0,1,False
04-09-2025,gujarat,gir somnath,362725,0,4,False
04-09-2025,gujarat,junagadh,362235,0,1,False
04-09-2025,gujarat,mahesana,382710,0,2,False
04-09-2025,gujarat,mahesana,382715,8,40,False
04-09-2025,gujarat,mahesana,382825,0,5,False
04-09-2025,gujarat,mahesana,382840,0,4,False
04-09-2025,gujarat,mahesana,382850,0,2,False
04-09-2025,gujarat,narmada,391121,0,3,False
04-09-2025,gujarat,narmada,393155,1,0,False
04-09-2025,gujarat,navsari,396424,1,4,False
04-09-2025,gujarat,porbandar,360560,0,1,False
04-09-2025,gujarat,rajkot,364490,1,5,False
03-09-2025,tamil nadu,madurai,625502,0,2,False
03-09-2025,tamil nadu,pudukkottai,622408,0,2,False
03-09-2025,tamil nadu,theni,625582,6,10,False
03-09-2025,tamil nadu,tirunelveli,627810,0,1,False
03-09-2025,telangana,bhadradri kothagudem,507129,0,3,False
03-09-2025,telangana,nalgonda,508203,0,1,False
03-09-2025,telangana,nizamabad,503188,1,8,False
03-09-2025,uttar pradesh,baghpat,250602,1,1,False
03-09-2025,uttar pradesh,budaun,202523,11,42,False
03-09-2025,uttar pradesh,budaun,202524,5,22,False
03-09-2025,uttar pradesh,bulandshahr,202392,7,32,False
03-09-2025,uttar pradesh,bulandshahr,245401,7,16,False
03-09-2025,uttar pradesh,bulandshahr,245407,6,11,False
03-09-2025,uttar pradesh,bulandshahr,245411,3,10,False
03-09-2025,uttar pradesh,farrukhabad,207504,6,9,False
03-09-2025,uttar pradesh,firozabad,205145,6,37,False
03-09-2025,uttar pradesh,jaunpur,222107,3,3,False
03-09-2025,uttar pradesh,jaunpur,222112,0,6,False
03-09-2025,uttar pradesh,jaunpur,222113,1,12,False
03-09-2025,uttar pradesh,mainpuri,206301,5,32,False
04-09-2025,madhya pradesh,bhopal,462018,0,1,False
04-09-2025,madhya pradesh,bhopal,462021,1,3,False
04-09-2025,madhya pradesh,niwari,472338,1,3,False
04-09-2025,madhya pradesh,panna,488051,1,3,False
04-09-2025,madhya pradesh,tikamgarh,472446,0,4,False
04-09-2025,maharashtra,chandrapur,441228,0,9,False
04-09-2025,maharashtra,kolhapur,416117,0,2,False
04-09-2025,maharashtra,mumbai,401210,0,2,False
04-09-2025,maharashtra,nagpur,440028,0,1,False
04-09-2025,maharashtra,thane,401104,0,1,False
04-09-2025,maharashtra,thane,401610,0,2,False
04-09-2025,maharashtra,thane,421604,0,1,False
04-09-2025,mizoram,lunglei,796730,1,3,False
04-09-2025,odisha,jagatsinghapur,754143,0,1,False
03-09-2025,uttar pradesh,mau,121705,11,20,False
03-09-2025,uttar pradesh,moradabad,202412,1,1,False
03-09-2025,uttar pradesh,rampur,202411,0,5,False
03-09-2025,uttar pradesh,rampur,243701,17,97,False
03-09-2025,uttar pradesh,sambhal,202411,7,22,False
03-09-2025,uttar pradesh,sambhal,202414,5,22,False
03-09-2025,uttar pradesh,sambhal,202421,17,53,False
03-09-2025,uttar pradesh,sambhal,202523,1,9,False
03-09-2025,uttar pradesh,sambhal,243640,0,1,False
03-09-2025,uttar pradesh,unnao,229502,2,8,False
03-09-2025,uttar pradesh,unnao,229503,4,15,False
03-09-2025,uttar pradesh,varanasi,221210,0,3,False
03-09-2025,uttarakhand,udham singh nagar,244714,0,1,False
03-09-2025,west bengal,bankura,722163,0,5,False
03-09-2025,west bengal,bankura,722168,0,3,False
03-09-2025,west bengal,bankura,722182,0,1,False
03-09-2025,west bengal,bankura,723168,2,2,False
03-09-2025,west bengal,cooch behar,736175,3,19,False
03-09-2025,west bengal,cooch behar,736177,2,12,False
03-09-2025,west bengal,dakshin dinajpur,733148,0,1,False
03-09-2025,west bengal,dakshin dinajpur,733149,0,6,False
03-09-2025,west bengal,dakshin dinajpur,733151,0,10,False
03-09-2025,west bengal,hooghly,712419,0,2,False
03-09-2025,west bengal,hooghly,712708,0,3,False
03-09-2025,west bengal,howrah,711328,0,1,False
03-09-2025,west bengal,jalpaiguri,735137,0,7,False
03-09-2025,west bengal,jalpaiguri,735306,0,8,False
03-09-2025,west bengal,malda,732147,1,18,False
03-09-2025,west bengal,malda,732213,0,6,False
