,date,state,district,pincode,age_0_5,age_5_17,age_18_greater
65,31-12-2025,karnataka,kalaburagi,585236,0,2,0
66,31-12-2025,karnataka,kalaburagi,585301,0,1,0
67,31-12-2025,karnataka,kalaburagi,585305,1,0,0
68,31-12-2025,karnataka,kalaburagi,585306,1,0,0
69,31-12-2025,karnataka,kalaburagi,585311,3,0,0
70,31-12-2025,karnataka,kodagu,571218,5,0,0
71,31-12-2025,karnataka,kodagu,571253,2,0,0
72,31-12-2025,karnataka,kolar,563121,1,0,0
73,31-12-2025,karnataka,kolar,563129,4,0,0
74,31-12-2025,karnataka,kolar,563131,12,2,0
75,31-12-2025,karnataka,kolar,563132,4,0,0
76,31-12-2025,karnataka,kolar,563135,2,0,0
77,31-12-2025,karnataka,kolar,563161,1,0,0
78,31-12-2025,karnataka,kolar,563162,2,0,0
79,31-12-2025,karnataka,koppal,583226,1,2,0
80,31-12-2025,karnataka,koppal,583229,9,1,0
81,31-12-2025,karnataka,koppal,583234,3,1,0
82,31-12-2025,karnataka,koppal,583236,4,2,0
83,31-12-2025,karnataka,koppal,583277,10,6,0
84,31-12-2025,karnataka,koppal,583279,2,2,0
85,31-12-2025,karnataka,mandya,571401,3,2,0
86,31-12-2025,karnataka,mandya,571405,2,0,0
87,31-12-2025,karnataka,mandya,571428,3,0,0
88,31-12-2025,karnataka,mandya,571434,3,0,0
89,31-12-2025,karnataka,mandya,571435,2,0,0
90,31-12-2025,karnataka,mandya,571607,0,1,0
91,31-12-2025,karnataka,mysuru,570011,3,0,0
92,31-12-2025,karnataka,mysuru,570028,1,0,0
93,31-12-2025,karnataka,mysuru,571103,10,0,0
94,31-12-2025,karnataka,mysuru,571114,1,0,0
95,31-12-2025,karnataka,mysuru,571189,3,0,0
96,31-12-2025,karnataka,raichur,584118,0,2,0
97,31-12-2025,karnataka,raichur,584120,9,4,1
98,31-12-2025,karnataka,raichur,584128,22,9,0
99,31-12-2025,karnataka,raichur,584129,11,6,0
100,31-12-2025,karnataka,raichur,584135,4,1,0
101,31-12-2025,karnataka,shivamogga,577201,1,1,0
102,31-12-2025,karnataka,shivamogga,577216,1,0,0
103,31-12-2025,karnataka,shivamogga,577411,1,0,0
104,31-12-2025,karnataka,shivamogga,577412,1,1,0
105,31-12-2025,karnataka,shivamogga,577423,2,0,0
106,31-12-2025,karnataka,tumakuru,572102,3,0,0
107,31-12-2025,karnataka,tumakuru,572104,2,0,0
108,31-12-2025,karnataka,tumakuru,572119,0,1,0
109,31-12-2025,karnataka,tumakuru,572121,1,0,0
110,31-12-2025,karnataka,tumakuru,572132,4,1,0
111,31-12-2025,karnataka,tumakuru,572219,1,0,0
112,31-12-2025,karnataka,udupi,574244,2,0,0
113,31-12-2025,karnataka,udupi,576113,1,0,0
114,31-12-2025,karnataka,udupi,576120,1,0,0
115,31-12-2025,karnataka,udupi,576211,1,0,0
116,31-12-2025,karnataka,udupi,576214,2,0,0
117,31-12-2025,karnataka,udupi,576225,1,0,0
118,31-12-2025,karnataka,uttara kannada,581318,2,1,0
119,31-12-2025,karnataka,uttara kannada,581324,2,0,0
120,31-12-2025,karnataka,uttara kannada,581332,1,0,0
121,31-12-2025,karnataka,vijayanagara,583134,2,1,0
122,31-12-2025,karnataka,vijayanagara,583137,2,0,0
123,31-12-2025,karnataka,vijayanagara,583212,2,0,0
124,31-12-2025,karnataka,vijayanagara,583213,2,1,0
125,31-12-2025,karnataka,vijayanagara,583224,1,0,0
126,31-12-2025,karnataka,vijayapura,586121,1,0,0
127,31-12-2025,karnataka,vijayapura,586127,1,1,0
128,31-12-2025,karnataka,vijayapura,586130,2,1,0
129,31-12-2025,karnataka,vijayapura,586203,3,0,0
130,31-12-2025,karnataka,vijayapura,586206,1,1,0
131,31-12-2025,karnataka,vijayapura,586215,10,0,0
132,31-12-2025,karnataka,vijayapura,586245,1,0,0
133,31-12-2025,karnataka,yadgir,585202,12,9,2
134,31-12-2025,karnataka,yadgir,585219,2,0,0
135,31-12-2025,karnataka,yadgir,585223,3,6,0
136,31-12-2025,karnataka,yadgir,585224,0,2,0
137,31-12-2025,karnataka,yadgir,585237,4,0,0
138,31-12-2025,karnataka,yadgir,585287,3,1,0
139,31-12-2025,karnataka,yadgir,585291,1,1,0
140,31-12-2025,karnataka,yadgir,585321,5,2,0
141,31-12-2025,karnataka,yadgir,585323,0,1,0
142,31-12-2025,kerala,alappuzha,688526,0,2,0
143,31-12-2025,kerala,alappuzha,688561,1,2,0
144,31-12-2025,kerala,alappuzha,688570,0,1,0
145,31-12-2025,kerala,alappuzha,689520,0,1,0
146,31-12-2025,kerala,alappuzha,690102,0,1,0
147,31-12-2025,kerala,alappuzha,690105,0,1,0
148,31-12-2025,kerala,alappuzha,690501,2,0,0
149,31-12-2025,kerala,alappuzha,690502,0,2,0
150,31-12-2025,kerala,alappuzha,690527,0,1,0
151,31-12-2025,kerala,alappuzha,690533,1,2,0
152,31-12-2025,kerala,alappuzha,690535,1,0,0
153,31-12-2025,kerala,alappuzha,690572,1,4,0
154,31-12-2025,kerala,ernakulam,682013,0,1,0
155,31-12-2025,kerala,ernakulam,682017,0,2,0
156,31-12-2025,kerala,ernakulam,682021,1,2,0
157,31-12-2025,kerala,ernakulam,682033,0,1,0
158,31-12-2025,kerala,ernakulam,682038,0,1,0
159,31-12-2025,kerala,ernakulam,683108,0,2,0
160,31-12-2025,kerala,ernakulam,683515,1,0,0
161,31-12-2025,kerala,ernakulam,683544,1,0,0
162,31-12-2025,kerala,ernakulam,683545,1,1,0
163,31-12-2025,kerala,ernakulam,683562,1,1,0
164,31-12-2025,kerala,ernakulam,683579,0,3,0
165,31-12-2025,kerala,ernakulam,683589,0,1,0
166,31-12-2025,kerala,ernakulam,686669,0,1,0
167,31-12-2025,kerala,ernakulam,686681,1,1,0
168,31-12-2025,kerala,ernakulam,686693,0,1,0
169,31-12-2025,kerala,idukki,685512,0,1,0
170,31-12-2025,kerala,idukki,685583,1,0,0
171,31-12-2025,kerala,idukki,685585,1,1,0
172,31-12-2025,kerala,idukki,685591,0,2,0
173,31-12-2025,kerala,idukki,685595,0,1,0
174,31-12-2025,kerala,kannur,670002,0,2,0
175,31-12-2025,kerala,kannur,670003,0,1,0
176,31-12-2025,kerala,kannur,670004,0,1,0
177,31-12-2025,kerala,kannur,670010,2,0,0
178,31-12-2025,kerala,kannur,670011,1,0,0
179,31-12-2025,kerala,kannur,670103,0,2,0
180,31-12-2025,kerala,kannur,670302,0,2,0
181,31-12-2025,kerala,kannur,670305,0,2,0
182,31-12-2025,kerala,kannur,670306,1,0,0
183,31-12-2025,kerala,kannur,670308,0,2,0
184,31-12-2025,kerala,kannur,670334,1,0,0
185,31-12-2025,kerala,kannur,670604,0,4,0
186,31-12-2025,kerala,kannur,670611,0,1,0
187,31-12-2025,kerala,kannur,670612,1,0,0
188,31-12-2025,kerala,kannur,670641,1,1,0
189,31-12-2025,kerala,kannur,670643,4,3,0
190,31-12-2025,kerala,kannur,670650,5,2,0
191,31-12-2025,kerala,kannur,670661,1,0,0
192,31-12-2025,kerala,kannur,670691,0,1,0
193,31-12-2025,kerala,kannur,670703,0,4,0
194,31-12-2025,kerala,kasaragod,671122,1,1,0
195,31-12-2025,kerala,kasaragod,671310,3,0,0
196,31-12-2025,kerala,kasaragod,671322,2,3,0
197,31-12-2025,kerala,kasaragod,671323,5,6,0
198,31-12-2025,kerala,kasaragod,671326,1,0,0
199,31-12-2025,kerala,kasaragod,671531,3,3,0
200,31-12-2025,kerala,kasaragod,671533,0,1,0
201,31-12-2025,kerala,kasaragod,671542,3,2,0
202,31-12-2025,kerala,kasaragod,671551,1,1,0
203,31-12-2025,kerala,kasaragod,671552,0,4,0
204,31-12-2025,kerala,kollam,689696,0,1,0
205,31-12-2025,kerala,kollam,690523,0,4,0
206,31-12-2025,kerala,kollam,690528,2,0,0
207,31-12-2025,kerala,kollam,690540,0,1,0
208,31-12-2025,kerala,kollam,690542,2,4,0
209,31-12-2025,kerala,kollam,691004,0,2,0
210,31-12-2025,kerala,kollam,691011,2,1,0
211,31-12-2025,kerala,kollam,691014,0,1,0
212,31-12-2025,kerala,kollam,691307,0,1,0
213,31-12-2025,kerala,kollam,691510,1,0,0
214,31-12-2025,kerala,kollam,691534,3,0,0
215,31-12-2025,kerala,kollam,691537,0,2,0
216,31-12-2025,kerala,kollam,691574,1,0,0
217,31-12-2025,kerala,kollam,691601,2,1,0
218,31-12-2025,kerala,kottayam,686004,0,1,0
219,31-12-2025,kerala,kottayam,686008,0,1,0
220,31-12-2025,kerala,kottayam,686012,1,0,0
221,31-12-2025,kerala,kottayam,686101,0,2,0
222,31-12-2025,kerala,kottayam,686102,0,5,0
223,31-12-2025,kerala,kottayam,686106,0,1,0
224,31-12-2025,kerala,kottayam,686141,0,1,0
225,31-12-2025,kerala,kottayam,686501,1,0,0
226,31-12-2025,kerala,kottayam,686507,0,2,0
227,31-12-2025,kerala,kottayam,686519,1,0,0
228,31-12-2025,kerala,kottayam,686538,0,3,0
229,31-12-2025,kerala,kottayam,686539,2,0,0
230,31-12-2025,kerala,kottayam,686544,1,0,0
231,31-12-2025,kerala,kottayam,686548,0,2,0
232,31-12-2025,kerala,kottayam,686561,1,0,0
233,31-12-2025,kerala,kottayam,686611,1,0,0
234,31-12-2025,kerala,kozhikode,673010,1,1,0
235,31-12-2025,kerala,kozhikode,673012,2,0,0
236,31-12-2025,kerala,kozhikode,673102,0,1,0
237,31-12-2025,kerala,kozhikode,673104,2,3,0
238,31-12-2025,kerala,kozhikode,673303,3,0,0
239,31-12-2025,kerala,kozhikode,673309,0,1,0
240,31-12-2025,kerala,kozhikode,673317,1,0,0
241,31-12-2025,kerala,kozhikode,673502,0,1,0
242,31-12-2025,kerala,kozhikode,673503,0,1,0
243,31-12-2025,kerala,kozhikode,673505,0,1,0
244,31-12-2025,kerala,kozhikode,673517,1,2,0
245,31-12-2025,kerala,kozhikode,673522,0,1,0
246,31-12-2025,kerala,kozhikode,673582,1,2,0
247,31-12-2025,kerala,kozhikode,673613,0,3,0
248,31-12-2025,kerala,malappuram,676103,6,4,0
249,31-12-2025,kerala,malappuram,676122,4,3,0
250,31-12-2025,kerala,malappuram,676123,12,10,0
251,31-12-2025,kerala,malappuram,676304,4,6,0
252,31-12-2025,kerala,malappuram,676501,3,2,0
253,31-12-2025,kerala,malappuram,676503,6,6,0
254,31-12-2025,kerala,malappuram,676505,0,1,0
255,31-12-2025,kerala,malappuram,676523,2,1,0
256,31-12-2025,kerala,malappuram,676528,4,5,0
257,31-12-2025,kerala,malappuram,676541,2,1,0
258,31-12-2025,kerala,malappuram,676552,3,13,0
259,31-12-2025,kerala,malappuram,679323,1,2,0
260,31-12-2025,kerala,malappuram,679324,3,1,0
261,31-12-2025,kerala,malappuram,679330,2,1,0
262,31-12-2025,kerala,malappuram,679575,0,2,0
263,31-12-2025,kerala,malappuram,679579,2,2,0
264,31-12-2025,kerala,malappuram,679581,0,2,0
265,31-12-2025,kerala,malappuram,679582,1,2,0
266,31-12-2025,kerala,malappuram,679583,0,1,0
267,31-12-2025,kerala,malappuram,679586,0,3,0
268,31-12-2025,kerala,malappuram,679587,0,2,0
269,31-12-2025,kerala,palakkad,678001,4,3,0
270,31-12-2025,kerala,palakkad,678002,0,1,0
271,31-12-2025,kerala,palakkad,678004,3,1,0
272,31-12-2025,kerala,palakkad,678543,3,3,0
273,31-12-2025,kerala,palakkad,678544,1,0,0
274,31-12-2025,kerala,palakkad,678581,0,1,0
275,31-12-2025,kerala,palakkad,678583,6,10,0
276,31-12-2025,kerala,palakkad,678613,1,0,0
277,31-12-2025,kerala,palakkad,678701,1,0,0
278,31-12-2025,kerala,palakkad,679307,0,3,0
279,31-12-2025,kerala,palakkad,679308,1,0,0
280,31-12-2025,kerala,palakkad,679309,1,0,0
281,31-12-2025,kerala,palakkad,679511,2,1,0
282,31-12-2025,kerala,palakkad,679513,3,2,0
283,31-12-2025,kerala,pathanamthitta,689514,1,0,0
284,31-12-2025,kerala,pathanamthitta,689549,2,0,0
285,31-12-2025,kerala,pathanamthitta,689597,0,1,0
286,31-12-2025,kerala,thiruvananthapuram,695003,0,2,0
287,31-12-2025,kerala,thiruvananthapuram,695005,1,3,0
288,31-12-2025,kerala,thiruvananthapuram,695006,1,1,1
289,31-12-2025,kerala,thiruvananthapuram,695010,0,1,0
290,31-12-2025,kerala,thiruvananthapuram,695017,3,1,0
291,31-12-2025,kerala,thiruvananthapuram,695020,5,2,0
292,31-12-2025,kerala,thiruvananthapuram,695021,2,1,0
293,31-12-2025,kerala,thiruvananthapuram,695028,1,1,0
294,31-12-2025,kerala,thiruvananthapuram,695029,0,1,0
295,31-12-2025,kerala,thiruvananthapuram,695143,1,0,0
296,31-12-2025,kerala,thiruvananthapuram,695145,2,0,0
297,31-12-2025,kerala,thiruvananthapuram,695301,0,1,0
298,31-12-2025,kerala,thiruvananthapuram,695304,1,2,0
299,31-12-2025,kerala,thiruvananthapuram,695305,1,1,0
300,31-12-2025,kerala,thiruvananthapuram,695502,1,1,0
301,31-12-2025,kerala,thiruvananthapuram,695568,1,1,0
302,31-12-2025,kerala,thiruvananthapuram,695571,1,1,0
303,31-12-2025,kerala,thiruvananthapuram,695605,3,1,0
304,31-12-2025,kerala,thiruvananthapuram,695615,3,1,0
305,31-12-2025,kerala,thrissur,679561,1,0,0
306,31-12-2025,kerala,thrissur,679564,1,1,0
307,31-12-2025,kerala,thrissur,680007,1,1,0
308,31-12-2025,kerala,thrissur,680008,1,2,0
309,31-12-2025,kerala,thrissur,680125,1,1,0
310,31-12-2025,kerala,thrissur,680303,0,1,0
311,31-12-2025,kerala,thrissur,680305,1,1,0
312,31-12-2025,kerala,thrissur,680307,0,1,0
313,31-12-2025,kerala,thrissur,680308,3,0,0
314,31-12-2025,kerala,thrissur,680506,1,2,0
315,31-12-2025,kerala,thrissur,680524,0,2,0
316,31-12-2025,kerala,thrissur,680542,0,1,0
317,31-12-2025,kerala,thrissur,680581,0,1,0
318,31-12-2025,kerala,thrissur,680589,1,1,0
319,31-12-2025,kerala,thrissur,680604,1,1,0
320,31-12-2025,kerala,thrissur,680612,1,1,0
321,31-12-2025,kerala,thrissur,680614,1,1,0
322,31-12-2025,kerala,thrissur,680616,0,1,0
323,31-12-2025,kerala,thrissur,680654,2,0,0
324,31-12-2025,kerala,thrissur,680663,0,5,0
325,31-12-2025,kerala,thrissur,680691,0,1,0
326,31-12-2025,kerala,thrissur,680702,2,1,0
327,31-12-2025,kerala,thrissur,680721,0,2,0
328,31-12-2025,kerala,wayanad,670731,2,0,0
329,31-12-2025,kerala,wayanad,673575,2,0,0
330,31-12-2025,kerala,wayanad,673591,1,0,0
331,31-12-2025,kerala,wayanad,673592,3,4,0
332,31-12-2025,kerala,wayanad,673593,0,1,0
333,31-12-2025,ladakh,leh,194101,1,0,0
334,31-12-2025,lakshadweep,lakshadweep,682559,1,0,0
335,31-12-2025,madhya pradesh,alirajpur,457882,7,30,0
336,31-12-2025,madhya pradesh,anuppur,484330,3,2,0
337,31-12-2025,madhya pradesh,anuppur,484334,12,2,0
338,31-12-2025,madhya pradesh,balaghat,481105,17,9,0
339,31-12-2025,madhya pradesh,balaghat,481226,16,1,0
340,31-12-2025,madhya pradesh,balaghat,481337,7,0,0
341,31-12-2025,madhya pradesh,balaghat,481662,1,0,0
342,31-12-2025,madhya pradesh,barwani,451449,10,10,0
343,31-12-2025,madhya pradesh,betul,460440,10,5,0
344,31-12-2025,madhya pradesh,betul,460551,22,0,0
345,31-12-2025,madhya pradesh,betul,460553,3,0,0
346,31-12-2025,madhya pradesh,betul,460666,2,0,0
347,31-12-2025,madhya pradesh,betul,461441,1,0,0
348,31-12-2025,madhya pradesh,bhind,477111,9,5,0
349,31-12-2025,madhya pradesh,bhind,477222,12,11,0
350,31-12-2025,madhya pradesh,bhind,477447,13,12,0
351,31-12-2025,madhya pradesh,bhind,477449,2,3,0
352,31-12-2025,madhya pradesh,bhind,477566,2,0,0
353,31-12-2025,madhya pradesh,bhopal,462016,2,2,0
354,31-12-2025,madhya pradesh,bhopal,462021,6,1,0
355,31-12-2025,madhya pradesh,bhopal,462101,20,5,0
356,31-12-2025,madhya pradesh,bhopal,463106,14,5,0
357,31-12-2025,madhya pradesh,burhanpur,450332,5,5,0
358,31-12-2025,madhya pradesh,chhatarpur,471301,14,8,0
359,31-12-2025,madhya pradesh,chhatarpur,471501,66,12,0
360,31-12-2025,madhya pradesh,chhatarpur,471515,36,16,0
361,31-12-2025,madhya pradesh,chhatarpur,471625,21,12,0
362,31-12-2025,madhya pradesh,chhindwara,480334,15,1,0
363,31-12-2025,madhya pradesh,chhindwara,480338,4,0,0
364,31-12-2025,madhya pradesh,chhindwara,480447,0,1,0
365,31-12-2025,madhya pradesh,damoh,470771,11,2,0
366,31-12-2025,madhya pradesh,damoh,470881,6,1,0
367,31-12-2025,madhya pradesh,datia,475673,11,11,0
368,31-12-2025,madhya pradesh,datia,475675,11,16,0
369,31-12-2025,madhya pradesh,dewas,455001,89,17,0
370,31-12-2025,madhya pradesh,dewas,455116,14,1,0
371,31-12-2025,madhya pradesh,dewas,455118,10,2,0
372,31-12-2025,madhya pradesh,dewas,455223,6,4,1
373,31-12-2025,madhya pradesh,dhar,454774,2,3,0
374,31-12-2025,madhya pradesh,guna,473105,19,14,2
375,31-12-2025,madhya pradesh,guna,473111,1,4,0
376,31-12-2025,madhya pradesh,guna,473287,21,22,0
377,31-12-2025,madhya pradesh,guna,473446,2,1,0
378,31-12-2025,madhya pradesh,gwalior,474001,17,21,1
379,31-12-2025,madhya pradesh,gwalior,474006,25,39,4
380,31-12-2025,madhya pradesh,gwalior,474010,7,12,0
381,31-12-2025,madhya pradesh,indore,452003,7,1,0
382,31-12-2025,madhya pradesh,indore,452005,17,3,0
383,31-12-2025,madhya pradesh,indore,452010,24,9,0
384,31-12-2025,madhya pradesh,indore,453112,8,3,0
385,31-12-2025,madhya pradesh,indore,453220,18,3,0
386,31-12-2025,madhya pradesh,jabalpur,482001,38,5,0
387,31-12-2025,madhya pradesh,jabalpur,482003,38,13,0
388,31-12-2025,madhya pradesh,jabalpur,482004,13,5,0
389,31-12-2025,madhya pradesh,jabalpur,482021,5,1,0
390,31-12-2025,madhya pradesh,jabalpur,482056,9,0,0
391,31-12-2025,madhya pradesh,jabalpur,483220,7,1,0
392,31-12-2025,madhya pradesh,jhabua,457661,32,65,3
393,31-12-2025,madhya pradesh,jhabua,457773,12,6,0
394,31-12-2025,madhya pradesh,jhabua,457990,0,4,0
395,31-12-2025,madhya pradesh,katni,483331,9,6,0
396,31-12-2025,madhya pradesh,katni,483442,10,4,0
397,31-12-2025,madhya pradesh,katni,483501,81,60,3
398,31-12-2025,madhya pradesh,mandla,481663,3,0,0
399,31-12-2025,madhya pradesh,mandla,481665,10,0,0
400,31-12-2025,madhya pradesh,mandla,481668,9,0,0
401,31-12-2025,madhya pradesh,mandla,481776,7,0,0
402,31-12-2025,madhya pradesh,mandla,481996,12,2,0
403,31-12-2025,madhya pradesh,mandsaur,458002,9,6,0
404,31-12-2025,madhya pradesh,mandsaur,458339,2,1,0
405,31-12-2025,madhya pradesh,mandsaur,458556,20,3,0
406,31-12-2025,madhya pradesh,mandsaur,458775,29,10,0
407,31-12-2025,madhya pradesh,mauganj,486123,0,1,0
408,31-12-2025,madhya pradesh,morena,476111,22,24,2
409,31-12-2025,madhya pradesh,morena,476134,3,4,0
410,31-12-2025,madhya pradesh,morena,476554,12,10,0
411,31-12-2025,madhya pradesh,narmadapuram,461775,3,3,0
412,31-12-2025,madhya pradesh,narmadapuram,461990,5,2,0
413,31-12-2025,madhya pradesh,narsimhapur,487441,5,1,0
414,31-12-2025,madhya pradesh,narsimhapur,487881,3,0,0
415,31-12-2025,madhya pradesh,neemuch,458116,10,2,0
416,31-12-2025,madhya pradesh,neemuch,458118,20,4,0
417,31-12-2025,madhya pradesh,neemuch,458468,1,0,0
418,31-12-2025,madhya pradesh,pandhurna,480331,1,0,0
419,31-12-2025,madhya pradesh,panna,488220,18,31,0
420,31-12-2025,madhya pradesh,raisen,462046,1,3,0
421,31-12-2025,madhya pradesh,raisen,464661,2,1,0
422,31-12-2025,madhya pradesh,raisen,464774,18,7,0
423,31-12-2025,madhya pradesh,raisen,464881,12,6,0
424,31-12-2025,madhya pradesh,raisen,464990,11,3,0
425,31-12-2025,madhya pradesh,rajgarh,465667,27,6,0
426,31-12-2025,madhya pradesh,rajgarh,465674,23,17,0
427,31-12-2025,madhya pradesh,rajgarh,465677,20,11,0
428,31-12-2025,madhya pradesh,rajgarh,465679,21,8,1
429,31-12-2025,madhya pradesh,ratlam,457001,25,18,2
430,31-12-2025,madhya pradesh,ratlam,457333,3,3,0
431,31-12-2025,madhya pradesh,ratlam,457555,10,16,0
432,31-12-2025,madhya pradesh,rewa,486002,1,1,0
433,31-12-2025,madhya pradesh,rewa,486005,1,0,0
434,31-12-2025,madhya pradesh,rewa,486006,6,0,0
435,31-12-2025,madhya pradesh,rewa,486331,33,3,0
436,31-12-2025,madhya pradesh,rewa,486340,7,1,0
437,31-12-2025,madhya pradesh,rewa,486341,8,3,0
438,31-12-2025,madhya pradesh,rewa,486448,4,1,0
439,31-12-2025,madhya pradesh,rewa,486553,17,3,0
440,31-12-2025,madhya pradesh,rewa,486556,6,2,0
441,31-12-2025,madhya pradesh,sagar,470002,17,3,0
442,31-12-2025,madhya pradesh,sagar,470115,6,7,0
443,31-12-2025,madhya pradesh,sagar,470119,11,5,0
444,31-12-2025,madhya pradesh,sagar,470125,3,1,0
445,31-12-2025,madhya pradesh,sagar,470223,5,1,0
446,31-12-2025,madhya pradesh,sagar,470226,37,11,2
447,31-12-2025,madhya pradesh,sagar,470335,23,8,0
448,31-12-2025,madhya pradesh,sagar,470441,10,7,0
449,31-12-2025,madhya pradesh,sagar,470442,13,2,0
450,31-12-2025,madhya pradesh,satna,485001,13,9,4
451,31-12-2025,madhya pradesh,satna,485772,29,13,0
452,31-12-2025,madhya pradesh,satna,485774,7,4,0
453,31-12-2025,madhya pradesh,sehore,466113,3,0,0
454,31-12-2025,madhya pradesh,sehore,466114,6,0,0
455,31-12-2025,madhya pradesh,sehore,466116,8,3,0
456,31-12-2025,madhya pradesh,sehore,466120,5,0,0
457,31-12-2025,madhya pradesh,sehore,466221,3,0,1
458,31-12-2025,madhya pradesh,sehore,466665,2,1,0
459,31-12-2025,madhya pradesh,seoni,480880,1,0,0
460,31-12-2025,madhya pradesh,seoni,480881,4,0,0
461,31-12-2025,madhya pradesh,shahdol,484117,2,0,0
462,31-12-2025,madhya pradesh,shahdol,484224,18,4,0
463,31-12-2025,madhya pradesh,shahdol,484661,2,0,0
464,31-12-2025,madhya pradesh,shajapur,465001,29,7,0
465,31-12-2025,madhya pradesh,shajapur,465113,14,2,0
466,31-12-2025,madhya pradesh,shajapur,465337,34,19,0
467,31-12-2025,madhya pradesh,shajapur,465339,6,1,0
468,31-12-2025,madhya pradesh,sheopur,476335,3,45,0
469,31-12-2025,madhya pradesh,shivpuri,473551,40,36,2
470,31-12-2025,madhya pradesh,shivpuri,473774,15,10,1
471,31-12-2025,madhya pradesh,shivpuri,473775,11,34,1
472,31-12-2025,madhya pradesh,shivpuri,473793,9,5,0
473,31-12-2025,madhya pradesh,shivpuri,473880,6,13,0
474,31-12-2025,madhya pradesh,shivpuri,475005,1,0,0
475,31-12-2025,madhya pradesh,sidhi,486670,25,3,0
476,31-12-2025,madhya pradesh,sidhi,486776,8,3,0
477,31-12-2025,madhya pradesh,sidhi,486890,2,2,0
478,31-12-2025,madhya pradesh,singrauli,486669,10,2,0
479,31-12-2025,madhya pradesh,singrauli,486881,40,4,1
480,31-12-2025,madhya pradesh,singrauli,486886,69,20,0
481,31-12-2025,madhya pradesh,singrauli,486889,5,3,1
482,31-12-2025,madhya pradesh,tikamgarh,472005,3,2,0
483,31-12-2025,madhya pradesh,tikamgarh,472442,2,1,1
