date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-04-2025,gujarat,banas kantha,385566,88,54,50
01-04-2025,odisha,nabarangpur,764076,182,82,12
01-04-2025,gujarat,banas kantha,385310,147,169,197
01-05-2025,gujarat,banas kantha,385566,71,37,19
01-05-2025,assam,sivasagar,785640,33,20,27
01-05-2025,gujarat,banas kantha,385120,124,115,18
01-05-2025,mizoram,siaha,796911,19,25,12
01-05-2025,gujarat,banas kantha,385310,136,101,27
01-05-2025,uttar pradesh,mahrajganj,273305,101,147,12
01-05-2025,gujarat,banas kantha,385135,46,30,10
01-05-2025,karnataka,bengaluru rural,560067,49,15,12
01-05-2025,karnataka,bengaluru rural,562114,127,20,17
01-05-2025,gujarat,banas kantha,385110,56,126,31
01-05-2025,jammu and kashmir,baramulla,193201,136,39,12
01-05-2025,gujarat,banas kantha,385001,219,112,16
01-05-2025,assam,sivasagar,785684,19,11,16
01-05-2025,uttar pradesh,mahrajganj,273303,136,303,12
01-05-2025,mizoram,siaha,796901,40,36,51
01-05-2025,gujarat,banas kantha,385565,95,49,13
01-05-2025,gujarat,banas kantha,385535,325,125,25
01-05-2025,uttar pradesh,mahrajganj,273164,263,341,16
01-05-2025,madhya pradesh,ashoknagar,473331,161,40,19
01-05-2025,gujarat,banas kantha,385575,74,29,19
01-05-2025,assam,sivasagar,785685,43,12,44
01-06-2025,gujarat,ahmedabad,380001,210,159,14
01-06-2025,tamil nadu,kancheepuram,631502,264,76,11
01-06-2025,west bengal,north 24 parganas,743263,92,77,13
01-06-2025,gujarat,dangs,394716,81,32,34
01-06-2025,gujarat,dangs,394710,141,40,36
01-06-2025,west bengal,north 24 parganas,700129,21,36,10
01-06-2025,uttar pradesh,shrawasti,271831,284,461,21
01-06-2025,gujarat,ahmedabad,382445,61,89,11
01-06-2025,west bengal,north 24 parganas,743248,35,27,15
01-06-2025,uttar pradesh,mahrajganj,273305,24,105,14
01-06-2025,andhra pradesh,visakhapatnam,531029,186,28,12
01-06-2025,uttar pradesh,shrawasti,271803,42,103,28
01-06-2025,gujarat,ahmedabad,382421,147,59,13
01-06-2025,west bengal,north 24 parganas,743287,30,21,17
01-06-2025,west bengal,uttar dinajpur,733129,104,107,67
01-06-2025,west bengal,uttar dinajpur,733202,374,393,12
01-06-2025,gujarat,ahmedabad,380016,107,60,12
01-06-2025,west bengal,uttar dinajpur,733134,250,116,17
01-06-2025,west bengal,north 24 parganas,700125,92,53,16
01-06-2025,uttar pradesh,mahrajganj,273164,71,257,17
01-06-2025,west bengal,north 24 parganas,700110,53,53,15
01-06-2025,west bengal,uttar dinajpur,733207,567,637,22
01-06-2025,gujarat,ahmedabad,382350,160,113,10
01-06-2025,west bengal,north 24 parganas,743127,78,59,10
01-06-2025,west bengal,north 24 parganas,743423,139,73,15
01-07-2025,uttar pradesh,mahrajganj,273304,148,244,15
01-07-2025,gujarat,ahmedabad,382220,208,114,16
01-07-2025,west bengal,north 24 parganas,743263,113,80,34
01-07-2025,gujarat,ahmedabad,380016,153,106,12
01-07-2025,west bengal,north 24 parganas,700049,55,67,12
01-07-2025,west bengal,north 24 parganas,700056,34,53,11
01-07-2025,west bengal,north 24 parganas,743127,91,83,14
01-07-2025,west bengal,uttar dinajpur,733207,1102,1207,45
01-07-2025,west bengal,south 24 parganas,743347,364,104,22
01-07-2025,uttar pradesh,shrawasti,271831,425,669,24
01-07-2025,west bengal,north 24 parganas,743249,76,62,17
01-07-2025,gujarat,ahmedabad,380015,135,89,15
01-07-2025,gujarat,ahmedabad,382330,321,197,15
01-07-2025,jharkhand,east singhbhum,831002,457,300,12
01-07-2025,west bengal,north 24 parganas,700124,71,49,15
01-07-2025,uttar pradesh,mahrajganj,273162,304,668,13
01-07-2025,west bengal,north 24 parganas,743235,103,65,18
01-07-2025,uttar pradesh,mahrajganj,273164,233,715,32
01-07-2025,gujarat,ahmedabad,382421,116,68,12
01-07-2025,west bengal,north 24 parganas,743287,30,27,29
01-07-2025,uttar pradesh,mahrajganj,273305,139,263,22
01-07-2025,gujarat,ahmedabad,380001,419,214,10
01-07-2025,west bengal,north 24 parganas,700119,116,132,13
01-07-2025,gujarat,dangs,394716,86,57,43
01-07-2025,west bengal,north 24 parganas,743271,36,15,10
01-07-2025,west bengal,north 24 parganas,743262,65,29,17
01-07-2025,west bengal,north 24 parganas,743145,77,78,14
01-07-2025,west bengal,north 24 parganas,700110,61,74,10
01-07-2025,gujarat,dangs,394710,223,50,49
01-07-2025,west bengal,uttar dinajpur,733210,1734,979,14
01-07-2025,west bengal,dakshin dinajpur,733124,404,154,16
01-07-2025,west bengal,north 24 parganas,743248,84,68,14
01-07-2025,west bengal,uttar dinajpur,733129,202,166,69
01-07-2025,uttar pradesh,mahrajganj,273157,182,397,11
01-07-2025,west bengal,uttar dinajpur,733134,573,206,21
01-07-2025,mizoram,siaha,796901,87,48,18
01-07-2025,gujarat,ahmedabad,382350,471,267,16
01-07-2025,west bengal,dakshin dinajpur,733125,303,102,18
01-07-2025,west bengal,uttar dinajpur,733201,786,350,16
01-07-2025,jharkhand,east singhbhum,832105,105,83,17
01-07-2025,west bengal,north 24 parganas,700121,80,64,14
01-07-2025,madhya pradesh,narsimhapur,487118,312,189,13
01-07-2025,west bengal,north 24 parganas,743251,119,44,15
01-07-2025,west bengal,north 24 parganas,700162,10,15,12
01-07-2025,jharkhand,east singhbhum,831011,71,30,10
01-07-2025,gujarat,ahmedabad,382150,218,151,19
01-07-2025,gujarat,ahmedabad,382345,281,145,12
01-07-2025,uttar pradesh,mahrajganj,273303,180,633,10
01-07-2025,gujarat,ahmedabad,382230,94,80,13
01-07-2025,uttar pradesh,kushinagar,274304,779,777,14
01-07-2025,west bengal,north 24 parganas,700125,201,90,28
01-07-2025,gujarat,ahmedabad,380018,74,32,11
01-07-2025,uttar pradesh,shrawasti,271803,116,337,25
01-07-2025,west bengal,north 24 parganas,743423,356,131,45
01-07-2025,west bengal,north 24 parganas,700129,26,32,18
01-07-2025,west bengal,north 24 parganas,700102,76,67,14
01-07-2025,gujarat,ahmedabad,380058,174,91,15
01-07-2025,west bengal,uttar dinajpur,733202,760,680,24
01-07-2025,jharkhand,east singhbhum,831012,215,133,14
01-07-2025,west bengal,north 24 parganas,743329,718,688,12
01-07-2025,gujarat,ahmedabad,382240,50,36,14
01-07-2025,west bengal,north 24 parganas,743245,39,46,15
01-09-2025,assam,south salmara mancachar,783131,8,6,0
01-09-2025,chhattisgarh,manendragarh-chirmiri-bharatpur (m c b),497449,4,0,0
01-09-2025,gujarat,ahmedabad,380054,1,0,0
01-09-2025,gujarat,ahmedabad,382350,3,0,0
01-09-2025,gujarat,banas kantha,385110,3,9,0
01-09-2025,gujarat,banas kantha,385330,19,8,1
01-09-2025,gujarat,banas kantha,385421,2,2,0
01-09-2025,gujarat,banas kantha,385545,7,13,0
01-09-2025,gujarat,banas kantha,385555,8,5,1
01-09-2025,gujarat,banas kantha,385570,6,1,0
01-09-2025,jammu and kashmir,budgam,190018,1,0,0
01-09-2025,jammu and kashmir,bandipora,193504,4,0,0
01-09-2025,jammu and kashmir,baramulla,193122,0,1,0
01-09-2025,jammu and kashmir,baramulla,193301,5,0,0
01-09-2025,jammu and kashmir,baramulla,193303,3,0,0
01-09-2025,jharkhand,garhwa,822124,1,0,0
01-09-2025,jharkhand,hazaribagh,825301,1,0,0
01-09-2025,jharkhand,palamu,822113,2,3,0
01-09-2025,karnataka,bagalkote,587120,4,0,0
01-09-2025,karnataka,bagalkote,587122,4,1,0
01-09-2025,karnataka,bagalkote,587203,8,2,0
01-09-2025,karnataka,bagalkote,587205,2,0,0
01-09-2025,karnataka,bagalkote,587206,6,2,0
01-09-2025,karnataka,bagalkote,587207,4,0,0
01-09-2025,karnataka,bagalkote,587314,2,1,0
01-09-2025,karnataka,bagalkote,587116,1,0,0
01-09-2025,karnataka,bagalkote,587125,1,0,0
01-09-2025,karnataka,bengaluru rural,561203,10,2,1
01-09-2025,karnataka,bengaluru rural,562110,2,1,0
01-09-2025,karnataka,bengaluru rural,562122,4,0,0
01-09-2025,karnataka,bengaluru rural,562129,3,0,0
01-09-2025,karnataka,chamarajanagar,571439,3,0,0
01-09-2025,karnataka,chamarajanagar,571457,1,0,0
01-09-2025,karnataka,chamarajanagar,571117,1,0,0
01-09-2025,karnataka,chikkamagaluru,577124,1,0,0
01-09-2025,karnataka,chikkamagaluru,577138,1,0,0
01-09-2025,karnataka,chikkamagaluru,577548,4,1,0
01-09-2025,karnataka,chikkaballapura,561208,7,0,0
01-09-2025,karnataka,chikkaballapura,561210,2,0,0
01-09-2025,karnataka,chikkaballapura,562101,7,1,0
01-09-2025,karnataka,chikkaballapura,562102,2,0,0
01-09-2025,karnataka,chikkaballapura,562104,5,0,0
01-09-2025,karnataka,chikkaballapura,563123,1,0,0
01-09-2025,karnataka,chikkaballapura,563125,12,0,0
01-09-2025,karnataka,chikkamagaluru,577101,1,0,0
01-09-2025,karnataka,davanagere,577004,3,1,0
01-09-2025,karnataka,davanagere,577224,11,0,0
01-09-2025,karnataka,davanagere,577516,2,0,0
01-09-2025,karnataka,davanagere,577551,0,1,0
01-09-2025,karnataka,davanagere,577553,3,0,0
01-09-2025,karnataka,gadag,582116,1,1,0
01-09-2025,karnataka,shivamogga,577203,1,0,0
01-09-2025,karnataka,shivamogga,577227,2,0,0
01-09-2025,karnataka,shivamogga,577401,1,0,0
01-09-2025,karnataka,shivamogga,577413,3,1,0
01-09-2025,karnataka,shivamogga,577427,3,1,0
01-09-2025,karnataka,shivamogga,577450,2,0,0
01-09-2025,karnataka,tumakuru,572107,1,0,0
01-09-2025,karnataka,tumakuru,572111,2,0,0
01-09-2025,karnataka,tumakuru,572112,3,0,0
01-09-2025,karnataka,tumakuru,572124,1,0,0
01-09-2025,karnataka,tumakuru,572218,1,0,0
01-09-2025,kerala,kasaragod,671321,2,0,0
01-09-2025,madhya pradesh,agar-malwa,465447,3,0,0
01-09-2025,madhya pradesh,ashoknagar,473330,19,4,0
01-09-2025,madhya pradesh,ashoknagar,473332,1,0,0
01-09-2025,madhya pradesh,ashoknagar,473335,7,4,0
01-09-2025,madhya pradesh,narsimhapur,487110,1,0,0
01-09-2025,madhya pradesh,narsimhapur,487118,9,2,0
01-09-2025,madhya pradesh,narsimhapur,487225,3,2,0
01-09-2025,madhya pradesh,narsimhapur,487770,2,2,0
01-09-2025,maharashtra,buldhana,443201,1,0,0
01-09-2025,maharashtra,buldhana,444303,1,0,0
01-09-2025,maharashtra,gondia,441601,5,0,0
01-09-2025,andhra pradesh,ananthapuramu,515672,2,0,0
01-09-2025,andhra pradesh,ananthapuramu,515761,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515842,3,0,0
01-09-2025,andhra pradesh,ananthapuramu,515867,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515872,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515301,3,1,0
01-09-2025,andhra pradesh,ananthapuramu,515787,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515803,2,0,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,533213,1,0,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,533232,1,0,0
01-09-2025,odisha,angul,759119,2,0,0
01-09-2025,odisha,angul,759127,4,0,0
01-09-2025,odisha,boudh,762017,1,1,0
01-09-2025,odisha,bargarh,768107,1,0,0
01-09-2025,odisha,bargarh,768108,9,0,0
01-09-2025,odisha,bargarh,768121,1,0,0
01-09-2025,odisha,jagatsinghapur,754103,1,0,0
01-09-2025,odisha,jajpur,754292,2,1,0
01-09-2025,odisha,jajpur,755005,7,1,0
01-09-2025,odisha,jajpur,755006,3,0,0
01-09-2025,odisha,jajpur,755027,2,0,0
01-09-2025,odisha,jajpur,755036,4,0,0
01-09-2025,odisha,keonjhar,758017,3,3,0
01-09-2025,odisha,keonjhar,758021,8,0,0
01-09-2025,odisha,keonjhar,758022,7,1,0
01-09-2025,odisha,keonjhar,758035,7,6,0
01-09-2025,odisha,keonjhar,758041,3,1,0
01-09-2025,odisha,keonjhar,758043,4,0,0
01-09-2025,odisha,keonjhar,758083,2,0,0
01-09-2025,odisha,khordha,751001,2,1,0
01-09-2025,odisha,khordha,751003,1,0,0
01-09-2025,odisha,khordha,751010,0,1,0
01-09-2025,odisha,khordha,751019,0,3,0
01-09-2025,odisha,khordha,751021,2,0,0
01-09-2025,odisha,khordha,751030,1,1,0
01-09-2025,odisha,khordha,752027,2,1,0
01-09-2025,odisha,khordha,752038,2,0,0
01-09-2025,odisha,nabarangpur,764061,4,2,0
01-09-2025,odisha,sonepur,767023,7,1,0
01-09-2025,odisha,sundargarh,770002,4,0,0
01-09-2025,odisha,sundargarh,770012,4,0,0
01-09-2025,odisha,sundargarh,770023,1,0,0
01-09-2025,odisha,sundargarh,770036,4,1,0
01-09-2025,odisha,sundargarh,770040,14,3,0
01-09-2025,odisha,sundargarh,770044,3,2,0
01-09-2025,odisha,sundargarh,770048,2,0,0
01-09-2025,odisha,jajpur,755025,1,0,0
01-09-2025,punjab,ferozepur,142052,1,0,0
01-09-2025,punjab,ferozepur,152001,3,0,0
01-09-2025,punjab,ferozepur,152033,1,0,0
01-09-2025,punjab,shahid bhagat singh nagar,144417,1,0,0
01-09-2025,rajasthan,chittorgarh,312404,1,0,0
01-09-2025,rajasthan,chittorgarh,312601,3,0,0
01-09-2025,rajasthan,chittorgarh,323305,1,0,0
01-09-2025,rajasthan,chittorgarh,323307,4,0,0
01-09-2025,rajasthan,jalore,307030,4,3,0
01-09-2025,rajasthan,jalore,307803,2,6,0
01-09-2025,rajasthan,jalore,343022,4,5,0
01-09-2025,rajasthan,jhunjhunu,333023,6,0,0
01-09-2025,rajasthan,jhunjhunu,333029,3,1,0
01-09-2025,rajasthan,jhunjhunu,333035,2,1,0
01-09-2025,rajasthan,jhunjhunu,333503,1,1,0
01-09-2025,tamil nadu,kanniyakumari,629002,0,0,1
01-09-2025,tamil nadu,kanniyakumari,629169,0,1,0
01-09-2025,tamil nadu,kanniyakumari,629170,0,1,0
01-09-2025,tamil nadu,kanniyakumari,629174,2,0,0
01-09-2025,tamil nadu,kanniyakumari,629301,2,0,0
01-09-2025,tamil nadu,tirupathur,635802,2,1,0
01-09-2025,tamil nadu,thiruvallur,600055,2,1,0
01-09-2025,tamil nadu,thiruvallur,600057,2,0,0
01-09-2025,tamil nadu,thiruvallur,600060,2,0,0
01-09-2025,tamil nadu,thiruvallur,600072,2,0,0
01-09-2025,tamil nadu,thiruvallur,600077,2,2,0
01-09-2025,tamil nadu,thiruvallur,600080,1,0,0
01-09-2025,tamil nadu,thiruvallur,600099,3,0,0
01-09-2025,tamil nadu,thiruvallur,600103,1,0,0
01-09-2025,tamil nadu,thiruvallur,600109,1,0,0
01-09-2025,tamil nadu,thiruvallur,602002,4,0,0
01-09-2025,tamil nadu,thiruvallur,631206,1,0,0
01-09-2025,tamil nadu,thiruvallur,631210,3,0,0
01-09-2025,tamil nadu,viluppuram,604152,3,0,0
01-09-2025,tamil nadu,viluppuram,604202,2,0,0
01-09-2025,tamil nadu,viluppuram,604304,1,0,0
01-09-2025,tamil nadu,viluppuram,605201,1,0,0
01-09-2025,tamil nadu,viluppuram,605203,2,1,0
01-09-2025,tamil nadu,viluppuram,605402,1,1,0
01-09-2025,tamil nadu,viluppuram,605754,1,0,0
01-09-2025,tamil nadu,viluppuram,605755,4,0,0
01-09-2025,tamil nadu,viluppuram,606107,4,1,0
01-09-2025,tamil nadu,viluppuram,606202,1,0,0
01-09-2025,tamil nadu,viluppuram,606207,4,0,0
01-09-2025,tamil nadu,viluppuram,606208,2,0,0
01-09-2025,telangana,jayashankar bhupalapally,506168,1,0,0
01-09-2025,telangana,jayashankar bhupalapally,506348,2,3,0
01-09-2025,telangana,jayashankar bhupalapally,506366,1,0,0
01-09-2025,uttar pradesh,firozabad,224121,0,3,0
01-09-2025,uttar pradesh,firozabad,224153,0,1,0
01-09-2025,uttar pradesh,firozabad,224158,0,4,0
01-09-2025,uttar pradesh,firozabad,224188,1,0,0
01-09-2025,uttar pradesh,firozabad,224201,3,1,0
01-09-2025,uttar pradesh,firozabad,224206,5,0,0
01-09-2025,uttar pradesh,firozabad,225407,2,1,0
01-09-2025,uttar pradesh,firozabad,225408,0,2,0
01-09-2025,uttar pradesh,mahrajganj,273157,7,4,0
01-09-2025,uttar pradesh,mahrajganj,273161,1,4,0
01-09-2025,uttar pradesh,mahrajganj,273162,7,5,0
01-09-2025,west bengal,darjeeling,734301,0,1,0
01-09-2025,west bengal,malda,732127,1,0,0
01-09-2025,west bengal,malda,732207,1,0,0
01-09-2025,west bengal,malda,732210,0,3,0
01-09-2025,west bengal,purulia,723101,12,3,0
01-09-2025,west bengal,purulia,723103,11,3,0
01-09-2025,west bengal,purulia,723131,4,5,0
01-09-2025,west bengal,purulia,723145,3,3,1
01-09-2025,west bengal,purulia,723157,5,1,0
01-09-2025,west bengal,purulia,723214,2,0,0
01-09-2025,assam,sivasagar,785666,1,0,0
01-09-2025,assam,sivasagar,785672,0,1,0
01-09-2025,bihar,aurangabad,824123,0,1,0
01-09-2025,bihar,purbi champaran,845303,0,1,0
01-09-2025,bihar,purbi champaran,845431,0,1,0
01-09-2025,bihar,purnia,854337,3,3,0
01-09-2025,gujarat,ahmedabad,380007,2,0,0
01-09-2025,gujarat,ahmedabad,380026,2,0,0
01-09-2025,gujarat,ahmedabad,382415,1,0,0
01-09-2025,gujarat,banas kantha,385001,19,8,0
01-09-2025,gujarat,banas kantha,385120,24,8,0
01-09-2025,gujarat,banas kantha,385310,14,15,0
01-09-2025,gujarat,banas kantha,385530,1,5,0
01-09-2025,jammu and kashmir,bandipora,193501,7,0,0
01-09-2025,jammu and kashmir,baramulla,193101,12,1,1
01-09-2025,jammu and kashmir,baramulla,193103,6,0,0
01-09-2025,jammu and kashmir,baramulla,193121,2,2,0
01-09-2025,jammu and kashmir,baramulla,193123,3,0,0
01-09-2025,jammu and kashmir,baramulla,193201,9,0,0
01-09-2025,jammu and kashmir,baramulla,193202,1,0,0
01-09-2025,jharkhand,hazaribagh,825313,0,1,0
01-09-2025,jharkhand,hazaribagh,825315,0,1,0
01-09-2025,jharkhand,koderma,825410,3,3,0
01-09-2025,jharkhand,pakur,816104,3,0,0
01-09-2025,jharkhand,sahebganj,816105,0,1,0
01-09-2025,karnataka,bagalkote,587112,0,0,1
01-09-2025,karnataka,bagalkote,587113,3,0,0
01-09-2025,karnataka,bagalkote,587116,15,0,0
01-09-2025,karnataka,bagalkote,587204,7,0,0
01-09-2025,karnataka,bagalkote,587313,10,1,0
01-09-2025,karnataka,bengaluru rural,561205,2,0,0
01-09-2025,karnataka,bengaluru rural,562111,1,0,0
01-09-2025,karnataka,bengaluru rural,562135,1,0,0
01-09-2025,karnataka,chamarajanagar,571127,3,1,0
01-09-2025,karnataka,chamarajanagar,571342,1,0,0
01-09-2025,karnataka,chamarajanagar,571111,1,0,0
01-09-2025,karnataka,chikkamagaluru,577547,2,0,0
01-09-2025,karnataka,chikkaballapura,563124,4,2,0
01-09-2025,karnataka,chikkaballapura,563146,2,0,0
01-09-2025,karnataka,davanagere,577003,1,0,0
01-09-2025,karnataka,davanagere,577513,1,0,0
01-09-2025,karnataka,davanagere,577528,2,0,1
01-09-2025,karnataka,davanagere,577556,2,0,0
01-09-2025,karnataka,davanagere,577589,1,0,0
01-09-2025,karnataka,davanagere,583125,2,0,0
01-09-2025,karnataka,hassan,573111,1,0,0
01-09-2025,karnataka,hassan,573116,2,0,0
01-09-2025,karnataka,hassan,573124,2,0,0
01-09-2025,karnataka,hassan,573127,1,0,0
01-09-2025,karnataka,hassan,573220,2,0,0
01-09-2025,karnataka,shivamogga,577225,1,0,0
01-09-2025,karnataka,shivamogga,577243,1,0,0
01-09-2025,karnataka,shivamogga,577245,1,0,0
01-09-2025,karnataka,shivamogga,577416,1,0,0
01-09-2025,karnataka,shivamogga,577432,1,0,0
01-09-2025,karnataka,tumakuru,572117,5,0,0
01-09-2025,karnataka,tumakuru,572127,1,0,0
01-09-2025,karnataka,tumakuru,572129,1,0,0
01-09-2025,karnataka,tumakuru,572137,4,1,0
01-09-2025,karnataka,tumakuru,572138,3,0,0
01-09-2025,karnataka,tumakuru,572139,2,0,0
01-09-2025,karnataka,tumakuru,572175,1,0,0
01-09-2025,karnataka,tumakuru,572216,1,0,0
01-09-2025,madhya pradesh,ashoknagar,473440,4,3,0
01-09-2025,madhya pradesh,harda,461251,0,1,0
01-09-2025,madhya pradesh,harda,461441,3,3,0
01-09-2025,madhya pradesh,narsimhapur,487221,3,0,0
01-09-2025,madhya pradesh,narsimhapur,487334,3,2,0
01-09-2025,madhya pradesh,narsimhapur,487337,1,0,0
01-09-2025,maharashtra,buldhana,443001,1,0,0
01-09-2025,maharashtra,buldhana,443206,0,1,0
01-09-2025,maharashtra,gondia,441614,7,1,1
01-09-2025,maharashtra,gondia,441806,3,0,0
01-09-2025,maharashtra,gondia,441807,8,0,0
01-09-2025,maharashtra,mumbai suburban,400071,2,0,0
01-09-2025,maharashtra,mumbai suburban,400079,2,0,0
01-09-2025,maharashtra,mumbai suburban,400097,1,0,0
01-09-2025,maharashtra,nandurbar,425452,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515101,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515408,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515411,2,0,0
01-09-2025,andhra pradesh,ananthapuramu,515661,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515711,3,0,0
01-09-2025,andhra pradesh,ananthapuramu,515722,2,0,0
01-09-2025,andhra pradesh,ananthapuramu,515124,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515571,2,0,0
01-09-2025,andhra pradesh,ananthapuramu,515631,1,1,0
01-09-2025,andhra pradesh,ananthapuramu,515731,0,1,0
01-09-2025,andhra pradesh,ananthapuramu,515765,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515842,1,0,0
01-09-2025,andhra pradesh,ananthapuramu,515865,3,1,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,533262,0,1,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,533274,1,0,0
01-09-2025,telangana,ranga reddy,501510,2,1,0
01-09-2025,uttar pradesh,bulandshahr,202396,1,0,0
01-09-2025,uttar pradesh,firozabad,224171,1,2,0
01-09-2025,uttar pradesh,firozabad,224195,1,0,0
01-09-2025,uttar pradesh,firozabad,224202,1,3,0
01-09-2025,uttar pradesh,firozabad,224208,0,1,0
01-09-2025,uttar pradesh,firozabad,224284,0,1,0
01-09-2025,uttar pradesh,mahrajganj,273207,2,2,0
01-09-2025,uttar pradesh,mahrajganj,273306,2,0,0
01-09-2025,west bengal,darjeeling,734203,0,1,0
01-09-2025,west bengal,darjeeling,734434,2,1,0
01-09-2025,west bengal,malda,732139,3,0,0
01-09-2025,west bengal,malda,732206,3,1,0
01-09-2025,west bengal,purulia,723121,5,6,0
01-09-2025,west bengal,purulia,723126,19,6,0
01-09-2025,west bengal,purulia,723130,2,0,0
01-09-2025,west bengal,purulia,723132,1,1,0
01-09-2025,west bengal,purulia,723144,2,0,0
01-09-2025,west bengal,purulia,723147,5,2,0
01-09-2025,west bengal,purulia,723154,1,1,0
01-09-2025,west bengal,purulia,723202,7,0,0
01-09-2025,west bengal,purulia,723212,8,1,0
01-09-2025,odisha,angul,759132,1,1,0
01-09-2025,odisha,angul,759143,1,0,0
01-09-2025,odisha,boudh,762018,0,2,0
01-09-2025,odisha,bargarh,768119,2,0,0
01-09-2025,odisha,jagatsinghapur,754137,1,0,0
01-09-2025,odisha,jajpur,755004,1,2,0
01-09-2025,odisha,jajpur,755013,1,0,0
01-09-2025,odisha,jajpur,755015,3,0,0
01-09-2025,odisha,jajpur,755017,0,1,0
01-09-2025,odisha,keonjhar,758002,1,0,0
01-09-2025,odisha,keonjhar,758014,6,2,0
01-09-2025,odisha,keonjhar,758015,10,2,0
01-09-2025,odisha,keonjhar,758019,5,1,0
01-09-2025,odisha,keonjhar,758028,14,5,0
01-09-2025,odisha,keonjhar,758031,12,1,0
01-09-2025,odisha,keonjhar,758044,3,1,0
01-09-2025,odisha,keonjhar,758046,1,0,0
01-09-2025,odisha,keonjhar,758047,2,0,0
01-09-2025,odisha,keonjhar,758080,4,2,0
01-09-2025,odisha,khordha,751002,1,0,0
01-09-2025,odisha,khordha,751029,1,0,0
01-09-2025,odisha,khordha,752018,3,0,0
01-09-2025,odisha,khordha,752066,3,0,0
01-09-2025,odisha,khordha,752102,3,1,0
01-09-2025,odisha,khordha,752114,3,0,0
01-09-2025,odisha,nabarangpur,764049,25,6,0
01-09-2025,odisha,nabarangpur,764063,6,2,0
01-09-2025,odisha,nabarangpur,764071,13,7,0
01-09-2025,odisha,sonepur,767062,9,1,0
01-09-2025,odisha,sundargarh,769003,2,2,0
01-09-2025,odisha,sundargarh,770011,1,0,0
01-09-2025,odisha,sundargarh,770014,6,1,0
01-09-2025,odisha,sundargarh,770019,2,0,0
01-09-2025,odisha,sundargarh,770031,1,0,0
01-09-2025,odisha,sundargarh,770033,10,0,0
01-09-2025,odisha,sundargarh,770076,3,0,0
01-09-2025,odisha,jajpur,755008,1,0,0
01-09-2025,odisha,keonjhar,758002,1,0,0
01-09-2025,rajasthan,chittorgarh,312022,0,1,0
01-09-2025,rajasthan,chittorgarh,312204,0,1,0
