date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,haryana,yamunanagar,133202,12,41
01-03-2025,gujarat,sabar kantha,383001,219,987
01-03-2025,manipur,thoubal,795132,40,169
01-03-2025,manipur,thoubal,795103,99,560
01-03-2025,tripura,west tripura,799035,34,678
01-03-2025,delhi,north,110084,440,4081
01-03-2025,jharkhand,saraikela kharsawan,831012,51,442
01-03-2025,telangana,kumuram bheem asifabad,504273,17,234
01-03-2025,gujarat,surendranagar,363520,110,950
01-03-2025,tripura,north tripura,799261,37,440
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502278,52,233
01-03-2025,telangana,medchal malkajgiri,500055,492,1809
01-03-2025,gujarat,surendranagar,382755,35,89
01-03-2025,gujarat,surendranagar,382765,45,289
01-03-2025,andhra pradesh,y.s.r. kadapa,516227,22,161
01-03-2025,delhi,east,110091,303,3481
01-03-2025,maharashtra,mumbai,400011,24,335
01-03-2025,gujarat,panch mahals,389340,42,251
01-03-2025,haryana,yamunanagar,135103,42,473
01-03-2025,gujarat,sabar kantha,383350,42,374
01-03-2025,delhi,west,110015,167,2159
01-03-2025,manipur,bishnupur,795133,256,1456
01-03-2025,gujarat,surendranagar,363410,31,340
01-03-2025,manipur,churachandpur,795124,16,40
01-03-2025,maharashtra,raigad,402201,22,307
01-03-2025,haryana,yamunanagar,133103,67,356
01-03-2025,assam,cachar,788819,20,203
01-03-2025,telangana,medchal malkajgiri,500055,29,87
01-03-2025,punjab,s.a.s nagar,160014,10,209
01-03-2025,meghalaya,ri bhoi,793102,123,959
01-03-2025,madhya pradesh,khandwa (east nimar),450991,55,168
01-03-2025,haryana,yamunanagar,135002,21,201
01-03-2025,manipur,jiribam,795116,11,222
01-03-2025,gujarat,dangs,394730,152,276
01-03-2025,gujarat,sabar kantha,383245,43,269
01-03-2025,gujarat,panch mahals,389365,53,411
01-03-2025,telangana,warangal,506314,22,160
01-03-2025,delhi,central,110003,75,571
01-03-2025,gujarat,surendranagar,363040,64,283
01-03-2025,gujarat,sabar kantha,383225,32,157
01-03-2025,tripura,west tripura,799015,11,184
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524405,16,336
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524408,13,277
01-03-2025,andhra pradesh,y.s.r. kadapa,516390,23,214
01-03-2025,telangana,warangal,506005,36,192
01-03-2025,telangana,yadadri bhuvanagiri,508285,13,446
01-03-2025,telangana,medchal malkajgiri,500014,35,212
01-03-2025,telangana,kumuram bheem asifabad,504299,68,688
01-03-2025,gujarat,panch mahals,389230,36,405
01-03-2025,telangana,kumuram bheem asifabad,504313,50,412
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502291,14,95
01-03-2025,nagaland,kiphire,798611,60,682
01-06-2025,maharashtra,mumbai,400037,135,1012
01-06-2025,delhi,south,110074,133,1248
01-06-2025,delhi,east,110031,186,1397
01-06-2025,haryana,yamunanagar,135101,43,359
01-06-2025,andhra pradesh,y.s.r. kadapa,516001,148,654
01-07-2025,gujarat,surendranagar,363310,152,1187
01-07-2025,delhi,south,110080,80,721
01-07-2025,delhi,west,110027,222,1730
01-07-2025,punjab,s.a.s nagar,140603,207,1917
01-07-2025,telangana,warangal,506002,176,1481
01-07-2025,delhi,west,110015,232,1645
01-07-2025,madhya pradesh,khargone (west nimar),451001,238,1147
01-07-2025,delhi,west,110059,1346,9576
01-07-2025,delhi,south,110025,344,2233
01-07-2025,delhi,west,110041,1467,4529
01-07-2025,delhi,north,110006,245,1925
01-09-2025,madhya pradesh,khandwa (east nimar),450051,0,3
01-09-2025,madhya pradesh,khandwa (east nimar),450881,4,7
01-09-2025,madhya pradesh,khandwa (east nimar),451115,1,0
01-09-2025,madhya pradesh,khargone (west nimar),451001,2,37
01-09-2025,madhya pradesh,khargone (west nimar),451224,0,13
01-09-2025,madhya pradesh,khargone (west nimar),451441,4,50
01-09-2025,chhattisgarh,balrampur-ramanujganj,497220,2,54
01-09-2025,chhattisgarh,balrampur-ramanujganj,497223,5,144
01-09-2025,chhattisgarh,dakshin bastar dantewada,494441,1,1
01-09-2025,chhattisgarh,dakshin bastar dantewada,494556,0,1
01-09-2025,chhattisgarh,uttar bastar kanker,494336,0,1
01-09-2025,chhattisgarh,uttar bastar kanker,494635,0,2
01-09-2025,chhattisgarh,uttar bastar kanker,494665,2,3
01-09-2025,chhattisgarh,uttar bastar kanker,494669,0,2
01-09-2025,chhattisgarh,uttar bastar kanker,494670,0,3
01-09-2025,chhattisgarh,uttar bastar kanker,494777,1,5
01-09-2025,delhi,central,110002,9,18
01-09-2025,delhi,central,110012,1,13
01-09-2025,delhi,central,110055,4,25
01-09-2025,delhi,east,110051,12,50
01-09-2025,delhi,east,110091,14,71
01-09-2025,delhi,east,110094,0,1
01-09-2025,delhi,north,110006,5,44
01-09-2025,delhi,north,110054,1,8
01-09-2025,delhi,north,110084,16,88
01-09-2025,delhi,south,110003,0,7
01-09-2025,delhi,south,110062,11,83
01-09-2025,delhi,south,110080,3,12
01-09-2025,delhi,west,110015,6,54
01-09-2025,delhi,west,110059,19,194
01-09-2025,gujarat,panch mahals,388713,0,4
01-09-2025,gujarat,panch mahals,389115,4,21
01-09-2025,gujarat,panch mahals,389172,1,3
01-09-2025,gujarat,panch mahals,389250,0,3
01-09-2025,gujarat,panch mahals,389260,0,10
01-09-2025,gujarat,panch mahals,389365,2,17
01-09-2025,gujarat,sabar kantha,383001,0,32
01-09-2025,gujarat,sabar kantha,383030,1,2
01-09-2025,gujarat,sabar kantha,383120,0,8
01-09-2025,gujarat,sabar kantha,383210,0,14
01-09-2025,gujarat,sabar kantha,383255,3,11
01-09-2025,gujarat,sabar kantha,383307,0,3
01-09-2025,gujarat,sabar kantha,383315,0,12
01-09-2025,gujarat,sabar kantha,383350,1,23
01-09-2025,gujarat,sabar kantha,383421,0,3
01-09-2025,gujarat,sabar kantha,383434,0,5
01-09-2025,gujarat,sabar kantha,383440,1,4
01-09-2025,gujarat,surendranagar,360055,0,1
01-09-2025,gujarat,surendranagar,363351,0,6
01-09-2025,gujarat,surendranagar,382775,0,17
01-09-2025,haryana,yamunanagar,133103,0,3
01-09-2025,haryana,yamunanagar,133204,0,2
01-09-2025,haryana,yamunanagar,135021,0,8
01-09-2025,haryana,yamunanagar,135102,0,12
01-09-2025,jharkhand,saraikela kharsawan,831012,1,5
01-09-2025,jharkhand,saraikela kharsawan,831013,1,19
01-09-2025,jharkhand,saraikela kharsawan,833101,1,10
01-09-2025,jharkhand,saraikela kharsawan,833102,0,7
01-09-2025,jharkhand,saraikela kharsawan,831002,0,2
01-09-2025,jharkhand,saraikela kharsawan,832404,0,12
01-09-2025,maharashtra,mumbai,400002,0,6
01-09-2025,maharashtra,mumbai,400008,1,20
01-09-2025,maharashtra,mumbai,400010,2,9
01-09-2025,maharashtra,mumbai,400012,0,9
01-09-2025,maharashtra,mumbai,400020,0,2
01-09-2025,maharashtra,raigad,402106,0,1
01-09-2025,maharashtra,raigad,402201,0,7
01-09-2025,maharashtra,raigad,402202,0,2
01-09-2025,maharashtra,raigad,410101,1,1
01-09-2025,maharashtra,raigad,410203,0,5
01-09-2025,maharashtra,raigad,410207,0,4
01-09-2025,maharashtra,raigad,410216,0,1
01-09-2025,manipur,chandel,795141,0,1
01-09-2025,manipur,churachandpur,795124,4,7
01-09-2025,manipur,senapati,795007,2,7
01-09-2025,manipur,senapati,795010,1,2
01-09-2025,manipur,senapati,795104,1,12
01-09-2025,manipur,senapati,795113,0,3
01-09-2025,manipur,senapati,795146,0,1
01-09-2025,manipur,tamenglong,795125,0,9
01-09-2025,manipur,thoubal,795103,11,48
01-09-2025,meghalaya,ri bhoi,793116,0,4
01-09-2025,nagaland,kohima,797002,0,3
01-09-2025,nagaland,kohima,797110,0,5
01-09-2025,nagaland,longleng,798618,0,1
01-09-2025,nagaland,meluri,797114,0,3
01-09-2025,nagaland,mokokchung,798604,0,5
01-09-2025,nagaland,mokokchung,798614,0,2
01-09-2025,nagaland,mon,798602,2,12
01-09-2025,nagaland,tseminyu,797109,0,1
01-09-2025,nagaland,zunheboto,798620,1,12
01-09-2025,punjab,sri muktsar sahib,152107,0,9
01-09-2025,punjab,s.a.s nagar,140301,0,2
01-09-2025,punjab,s.a.s nagar,140308,0,1
01-09-2025,punjab,s.a.s nagar,140603,0,1
01-09-2025,punjab,s.a.s nagar,160059,0,1
01-09-2025,punjab,s.a.s nagar,140110,0,1
01-09-2025,punjab,s.a.s nagar,140413,0,1
01-09-2025,punjab,s.a.s nagar,140501,0,7
01-09-2025,punjab,s.a.s nagar,140507,3,21
01-09-2025,punjab,s.a.s nagar,160055,0,8
01-09-2025,punjab,s.a.s nagar,160062,0,7
01-09-2025,punjab,s.a.s nagar,160071,0,2
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502110,0,1
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502220,0,4
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502256,0,1
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502295,0,1
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502300,0,1
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502325,0,3
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524001,1,24
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524002,3,20
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524004,6,22
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524101,0,25
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524121,2,10
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524223,0,3
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524225,0,5
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524342,0,2
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524402,1,9
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524410,0,3
01-09-2025,andhra pradesh,y.s.r. kadapa,516001,2,14
01-09-2025,andhra pradesh,y.s.r. kadapa,516309,0,2
01-09-2025,andhra pradesh,y.s.r. kadapa,516329,0,1
01-09-2025,andhra pradesh,y.s.r. kadapa,516380,0,3
01-09-2025,andhra pradesh,y.s.r. kadapa,516390,1,1
01-09-2025,andhra pradesh,y.s.r. kadapa,516474,1,1
01-09-2025,andhra pradesh,y.s.r. kadapa,516503,0,1
01-09-2025,assam,cachar,788830,3,5
01-09-2025,assam,cachar,788831,0,3
01-09-2025,assam,tamulpur,781364,1,7
01-09-2025,uttar pradesh,sant kabir nagar,221304,19,63
01-09-2025,uttar pradesh,sant kabir nagar,221310,10,18
01-09-2025,uttar pradesh,sant kabir nagar,221314,4,30
01-09-2025,uttar pradesh,sant kabir nagar,221402,7,51
01-09-2025,uttar pradesh,bhadohi,221314,0,1
01-09-2025,uttar pradesh,bhadohi,221401,0,1
01-09-2025,west bengal,cooch behar,736118,0,2
01-09-2025,west bengal,cooch behar,736121,0,1
01-09-2025,west bengal,cooch behar,736132,0,28
01-09-2025,west bengal,cooch behar,736156,1,65
01-09-2025,west bengal,cooch behar,736166,0,8
01-09-2025,west bengal,cooch behar,736169,0,19
01-09-2025,west bengal,cooch behar,736174,0,4
01-09-2025,west bengal,cooch behar,736177,0,8
01-09-2025,west bengal,cooch behar,736179,0,3
01-09-2025,west bengal,cooch behar,736207,0,26
01-09-2025,west bengal,north 24 parganas,700058,0,1
01-09-2025,west bengal,north 24 parganas,700110,0,7
01-09-2025,west bengal,north 24 parganas,700118,0,1
01-09-2025,west bengal,north 24 parganas,700121,0,7
01-09-2025,west bengal,north 24 parganas,700130,0,11
01-09-2025,west bengal,north 24 parganas,700156,1,9
01-09-2025,west bengal,north 24 parganas,700159,0,1
01-09-2025,west bengal,north 24 parganas,743166,0,4
01-09-2025,west bengal,north 24 parganas,743193,0,2
01-09-2025,west bengal,north 24 parganas,743222,0,1
01-09-2025,west bengal,north 24 parganas,743425,0,15
01-09-2025,west bengal,north 24 parganas,743446,0,39
01-09-2025,west bengal,south 24 parganas,700061,0,12
01-09-2025,west bengal,south 24 parganas,700070,1,6
01-09-2025,west bengal,south 24 parganas,700082,0,8
01-09-2025,west bengal,south 24 parganas,700140,0,4
01-09-2025,west bengal,south 24 parganas,743329,1,27
01-09-2025,west bengal,south 24 parganas,743336,0,1
01-09-2025,west bengal,south 24 parganas,743347,3,60
02-09-2025,telangana,kumuram bheem asifabad,504311,0,9
02-09-2025,telangana,medchal malkajgiri,500010,6,48
02-09-2025,telangana,medchal malkajgiri,500016,0,1
02-09-2025,telangana,medchal malkajgiri,500040,1,8
02-09-2025,telangana,medchal malkajgiri,500056,2,10
02-09-2025,telangana,medchal malkajgiri,500067,2,11
02-09-2025,telangana,medchal malkajgiri,500087,4,27
02-09-2025,telangana,medchal malkajgiri,500090,3,58
02-09-2025,telangana,medchal malkajgiri,500043,0,2
02-09-2025,telangana,medchal malkajgiri,500083,0,0
02-09-2025,telangana,warangal,506112,0,5
02-09-2025,telangana,warangal,506313,0,35
02-09-2025,telangana,warangal,506369,0,9
02-09-2025,telangana,warangal,505102,1,1
02-09-2025,telangana,warangal,506370,1,0
02-09-2025,telangana,yadadri bhuvanagiri,508112,2,43
02-09-2025,telangana,yadadri bhuvanagiri,508115,2,22
02-09-2025,telangana,yadadri bhuvanagiri,508252,2,42
02-09-2025,tripura,gomati,799101,2,9
02-09-2025,tripura,north tripura,799251,1,10
02-09-2025,tripura,north tripura,799263,1,21
02-09-2025,tripura,north tripura,799264,0,11
02-09-2025,tripura,north tripura,799271,0,12
02-09-2025,tripura,north tripura,799277,0,6
02-09-2025,tripura,north tripura,799288,0,2
02-09-2025,tripura,sepahijala,799130,0,1
02-09-2025,tripura,south tripura,799101,1,16
02-09-2025,tripura,south tripura,799104,2,34
02-09-2025,tripura,south tripura,799105,2,17
02-09-2025,tripura,south tripura,799114,0,10
02-09-2025,tripura,south tripura,799157,3,9
02-09-2025,tripura,unakoti,799264,1,10
02-09-2025,tripura,unakoti,799279,0,4
02-09-2025,tripura,unakoti,799280,2,5
02-09-2025,tripura,west tripura,799002,0,23
02-09-2025,tripura,west tripura,799014,0,1
02-09-2025,tripura,west tripura,799055,0,1
02-09-2025,tripura,west tripura,799105,0,9
02-09-2025,tripura,west tripura,799115,1,10
02-09-2025,tripura,west tripura,799181,0,13
02-09-2025,tripura,west tripura,799203,1,7
02-09-2025,tripura,west tripura,799205,7,24
02-09-2025,uttar pradesh,bara banki,225121,0,1
02-09-2025,uttar pradesh,bara banki,225405,0,1
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502107,1,2
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502109,0,4
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502115,0,2
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502117,0,1
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502269,0,3
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502311,0,1
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502313,1,2
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502318,0,1
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502321,1,1
02-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502375,0,1
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524004,4,23
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524121,1,21
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524126,0,18
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524302,0,9
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524309,0,5
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524310,0,3
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524341,0,2
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524342,2,1
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524406,1,2
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524410,0,5
02-09-2025,andhra pradesh,sri potti sriramulu nellore,524411,0,5
02-09-2025,andhra pradesh,y.s.r. kadapa,516321,0,1
02-09-2025,andhra pradesh,y.s.r. kadapa,516390,1,5
02-09-2025,andhra pradesh,y.s.r. kadapa,516434,1,8
02-09-2025,andhra pradesh,y.s.r. kadapa,516503,0,4
02-09-2025,assam,cachar,788831,0,1
02-09-2025,assam,tamulpur,781360,2,9
02-09-2025,chhattisgarh,balrampur-ramanujganj,497119,6,34
02-09-2025,chhattisgarh,balrampur-ramanujganj,497223,3,67
02-09-2025,chhattisgarh,balrampur-ramanujganj,497225,6,242
02-09-2025,delhi,central,110001,0,1
02-09-2025,delhi,central,110002,1,13
02-09-2025,delhi,central,110003,5,18
02-09-2025,delhi,central,110055,3,42
02-09-2025,delhi,east,110053,5,1
02-09-2025,delhi,north,110054,4,16
02-09-2025,delhi,south,110003,0,5
02-09-2025,delhi,south,110014,0,14
02-09-2025,delhi,south,110062,5,108
02-09-2025,delhi,south,110065,3,19
02-09-2025,delhi,south,110080,1,18
02-09-2025,delhi,west,110018,13,91
02-09-2025,delhi,west,110043,2,7
02-09-2025,delhi,west,110059,32,228
02-09-2025,delhi,west,110063,1,29
03-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502251,0,2
03-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502295,0,1
03-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502313,1,3
03-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502319,0,6
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524124,1,7
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524218,1,8
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524223,0,8
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524224,1,5
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524228,1,9
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524302,0,8
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524309,0,7
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524310,0,5
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524316,0,6
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524320,1,8
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524321,3,1
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524322,1,7
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524341,1,7
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524343,0,9
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524403,0,14
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524404,0,6
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524411,0,5
03-09-2025,andhra pradesh,sri potti sriramulu nellore,524412,1,12
03-09-2025,andhra pradesh,y.s.r. kadapa,516003,0,8
03-09-2025,andhra pradesh,y.s.r. kadapa,516004,0,4
03-09-2025,andhra pradesh,y.s.r. kadapa,516172,1,8
03-09-2025,andhra pradesh,y.s.r. kadapa,516216,0,1
03-09-2025,assam,cachar,788818,0,2
03-09-2025,assam,cachar,788819,3,7
03-09-2025,chhattisgarh,balrampur-ramanujganj,497001,4,28
03-09-2025,chhattisgarh,balrampur-ramanujganj,497225,5,164
03-09-2025,chhattisgarh,dakshin bastar dantewada,494441,0,3
03-09-2025,chhattisgarh,dakshin bastar dantewada,494449,1,6
03-09-2025,chhattisgarh,janjgir-champa,495559,0,1
03-09-2025,chhattisgarh,uttar bastar kanker,494335,0,11
02-09-2025,west bengal,cooch behar,735236,0,5
02-09-2025,west bengal,cooch behar,736121,0,2
02-09-2025,west bengal,cooch behar,736132,0,17
02-09-2025,west bengal,cooch behar,736134,1,65
02-09-2025,west bengal,cooch behar,736135,1,96
02-09-2025,west bengal,cooch behar,736168,0,49
02-09-2025,west bengal,cooch behar,736169,0,14
02-09-2025,west bengal,cooch behar,736176,0,10
02-09-2025,west bengal,cooch behar,736179,0,1
02-09-2025,west bengal,cooch behar,736207,0,20
02-09-2025,west bengal,north 24 parganas,700065,0,6
02-09-2025,west bengal,north 24 parganas,700119,0,11
02-09-2025,west bengal,north 24 parganas,700125,0,8
02-09-2025,west bengal,north 24 parganas,700130,0,6
02-09-2025,west bengal,north 24 parganas,700131,0,7
02-09-2025,west bengal,north 24 parganas,700132,0,3
02-09-2025,west bengal,north 24 parganas,743166,0,14
02-09-2025,west bengal,north 24 parganas,743289,0,1
02-09-2025,west bengal,north 24 parganas,743711,0,4
02-09-2025,west bengal,south 24 parganas,700104,0,6
02-09-2025,west bengal,south 24 parganas,700105,0,10
02-09-2025,west bengal,south 24 parganas,700141,0,1
02-09-2025,west bengal,south 24 parganas,700153,0,1
02-09-2025,west bengal,south 24 parganas,743338,2,28
02-09-2025,west bengal,south 24 parganas,743349,0,43
02-09-2025,west bengal,south 24 parganas,743374,2,23
02-09-2025,west bengal,south 24 parganas,743377,0,5
02-09-2025,gujarat,panch mahals,388270,0,4
02-09-2025,gujarat,panch mahals,389235,0,7
02-09-2025,gujarat,panch mahals,389320,0,4
02-09-2025,gujarat,sabar kantha,383010,2,10
02-09-2025,gujarat,sabar kantha,383260,0,1
02-09-2025,gujarat,sabar kantha,383270,4,16
02-09-2025,gujarat,sabar kantha,383275,1,3
02-09-2025,gujarat,sabar kantha,383310,0,5
02-09-2025,gujarat,sabar kantha,383316,0,4
02-09-2025,gujarat,sabar kantha,383320,0,1
02-09-2025,gujarat,sabar kantha,383330,1,6
02-09-2025,gujarat,sabar kantha,383345,1,7
02-09-2025,gujarat,sabar kantha,383350,2,17
02-09-2025,gujarat,sabar kantha,383421,0,3
02-09-2025,gujarat,sabar kantha,383440,1,4
02-09-2025,gujarat,surendranagar,363110,0,4
02-09-2025,gujarat,surendranagar,363435,0,2
02-09-2025,gujarat,surendranagar,363610,0,2
02-09-2025,gujarat,surendranagar,382130,1,2
02-09-2025,gujarat,surendranagar,382755,0,3
02-09-2025,haryana,yamunanagar,133103,1,12
02-09-2025,jharkhand,saraikela kharsawan,831002,4,60
02-09-2025,jharkhand,saraikela kharsawan,832109,0,3
02-09-2025,jharkhand,saraikela kharsawan,832403,2,20
02-09-2025,jharkhand,saraikela kharsawan,832404,1,7
02-09-2025,jharkhand,saraikela kharsawan,831002,0,4
02-09-2025,jharkhand,saraikela kharsawan,831012,0,1
02-09-2025,jharkhand,saraikela kharsawan,831013,0,11
02-09-2025,jharkhand,saraikela kharsawan,832401,1,12
01-09-2025,sikkim,namchi,737132,0,1
01-09-2025,sikkim,namchi,737134,0,2
01-09-2025,telangana,kumuram bheem asifabad,504294,3,18
01-09-2025,telangana,kumuram bheem asifabad,504311,1,4
