date,state,district,pincode,age_0_5,age_5_17,age_18_greater,match
01-09-2025,uttar pradesh,mirzapur,231310,2,1,0,False
01-09-2025,uttar pradesh,sambhal,202412,0,4,0,False
01-09-2025,uttar pradesh,sambhal,202421,1,3,0,False
01-09-2025,uttar pradesh,sambhal,202523,2,6,0,False
01-09-2025,uttar pradesh,sonbhadra,232221,8,0,0,False
01-09-2025,uttar pradesh,unnao,241502,1,2,0,False
01-09-2025,uttar pradesh,varanasi,221209,0,1,0,False
01-09-2025,west bengal,bankura,722175,0,1,0,False
01-09-2025,west bengal,cooch behar,736175,1,0,0,False
01-09-2025,west bengal,darjeeling,734124,1,0,0,False
01-09-2025,west bengal,hooghly,712704,2,0,0,False
01-09-2025,west bengal,hooghly,712707,1,1,0,False
01-09-2025,west bengal,malda,732143,1,0,0,False
01-09-2025,west bengal,malda,732212,1,0,0,False
01-09-2025,west bengal,murshidabad,742232,0,2,0,False
01-09-2025,west bengal,murshidabad,742234,1,0,0,False
01-09-2025,west bengal,paschim medinipur,721165,1,1,0,False
01-09-2025,puducherry,puducherry,605106,2,0,0,False
01-09-2025,puducherry,puducherry,605110,14,0,0,False
01-09-2025,rajasthan,nagaur,341542,1,1,0,False
01-09-2025,tamil nadu,nagapattinam,611118,1,0,0,False
01-09-2025,tamil nadu,viluppuram,605107,1,1,0,False
01-09-2025,tamil nadu,viluppuram,605111,2,0,0,False
01-09-2025,maharashtra,thane,401610,0,0,1,False
01-09-2025,maharashtra,thane,421001,0,3,0,False
01-09-2025,odisha,angul,759104,1,0,0,False
01-09-2025,puducherry,puducherry,605501,2,0,0,False
01-09-2025,punjab,amritsar,143110,4,0,0,False
01-09-2025,rajasthan,jaipur,302011,1,0,0,False
01-09-2025,tamil nadu,karur,639003,0,1,0,False
01-09-2025,tamil nadu,madurai,625705,3,0,0,False
01-09-2025,tamil nadu,nagapattinam,610211,0,1,0,False
01-09-2025,tamil nadu,theni,625582,1,1,0,False
01-09-2025,telangana,jangoan,506313,1,0,0,False
01-09-2025,assam,dhemaji,786110,10,2,0,False
01-09-2025,assam,goalpara,783121,8,1,0,False
01-09-2025,bihar,muzaffarpur,843143,1,4,0,False
01-09-2025,bihar,muzaffarpur,843147,0,2,0,False
01-09-2025,bihar,muzaffarpur,843161,1,0,0,False
01-09-2025,bihar,patna,800018,1,1,0,False
01-09-2025,chhattisgarh,bastar,494005,0,1,0,False
01-09-2025,chhattisgarh,bijapur,494448,1,0,0,False
01-09-2025,chhattisgarh,bilaspur,495223,1,0,0,False
01-09-2025,chhattisgarh,dakshin bastar dantewada,494441,5,1,0,False
01-09-2025,chhattisgarh,gariyaband,494226,1,0,0,False
01-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396235,1,0,0,False
01-09-2025,dadra and nagar haveli and daman and diu,daman,396210,2,1,0,False
01-09-2025,gujarat,ahmedabad,382440,2,5,0,False
01-09-2025,gujarat,mahesana,382732,1,0,0,False
01-09-2025,gujarat,mahesana,382865,2,0,0,False
01-09-2025,gujarat,mahesana,384205,1,0,1,False
01-09-2025,gujarat,mahesana,384210,5,1,0,False
01-09-2025,gujarat,mahesana,384212,1,0,0,False
01-09-2025,jammu and kashmir,srinagar,191123,1,0,0,False
01-09-2025,jharkhand,gumla,835324,5,2,1,False
01-09-2025,jharkhand,simdega,835201,11,3,0,False
01-09-2025,karnataka,davanagere,577512,2,0,0,False
01-09-2025,karnataka,shivamogga,577448,1,0,0,False
01-09-2025,karnataka,vijayapura,586102,1,0,0,False
01-09-2025,kerala,thiruvananthapuram,695581,2,0,0,False
01-09-2025,madhya pradesh,bhopal,462420,3,2,0,False
01-09-2025,maharashtra,jalgaon,424116,3,2,0,False
01-09-2025,maharashtra,jalgaon,425121,0,1,0,False
01-09-2025,telangana,warangal,506313,2,0,0,False
01-09-2025,uttar pradesh,budaun,202522,0,1,0,False
01-09-2025,uttar pradesh,budaun,202523,0,12,0,False
01-09-2025,uttar pradesh,budaun,202524,2,1,0,False
01-09-2025,uttar pradesh,bulandshahr,202399,1,6,0,False
01-09-2025,uttar pradesh,bulandshahr,245402,1,0,0,False
01-09-2025,uttar pradesh,bulandshahr,245407,4,2,0,False
01-09-2025,uttar pradesh,farrukhabad,205302,5,4,0,False
01-09-2025,uttar pradesh,farrukhabad,207502,1,0,0,False
01-09-2025,uttar pradesh,farrukhabad,207504,1,0,0,False
01-09-2025,uttar pradesh,jaunpur,222102,0,1,0,False
01-09-2025,uttar pradesh,jaunpur,222111,0,2,0,False
01-09-2025,uttar pradesh,lucknow,227111,4,0,0,False
01-09-2025,uttar pradesh,lucknow,227115,3,6,0,False
01-09-2025,uttar pradesh,moradabad,202411,1,2,0,False
01-09-2025,uttar pradesh,prayagraj,228411,1,1,0,False
01-09-2025,uttar pradesh,sambhal,202527,3,1,0,False
01-09-2025,uttar pradesh,unnao,229503,1,1,0,False
01-09-2025,uttar pradesh,unnao,241503,2,3,0,False
01-09-2025,uttar pradesh,unnao,241504,9,16,0,False
01-09-2025,west bengal,cooch behar,736174,0,1,0,False
01-09-2025,west bengal,hooghly,712247,0,1,0,False
01-09-2025,west bengal,hooghly,712420,1,0,0,False
01-09-2025,west bengal,howrah,711416,2,1,0,False
01-09-2025,west bengal,murshidabad,742162,2,0,0,False
01-09-2025,west bengal,murshidabad,742181,3,0,0,False
01-09-2025,west bengal,purba bardhaman,713157,2,0,0,False
01-09-2025,west bengal,purba medinipur,721168,1,0,0,False
01-09-2025,west bengal,uttar dinajpur,733216,2,0,0,False
01-09-2025,mizoram,mamit,796471,1,0,0,False
01-09-2025,punjab,jalandhar,144004,0,1,0,False
01-09-2025,rajasthan,banswara,327608,2,0,0,False
01-09-2025,rajasthan,jaipur,302032,1,0,0,False
01-09-2025,tamil nadu,the nilgiris,643232,1,0,0,False
01-09-2025,bihar,bhagalpur,813206,0,1,0,False
01-09-2025,bihar,bhagalpur,813223,0,3,0,False
01-09-2025,bihar,bhagalpur,813225,1,1,0,False
01-09-2025,bihar,bhojpur,802315,1,1,0,False
01-09-2025,bihar,muzaffarpur,843153,2,7,0,False
01-09-2025,bihar,nawada,805104,2,12,1,False
01-09-2025,bihar,nawada,805130,5,21,0,False
01-09-2025,bihar,patna,803206,1,2,0,False
01-09-2025,chhattisgarh,raipur,492006,1,1,0,False
01-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396193,1,0,0,False
01-09-2025,gujarat,amreli,362730,1,0,0,False
01-09-2025,gujarat,bharuch,394116,0,1,0,False
01-09-2025,gujarat,junagadh,362266,2,0,0,False
01-09-2025,gujarat,mahesana,382165,2,0,0,False
01-09-2025,gujarat,mahesana,384350,2,0,0,False
01-09-2025,himachal pradesh,mandi,176126,1,0,0,False
01-09-2025,jammu and kashmir,pulwama,192306,0,1,0,False
01-09-2025,jharkhand,dumka,814145,1,2,0,False
01-09-2025,jharkhand,godda,814145,0,1,0,False
01-09-2025,jharkhand,ramgarh,829117,4,4,0,False
01-09-2025,karnataka,bidar,585415,1,0,0,False
01-09-2025,madhya pradesh,dhar,454129,1,0,0,False
01-09-2025,madhya pradesh,gwalior,474005,4,2,0,False
01-09-2025,madhya pradesh,raisen,464776,28,2,0,False
01-09-2025,madhya pradesh,umaria,484552,1,0,0,False
01-09-2025,maharashtra,akola,444115,1,0,0,False
01-09-2025,maharashtra,chandrapur,441228,2,0,0,False
01-09-2025,telangana,bhadradri kothagudem,507129,0,1,0,False
01-09-2025,telangana,mahabubnagar,509401,1,0,0,False
01-09-2025,uttar pradesh,azamgarh,224166,0,6,0,False
01-09-2025,uttar pradesh,baghpat,250645,2,3,0,False
01-09-2025,uttar pradesh,bara banki,227301,4,2,0,False
01-09-2025,uttar pradesh,budaun,202520,0,2,0,False
01-09-2025,uttar pradesh,bulandshahr,202389,0,0,1,False
01-09-2025,uttar pradesh,bulandshahr,202390,4,6,0,False
01-09-2025,uttar pradesh,bulandshahr,202391,2,1,0,False
01-09-2025,uttar pradesh,bulandshahr,202392,2,1,0,False
01-09-2025,uttar pradesh,bulandshahr,245401,2,3,0,False
01-09-2025,uttar pradesh,bulandshahr,245405,0,3,0,False
01-09-2025,uttar pradesh,bulandshahr,245409,2,4,0,False
01-09-2025,uttar pradesh,bulandshahr,245412,1,6,0,False
01-09-2025,uttar pradesh,farrukhabad,207505,0,2,0,False
01-09-2025,uttar pradesh,fatehpur,216221,10,6,0,False
01-09-2025,uttar pradesh,firozabad,205130,1,2,0,False
01-09-2025,uttar pradesh,firozabad,205142,2,3,1,False
01-09-2025,uttar pradesh,firozabad,205151,2,4,0,False
01-09-2025,uttar pradesh,lucknow,227125,5,2,0,False
01-09-2025,uttar pradesh,lucknow,227202,2,3,0,False
01-09-2025,uttar pradesh,lucknow,227305,9,14,0,False
01-09-2025,uttar pradesh,lucknow,227309,0,2,0,False
01-09-2025,uttar pradesh,mainpuri,205142,1,0,0,False
01-09-2025,uttar pradesh,mainpuri,206301,5,6,0,False
01-09-2025,uttar pradesh,sambhal,202411,2,2,0,False
01-09-2025,uttar pradesh,sambhal,202522,4,16,0,False
01-09-2025,uttar pradesh,unnao,209506,2,5,0,False
01-09-2025,uttar pradesh,unnao,241501,11,6,0,False
01-09-2025,uttarakhand,udham singh nagar,263146,1,0,0,False
01-09-2025,west bengal,bankura,722182,0,1,0,False
01-09-2025,west bengal,dakshin dinajpur,733154,0,1,0,False
01-09-2025,west bengal,hooghly,712705,4,1,0,False
01-09-2025,west bengal,hooghly,712708,0,1,0,False
01-09-2025,west bengal,murshidabad,742229,3,0,0,False
01-09-2025,west bengal,murshidabad,742231,2,0,0,False
01-09-2025,west bengal,north 24 parganas,743195,1,0,0,False
01-09-2025,west bengal,paschim medinipur,721123,0,1,0,False
01-09-2025,west bengal,paschim medinipur,721258,3,0,1,False
01-09-2025,west bengal,paschim medinipur,721518,1,0,0,False
01-09-2025,west bengal,south 24 parganas,743384,3,1,0,False
01-09-2025,west bengal,south 24 parganas,743603,0,1,0,False
01-09-2025,west bengal,uttar dinajpur,733157,1,0,0,False
01-09-2025,west bengal,uttar dinajpur,733211,8,2,0,False
01-09-2025,gujarat,porbandar,360560,2,0,0,False
01-09-2025,himachal pradesh,mandi,171304,1,0,0,False
01-09-2025,jharkhand,east singhbhum,831018,2,1,0,False
01-09-2025,jharkhand,ramgarh,825101,6,0,0,False
01-09-2025,madhya pradesh,alirajpur,457893,0,5,0,False
01-09-2025,madhya pradesh,chhindwara,480554,1,1,0,False
01-09-2025,madhya pradesh,jabalpur,482007,4,0,0,False
01-09-2025,madhya pradesh,panna,488051,0,2,0,False
01-09-2025,madhya pradesh,tikamgarh,472446,3,1,0,False
01-09-2025,odisha,sambalpur,768026,1,0,0,False
01-09-2025,puducherry,puducherry,605007,2,0,0,False
01-09-2025,punjab,jalandhar,144013,2,0,0,False
01-09-2025,rajasthan,ganganagar,335023,1,0,0,False
01-09-2025,rajasthan,ganganagar,335771,2,4,0,False
01-09-2025,rajasthan,pratapgarh,313611,6,1,0,False
01-09-2025,tamil nadu,chennai,600112,3,1,0,False
01-09-2025,tamil nadu,cuddalore,607402,3,0,0,False
01-09-2025,tamil nadu,salem,636104,0,1,0,False
01-09-2025,tamil nadu,thanjavur,614209,0,1,0,False
01-09-2025,bihar,aurangabad,824216,1,0,0,False
01-09-2025,bihar,aurangabad,824218,1,3,0,False
01-09-2025,bihar,begusarai,851122,2,2,0,False
01-09-2025,bihar,begusarai,851219,1,0,0,False
01-09-2025,bihar,bhagalpur,813129,2,1,0,False
01-09-2025,bihar,khagaria,851220,1,0,0,False
01-09-2025,bihar,nawada,805108,0,9,0,False
01-09-2025,bihar,patna,801117,1,1,0,False
01-09-2025,bihar,patna,801502,0,2,0,False
01-09-2025,bihar,purnia,854206,2,3,0,False
01-09-2025,bihar,samastipur,848237,1,2,0,False
01-09-2025,bihar,saran,841433,0,2,0,False
01-09-2025,bihar,vaishali,844131,2,0,0,False
01-09-2025,bihar,vaishali,844134,0,2,0,False
01-09-2025,chandigarh,chandigarh,160003,1,0,0,False
01-09-2025,chandigarh,chandigarh,160103,1,0,0,False
01-09-2025,chhattisgarh,bijapur,494444,6,7,5,False
01-09-2025,chhattisgarh,dakshin bastar dantewada,494552,1,0,0,False
01-09-2025,chhattisgarh,kondagaon,494226,10,1,0,False
01-09-2025,chhattisgarh,korba,495453,4,1,0,False
01-09-2025,chhattisgarh,sukma,494111,2,2,0,False
01-09-2025,dadra and nagar haveli and daman and diu,dadra and nagar haveli,396230,14,0,0,False
01-09-2025,goa,north goa,403004,0,1,0,False
01-09-2025,gujarat,ahmedabad,387810,7,2,0,False
01-09-2025,gujarat,arvalli,383350,4,1,0,False
01-09-2025,gujarat,gir somnath,362725,1,0,0,False
01-09-2025,gujarat,junagadh,362004,0,1,0,False
01-09-2025,gujarat,narmada,391121,0,1,0,False
01-09-2025,west bengal,paschim bardhaman,713368,0,1,0,False
01-09-2025,west bengal,purba medinipur,721142,1,0,0,False
01-09-2025,west bengal,purba medinipur,721169,1,0,0,False
01-09-2025,west bengal,purba medinipur,721461,1,0,0,False
01-09-2025,west bengal,uttar dinajpur,733212,0,2,0,False
01-09-2025,west bengal,uttar dinajpur,733213,1,1,0,False
01-09-2025,telangana,nagarkurnool,509401,2,2,0,False
01-09-2025,telangana,suryapet,508222,2,0,0,False
01-09-2025,uttar pradesh,baghpat,250515,2,0,0,False
01-09-2025,uttar pradesh,bara banki,227131,3,7,0,False
01-09-2025,uttar pradesh,bareilly,262407,7,5,0,False
01-09-2025,uttar pradesh,basti,272170,1,1,0,False
01-09-2025,uttar pradesh,budaun,202525,1,0,0,False
01-09-2025,uttar pradesh,bulandshahr,202393,6,8,0,False
01-09-2025,uttar pradesh,bulandshahr,202396,4,3,0,False
01-09-2025,uttar pradesh,bulandshahr,245403,2,1,0,False
01-09-2025,uttar pradesh,firozabad,205135,3,4,0,False
01-09-2025,uttar pradesh,firozabad,205141,4,0,0,False
01-09-2025,uttar pradesh,firozabad,215126,2,1,0,False
01-09-2025,uttar pradesh,gautam buddha nagar,201308,1,1,0,False
01-09-2025,uttar pradesh,kanpur dehat,209715,7,7,1,False
01-09-2025,uttar pradesh,lucknow,227105,2,0,0,False
01-09-2025,uttar pradesh,lucknow,227107,7,1,0,False
01-09-2025,uttar pradesh,mainpuri,206302,3,4,0,False
01-09-2025,uttar pradesh,unnao,229504,0,3,0,False
01-09-2025,uttarakhand,nainital,263002,0,0,1,False
01-09-2025,west bengal,bankura,722165,2,0,0,False
01-09-2025,west bengal,bankura,722180,2,0,0,False
01-09-2025,west bengal,bankura,722181,1,0,0,False
01-09-2025,west bengal,birbhum,731213,8,0,0,False
01-09-2025,west bengal,hooghly,712426,0,0,1,False
01-09-2025,west bengal,malda,732214,1,0,0,False
01-09-2025,west bengal,murshidabad,742173,2,0,0,False
01-09-2025,west bengal,murshidabad,742182,1,0,0,False
02-09-2025,uttar pradesh,bara banki,225002,0,1,0,False
02-09-2025,uttar pradesh,budaun,202523,8,11,0,False
02-09-2025,uttar pradesh,bulandshahr,202392,7,4,0,False
02-09-2025,uttar pradesh,bulandshahr,202394,5,6,0,False
02-09-2025,uttar pradesh,bulandshahr,202399,2,3,0,False
02-09-2025,uttar pradesh,bulandshahr,245411,1,2,0,False
02-09-2025,uttar pradesh,farrukhabad,207505,0,1,0,False
02-09-2025,uttar pradesh,jaunpur,222112,0,1,0,False
02-09-2025,uttar pradesh,lucknow,227125,3,8,0,False
02-09-2025,uttar pradesh,lucknow,227305,11,7,0,False
02-09-2025,uttar pradesh,mainpuri,205142,0,2,0,False
02-09-2025,uttar pradesh,mainpuri,206301,9,2,0,False
02-09-2025,uttar pradesh,mainpuri,206302,0,3,0,False
02-09-2025,uttar pradesh,moradabad,202414,1,0,0,False
02-09-2025,uttar pradesh,saharanpur,247670,2,0,0,False
02-09-2025,uttar pradesh,sambhal,202522,16,13,0,False
02-09-2025,uttar pradesh,sambhal,202527,3,5,0,False
02-09-2025,uttar pradesh,unnao,229502,1,1,0,False
02-09-2025,uttar pradesh,varanasi,221210,0,1,0,False
02-09-2025,west bengal,cooch behar,736175,3,0,0,False
02-09-2025,west bengal,cooch behar,736177,1,0,0,False
02-09-2025,west bengal,darjeeling,734436,0,1,0,False
02-09-2025,west bengal,hooghly,712707,1,0,0,False
02-09-2025,west bengal,malda,732212,0,1,0,False
02-09-2025,west bengal,murshidabad,742178,1,0,0,False
02-09-2025,west bengal,murshidabad,742234,1,0,0,False
02-09-2025,arunachal pradesh,kamle,791130,0,4,0,False
02-09-2025,arunachal pradesh,west siang,792051,1,0,0,False
02-09-2025,assam,goalpara,783121,7,0,1,False
02-09-2025,bihar,begusarai,851219,1,1,0,False
02-09-2025,bihar,bhagalpur,813206,1,0,0,False
02-09-2025,bihar,bhagalpur,813225,1,4,0,False
02-09-2025,bihar,bhagalpur,813228,0,1,0,False
02-09-2025,bihar,bhagalpur,813231,0,2,0,False
02-09-2025,bihar,patna,801502,0,1,0,False
02-09-2025,bihar,sitamarhi,843351,1,0,0,False
02-09-2025,bihar,vaishali,844141,0,1,0,False
02-09-2025,chhattisgarh,bijapur,494441,0,1,0,False
02-09-2025,chhattisgarh,bijapur,494448,0,4,0,False
02-09-2025,chhattisgarh,bilaspur,495223,3,0,0,False
02-09-2025,chhattisgarh,dakshin bastar dantewada,494552,1,0,0,False
02-09-2025,chhattisgarh,korba,495453,3,0,0,False
02-09-2025,chhattisgarh,korba,495678,2,0,0,False
02-09-2025,chhattisgarh,sukma,494115,0,4,0,False
02-09-2025,gujarat,amreli,362730,1,0,0,False
02-09-2025,gujarat,gandhinagar,382024,2,1,0,False
02-09-2025,gujarat,junagadh,362235,1,0,0,False
02-09-2025,gujarat,kachchh,370240,5,3,0,False
02-09-2025,gujarat,kachchh,370640,1,1,0,False
02-09-2025,gujarat,mahesana,382870,6,0,0,False
02-09-2025,gujarat,mahisagar,389240,3,2,0,False
02-09-2025,gujarat,narmada,393155,2,1,0,False
02-09-2025,haryana,ambala,133021,1,0,0,False
02-09-2025,jammu and kashmir,anantnag,192102,1,0,0,False
02-09-2025,jharkhand,dumka,814145,5,3,0,False
02-09-2025,jharkhand,east singhbhum,831008,1,1,0,False
02-09-2025,jharkhand,east singhbhum,831018,3,1,0,False
02-09-2025,jharkhand,simdega,835201,1,2,0,False
02-09-2025,karnataka,mysuru,570024,1,0,0,False
02-09-2025,karnataka,vijayapura,586245,4,2,0,False
02-09-2025,kerala,alappuzha,688012,1,0,0,False
02-09-2025,madhya pradesh,bhopal,462420,4,1,0,False
02-09-2025,madhya pradesh,sagar,470111,1,0,0,False
02-09-2025,maharashtra,chandrapur,441228,1,0,0,False
02-09-2025,maharashtra,jalgaon,424116,2,4,0,False
