date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_new
01-04-2025,meghalaya,east khasi hills,793005,60,215,66,
01-04-2025,bihar,west champaran,845306,120,184,20,
01-04-2025,bihar,west champaran,845101,300,402,11,
01-04-2025,karnataka,bengaluru,560045,383,31,15,
01-04-2025,meghalaya,north garo hills,783134,22,162,45,
01-04-2025,karnataka,bengaluru,560067,158,26,39,
01-04-2025,bihar,west champaran,845449,368,469,18,
01-04-2025,assam,karimganj,788720,72,49,14,
01-04-2025,sikkim,west sikkim,737121,52,65,10,
01-04-2025,haryana,gurgaon,122001,426,145,22,
01-04-2025,meghalaya,east khasi hills,793010,28,49,39,
01-04-2025,meghalaya,west garo hills,794104,401,379,149,
01-04-2025,karnataka,bengaluru,560078,232,36,26,
01-04-2025,meghalaya,east khasi hills,793002,124,154,43,
01-04-2025,maharashtra,aurangabad,431001,584,154,53,
01-04-2025,karnataka,bengaluru,560037,126,46,118,
01-04-2025,bihar,east champaran,845301,129,228,14,
01-04-2025,meghalaya,south west khasi hills,793106,31,102,73,
01-04-2025,karnataka,bengaluru,560068,330,60,54,
01-04-2025,meghalaya,south west garo hills,794106,83,86,22,
01-04-2025,meghalaya,south west garo hills,794115,481,253,85,
01-04-2025,assam,karimganj,788722,51,73,40,
01-04-2025,meghalaya,north garo hills,794002,94,501,51,
01-04-2025,meghalaya,east garo hills,794110,244,410,108,
01-04-2025,meghalaya,west khasi hills,793119,573,1812,642,
01-04-2025,bihar,west champaran,845452,406,463,15,
01-04-2025,karnataka,bengaluru,560084,93,16,16,
01-04-2025,bihar,west champaran,845438,604,773,16,
01-04-2025,meghalaya,east khasi hills,793014,26,49,11,
01-04-2025,delhi,south west delhi,110070,68,29,14,
01-04-2025,meghalaya,south west garo hills,794105,427,271,67,
01-04-2025,bihar,east champaran,845401,276,477,16,
01-04-2025,karnataka,bengaluru,560097,162,21,16,
01-04-2025,karnataka,bengaluru,560005,70,13,13,
01-04-2025,bihar,east champaran,845304,273,190,13,
01-04-2025,meghalaya,east khasi hills,793021,29,110,62,
01-04-2025,meghalaya,east khasi hills,793001,74,155,63,
01-04-2025,karnataka,bengaluru,560043,270,71,92,
01-04-2025,meghalaya,south garo hills,794114,56,108,44,
01-04-2025,bihar,west champaran,845455,298,498,21,
01-04-2025,meghalaya,south west khasi hills,793114,166,322,101,
01-04-2025,meghalaya,east khasi hills,793003,24,47,11,
01-04-2025,bihar,west champaran,845307,336,447,23,
01-04-2025,karnataka,bengaluru,560001,59,12,14,
01-04-2025,meghalaya,east khasi hills,793006,42,125,59,
01-04-2025,karnataka,bengaluru,560010,101,15,36,
01-04-2025,meghalaya,north garo hills,794112,23,76,26,
01-04-2025,karnataka,bengaluru,560099,152,27,15,
01-05-2025,meghalaya,west garo hills,794101,17,45,27,
01-05-2025,karnataka,bengaluru,560048,48,51,27,
01-05-2025,bihar,west champaran,845106,260,257,14,
01-05-2025,meghalaya,south west khasi hills,793119,19,49,34,
01-05-2025,meghalaya,east jaintia hills,793200,93,166,174,
01-05-2025,karnataka,bengaluru,560091,163,46,17,
01-05-2025,meghalaya,east khasi hills,793108,41,51,70,
01-05-2025,meghalaya,west garo hills,794105,71,54,65,
01-05-2025,assam,karimganj,788709,34,22,43,
01-05-2025,meghalaya,west khasi hills,793120,167,215,379,
01-05-2025,bihar,west champaran,845438,474,701,27,
01-05-2025,meghalaya,south west garo hills,794105,158,96,66,
01-05-2025,karnataka,bengaluru,560032,118,57,25,
01-05-2025,meghalaya,east khasi hills,793008,11,44,54,
01-05-2025,meghalaya,south garo hills,794103,15,79,32,
01-05-2025,meghalaya,east jaintia hills,793160,32,82,82,
01-05-2025,bihar,east champaran,845301,152,309,17,
01-05-2025,assam,karimganj,788724,88,116,23,
01-05-2025,meghalaya,west garo hills,794005,28,45,72,
01-05-2025,karnataka,bengaluru,560029,42,26,14,
01-05-2025,karnataka,bengaluru,560099,80,60,18,
01-05-2025,bihar,west champaran,845307,173,253,29,
01-05-2025,meghalaya,west jaintia hills,793150,417,416,309,
01-05-2025,karnataka,bengaluru,560036,74,71,24,
01-05-2025,karnataka,bengaluru,560068,164,120,80,
01-05-2025,meghalaya,east khasi hills,793004,27,54,21,
01-05-2025,meghalaya,east khasi hills,793015,75,393,347,
01-05-2025,bihar,west champaran,845455,303,406,37,
01-05-2025,meghalaya,east khasi hills,793009,19,97,108,
01-05-2025,karnataka,bengaluru,560045,187,65,15,
01-05-2025,bihar,east champaran,845303,168,524,42,
01-05-2025,meghalaya,east khasi hills,793021,30,48,63,
01-05-2025,bihar,west champaran,845449,312,476,18,
01-05-2025,assam,karimganj,788712,71,67,62,
01-05-2025,bihar,west champaran,845454,238,526,10,
01-05-2025,karnataka,bengaluru,560008,20,20,12,
01-05-2025,bihar,east champaran,845305,131,190,32,
01-05-2025,meghalaya,east khasi hills,793005,25,80,66,
01-05-2025,haryana,mewat,122508,1169,147,11,
01-05-2025,karnataka,bengaluru,560078,96,64,14,
01-05-2025,meghalaya,east khasi hills,793002,30,43,39,
01-05-2025,meghalaya,south garo hills,794107,12,22,10,
01-05-2025,karnataka,bengaluru,560064,157,83,29,
01-05-2025,assam,karimganj,788710,12,14,29,
01-05-2025,meghalaya,west garo hills,794001,63,64,19,
01-05-2025,assam,karimganj,788713,17,17,16,
01-05-2025,meghalaya,south west garo hills,794115,185,106,83,
01-05-2025,meghalaya,west garo hills,794002,42,342,158,
01-05-2025,karnataka,bengaluru,560058,91,33,17,
01-05-2025,karnataka,bengaluru,560067,75,63,45,
01-05-2025,bihar,east champaran,845302,207,386,26,
01-05-2025,haryana,gurgaon,122001,512,143,13,
01-05-2025,meghalaya,east khasi hills,793111,30,79,48,
01-05-2025,meghalaya,north garo hills,794002,65,168,91,
01-05-2025,meghalaya,west khasi hills,793119,239,888,544,
01-05-2025,delhi,north west delhi,110034,198,110,13,
01-05-2025,meghalaya,west garo hills,794109,104,89,66,
01-05-2025,karnataka,bengaluru,560084,24,13,13,
01-05-2025,karnataka,bengaluru,560066,92,63,43,
01-05-2025,karnataka,bengaluru,560102,44,35,25,
01-05-2025,meghalaya,west jaintia hills,793109,63,167,106,
01-05-2025,meghalaya,south garo hills,794102,33,123,55,
01-05-2025,delhi,south west delhi,110061,32,33,12,
01-05-2025,meghalaya,south west khasi hills,793106,23,29,63,
01-05-2025,karnataka,bengaluru,560093,14,20,15,
01-05-2025,delhi,south west delhi,110077,107,38,11,
01-05-2025,meghalaya,east khasi hills,793112,16,50,31,
01-05-2025,meghalaya,west garo hills,794103,72,119,161,
01-05-2025,assam,karimganj,788711,12,14,10,
01-05-2025,meghalaya,west jaintia hills,793161,12,50,101,
01-05-2025,meghalaya,east khasi hills,793016,12,14,23,
01-05-2025,karnataka,bengaluru,560043,127,102,58,
01-05-2025,meghalaya,east khasi hills,793012,37,127,113,
01-05-2025,meghalaya,east khasi hills,793010,65,149,75,
01-05-2025,meghalaya,east khasi hills,793001,48,125,50,
01-05-2025,karnataka,bengaluru,560047,40,26,13,
01-05-2025,karnataka,bengaluru,560075,23,20,11,
01-05-2025,meghalaya,west jaintia hills,793151,66,276,218,
01-05-2025,meghalaya,south garo hills,794005,22,128,77,
01-05-2025,meghalaya,east khasi hills,793019,14,16,18,
01-05-2025,karnataka,bengaluru,560100,129,105,29,
01-05-2025,karnataka,bengaluru,560076,95,81,21,
01-05-2025,bihar,east champaran,845401,235,645,17,
01-05-2025,bihar,east champaran,845304,178,96,14,
01-05-2025,bihar,east champaran,845415,192,377,12,
01-05-2025,karnataka,bengaluru,560097,77,39,12,
01-05-2025,karnataka,bengaluru,560037,81,61,57,
01-05-2025,meghalaya,east khasi hills,793022,10,44,46,
01-05-2025,karnataka,bengaluru,560103,55,30,33,
01-05-2025,meghalaya,east khasi hills,793121,88,373,435,
01-05-2025,delhi,south west delhi,110045,309,117,25,
01-05-2025,chhattisgarh,baloda bazar,493118,492,35,17,
01-05-2025,meghalaya,south west garo hills,794106,49,38,18,
01-05-2025,karnataka,bengaluru,560087,84,45,36,
01-05-2025,bihar,east champaran,845433,182,344,32,
01-05-2025,delhi,north west delhi,110040,170,141,12,
01-05-2025,karnataka,bengaluru,560035,101,70,60,
01-05-2025,karnataka,bengaluru,560077,102,95,41,
01-05-2025,meghalaya,south garo hills,794114,23,36,18,
01-05-2025,meghalaya,east khasi hills,793110,91,298,155,
01-05-2025,assam,karimganj,788722,52,32,10,
01-05-2025,meghalaya,east garo hills,794110,71,164,92,
01-05-2025,meghalaya,east garo hills,794111,109,284,175,
01-05-2025,meghalaya,east khasi hills,793113,56,129,56,
01-05-2025,karnataka,bengaluru,560061,70,37,11,
01-05-2025,karnataka,bengaluru,560049,89,61,16,
01-05-2025,meghalaya,south west khasi hills,793114,93,114,103,
01-05-2025,meghalaya,west garo hills,794104,286,236,140,
01-05-2025,manipur,imphal west,795001,44,37,25,
01-05-2025,meghalaya,east khasi hills,793006,43,45,49,
01-05-2025,karnataka,bengaluru,560016,97,61,38,
01-05-2025,bihar,west champaran,845306,174,256,22,
01-06-2025,meghalaya,east khasi hills,793001,19,118,33,
01-06-2025,meghalaya,west garo hills,794109,76,92,78,
01-06-2025,meghalaya,west garo hills,794005,29,199,240,
01-06-2025,the dadra and nagar haveli and daman and diu,dadra and nagar haveli,396230,188,49,12,
01-06-2025,meghalaya,east khasi hills,793112,11,67,54,
01-06-2025,meghalaya,south west garo hills,794115,231,170,126,
01-06-2025,gujarat,dohad,389380,167,40,10,
01-06-2025,meghalaya,south garo hills,794102,13,125,203,
01-06-2025,meghalaya,east khasi hills,793006,11,63,32,
01-06-2025,west bengal,medinipur west,721201,45,67,10,
01-06-2025,meghalaya,east khasi hills,793113,16,110,25,
01-06-2025,meghalaya,west garo hills,794105,179,222,128,
01-06-2025,gujarat,dohad,389382,57,89,59,
01-06-2025,meghalaya,east jaintia hills,793200,49,259,226,
01-06-2025,meghalaya,east khasi hills,793022,12,73,36,
01-06-2025,gujarat,dohad,389140,48,131,10,
01-06-2025,meghalaya,south west khasi hills,793114,24,119,96,
01-06-2025,delhi,south west delhi,110045,202,90,29,
01-06-2025,assam,karimganj,788724,104,109,15,
01-06-2025,meghalaya,east khasi hills,793111,72,209,75,
01-06-2025,meghalaya,east jaintia hills,793160,47,155,82,
01-06-2025,assam,karimganj,788713,30,35,10,
01-06-2025,meghalaya,west garo hills,794104,160,205,148,
01-06-2025,meghalaya,east garo hills,794111,40,236,223,
01-06-2025,meghalaya,south garo hills,794107,10,34,23,
01-06-2025,meghalaya,west jaintia hills,793109,17,109,131,
01-06-2025,gujarat,dohad,389170,192,397,21,
01-06-2025,gujarat,dohad,389180,157,365,27,
01-06-2025,assam,karimganj,788710,21,15,17,
01-06-2025,assam,karimganj,788709,43,54,19,
01-06-2025,meghalaya,south garo hills,794114,19,38,86,
01-06-2025,meghalaya,east khasi hills,793002,14,88,27,
01-06-2025,meghalaya,west garo hills,794103,62,197,244,
01-06-2025,delhi,north west delhi,110034,217,96,16,
01-06-2025,meghalaya,east garo hills,794110,30,233,118,
01-06-2025,meghalaya,west khasi hills,793119,85,889,512,
01-06-2025,meghalaya,west khasi hills,793120,44,407,240,
01-06-2025,meghalaya,east khasi hills,793110,22,275,210,
01-06-2025,assam,karimganj,788712,55,64,36,
01-06-2025,delhi,north east delhi,110094,998,569,10,
01-06-2025,meghalaya,east khasi hills,793004,17,60,20,
01-06-2025,meghalaya,east khasi hills,793005,12,85,73,
01-06-2025,meghalaya,south west khasi hills,793106,30,65,50,
01-06-2025,gujarat,dohad,389155,123,215,17,
01-06-2025,meghalaya,east khasi hills,793108,19,97,53,
01-06-2025,meghalaya,east khasi hills,793015,36,302,129,
01-06-2025,meghalaya,south west garo hills,794106,33,39,19,
01-06-2025,meghalaya,west garo hills,794001,15,77,16,
01-06-2025,meghalaya,west jaintia hills,793151,47,319,168,
01-06-2025,delhi,north west delhi,110085,371,88,10,
01-06-2025,meghalaya,west jaintia hills,793150,128,589,335,
01-06-2025,gujarat,dohad,389175,93,87,20,
01-06-2025,gujarat,dohad,389151,325,511,27,
01-06-2025,meghalaya,east khasi hills,793121,26,328,211,
01-07-2025,meghalaya,kamrup,781131,13,71,59,
01-07-2025,gujarat,dohad,389180,334,919,49,
01-07-2025,meghalaya,west garo hills,794103,111,344,265,
01-07-2025,gujarat,dohad,389382,131,190,22,
01-07-2025,meghalaya,west garo hills,794104,359,329,251,
01-07-2025,meghalaya,east khasi hills,793021,18,88,92,
01-07-2025,meghalaya,south west garo hills,794106,167,77,35,
01-07-2025,meghalaya,north garo hills,794108,22,97,125,
01-07-2025,maharashtra,ahmednagar,414105,92,64,16,
01-07-2025,meghalaya,east khasi hills,793110,78,464,354,
01-07-2025,gujarat,dohad,389190,245,356,29,
01-07-2025,assam,karimganj,788806,166,83,19,
01-07-2025,meghalaya,east khasi hills,793005,25,135,88,
01-07-2025,karnataka,ramanagara,562160,168,24,12,
01-07-2025,meghalaya,east khasi hills,793009,12,113,110,
01-07-2025,meghalaya,east garo hills,794110,32,236,190,
01-07-2025,meghalaya,east khasi hills,793017,18,64,43,
01-07-2025,meghalaya,west jaintia hills,793109,18,113,118,
01-07-2025,meghalaya,east khasi hills,793015,46,325,424,
01-07-2025,meghalaya,east khasi hills,793111,71,276,131,
01-07-2025,meghalaya,south garo hills,794102,29,168,200,
01-07-2025,assam,karimganj,788720,474,205,11,
01-07-2025,gujarat,dohad,389172,321,304,23,
01-07-2025,gujarat,dohad,389380,225,174,20,
01-07-2025,assam,karimganj,788724,247,165,39,
01-07-2025,meghalaya,east khasi hills,793008,24,127,104,
01-07-2025,delhi,north west delhi,110034,372,126,16,
01-07-2025,meghalaya,east khasi hills,793006,41,86,54,
01-07-2025,gujarat,dohad,389140,122,286,21,
01-07-2025,assam,karimganj,788709,94,73,17,
01-07-2025,delhi,south west delhi,110045,468,207,29,
01-07-2025,meghalaya,west jaintia hills,793151,56,374,283,
01-07-2025,meghalaya,south west khasi hills,793114,108,192,225,
01-07-2025,meghalaya,east khasi hills,793014,10,39,16,
01-07-2025,assam,karimganj,788726,61,27,11,
01-07-2025,meghalaya,east khasi hills,793010,11,105,51,
01-07-2025,sikkim,west sikkim,737111,48,108,15,
01-07-2025,delhi,north east delhi,110094,1826,1029,19,
01-07-2025,sikkim,south sikkim,737121,100,147,13,
01-07-2025,gujarat,dohad,389154,119,415,32,
01-07-2025,meghalaya,west khasi hills,793120,155,602,324,
01-07-2025,meghalaya,west khasi hills,793119,287,1396,855,
01-07-2025,delhi,north west delhi,110085,486,141,30,
01-07-2025,meghalaya,east khasi hills,793022,15,111,60,
01-07-2025,meghalaya,east garo hills,794111,41,370,197,
01-07-2025,gujarat,dohad,389151,494,743,91,
01-07-2025,meghalaya,west jaintia hills,793150,150,602,482,
01-07-2025,meghalaya,west garo hills,794002,84,434,410,
01-07-2025,meghalaya,west garo hills,794101,19,49,53,
01-07-2025,gujarat,dohad,389155,228,446,84,
01-07-2025,meghalaya,east khasi hills,793004,36,72,20,
01-07-2025,meghalaya,south west khasi hills,793106,29,91,101,
01-07-2025,meghalaya,south garo hills,794107,15,38,36,
01-07-2025,meghalaya,west garo hills,794105,194,243,220,
01-07-2025,assam,karimganj,788728,75,119,14,
01-07-2025,meghalaya,east khasi hills,793112,27,83,54,
01-07-2025,madhya pradesh,east nimar,450661,189,254,15,
01-07-2025,the dadra and nagar haveli and daman and diu,dadra and nagar haveli,396230,360,92,15,
01-07-2025,meghalaya,west garo hills,794001,28,111,42,
01-07-2025,meghalaya,east khasi hills,793108,34,144,87,
01-07-2025,gujarat,dohad,389170,327,727,34,
01-07-2025,meghalaya,west garo hills,794109,49,78,108,
01-07-2025,maharashtra,osmanabad,413606,275,105,10,
01-07-2025,meghalaya,east khasi hills,793113,62,196,104,
01-07-2025,meghalaya,east khasi hills,793001,38,161,73,
01-07-2025,meghalaya,east jaintia hills,793160,108,228,182,
01-07-2025,meghalaya,east jaintia hills,793200,92,343,334,
01-07-2025,meghalaya,east khasi hills,793003,13,50,11,
01-07-2025,assam,karimganj,788712,126,131,19,
01-07-2025,maharashtra,ahmednagar,413705,90,94,12,
01-07-2025,assam,karimganj,788710,34,20,13,
01-07-2025,assam,karimganj,788701,528,175,13,
01-07-2025,meghalaya,south west garo hills,794115,203,195,138,
01-07-2025,gujarat,dohad,389152,156,301,33,
01-07-2025,maharashtra,aurangabad,431001,2262,1549,24,
01-07-2025,madhya pradesh,hoshangabad,461990,179,90,12,
01-07-2025,assam,karimganj,788725,126,59,27,
01-07-2025,meghalaya,east khasi hills,793019,25,77,35,
01-07-2025,west bengal,medinipur west,721301,280,233,10,
01-07-2025,delhi,north east delhi,110053,1042,554,12,
01-07-2025,meghalaya,west garo hills,794005,49,282,185,
01-07-2025,meghalaya,east khasi hills,793002,50,111,63,
01-07-2025,meghalaya,east khasi hills,793121,102,599,430,
01-09-2025,andhra pradesh,mahabub nagar,509360,3,1,0,
01-09-2025,andhra pradesh,mahbubnagar,509104,2,1,0,
01-09-2025,andhra pradesh,mahbubnagar,509208,1,0,0,
01-09-2025,andhra pradesh,mahbubnagar,509338,1,0,0,
01-09-2025,andhra pradesh,mahbubnagar,509411,1,0,0,
01-09-2025,andhra pradesh,n. t. r,520012,1,0,0,
01-09-2025,andhra pradesh,n. t. r,521183,1,0,0,
01-09-2025,andhra pradesh,n. t. r,521230,3,0,0,
01-09-2025,andhra pradesh,n. t. r,521235,1,0,0,
01-09-2025,andhra pradesh,nalgonda,508115,1,0,0,
01-09-2025,andhra pradesh,rangareddi,500047,1,0,0,
01-09-2025,andhra pradesh,rangareddi,500076,2,0,0,
01-09-2025,andhra pradesh,rangareddi,500092,0,1,0,
01-09-2025,andhra pradesh,rangareddi,501142,1,0,0,
01-09-2025,andhra pradesh,rangareddi,501359,1,0,0,
01-09-2025,andhra pradesh,rangareddi,501503,3,0,0,
01-09-2025,andhra pradesh,rangareddi,509337,2,1,0,
01-09-2025,andhra pradesh,warangal,506001,1,0,0,
01-09-2025,andhra pradesh,warangal,506101,1,2,0,
01-09-2025,andhra pradesh,warangal,506112,1,0,0,
01-09-2025,andhra pradesh,warangal,506132,1,1,0,
01-09-2025,andhra pradesh,warangal,506134,1,0,0,
01-09-2025,andhra pradesh,warangal,506332,1,0,0,
01-09-2025,andhra pradesh,warangal,506348,1,0,0,
01-09-2025,andhra pradesh,warangal,506381,1,0,0,
01-09-2025,assam,karimganj,788701,9,2,0,
01-09-2025,assam,karimganj,788719,5,1,0,
01-09-2025,assam,karimganj,788720,12,2,0,
01-09-2025,assam,karimganj,788724,3,0,0,
01-09-2025,assam,karimganj,788803,1,0,0,
01-09-2025,assam,karimganj,788806,23,3,0,
01-09-2025,bihar,east champaran,845416,3,2,0,
01-09-2025,bihar,east champaran,845418,7,9,0,
01-09-2025,bihar,east champaran,845428,6,2,0,
01-09-2025,bihar,east champaran,845432,5,1,0,
01-09-2025,bihar,east champaran,845456,1,3,0,
01-09-2025,bihar,west champaran,845102,0,1,0,
01-09-2025,bihar,west champaran,845106,10,19,0,
01-09-2025,bihar,west champaran,845107,0,1,0,
01-09-2025,bihar,west champaran,845450,3,16,1,
01-09-2025,chhattisgarh,baloda bazar,493101,7,1,0,
01-09-2025,chhattisgarh,baloda bazar,493222,3,0,0,
01-09-2025,chhattisgarh,baloda bazar,493332,5,1,0,
01-09-2025,chhattisgarh,baloda bazar,493559,4,1,0,
01-09-2025,chhattisgarh,kawardha,491995,8,1,0,
01-09-2025,delhi,north east delhi,110053,17,4,0,
01-09-2025,delhi,north west delhi,110009,2,1,0,
01-09-2025,delhi,north west delhi,110040,5,6,1,
01-09-2025,delhi,north west delhi,110088,1,0,0,
01-09-2025,delhi,south west delhi,110022,3,1,1,
01-09-2025,delhi,south west delhi,110038,1,0,0,
01-09-2025,delhi,south west delhi,110077,3,2,0,
01-09-2025,delhi,south west delhi,110078,9,0,1,
01-09-2025,gujarat,dohad,389154,3,4,0,
01-09-2025,gujarat,dohad,389172,0,3,0,
01-09-2025,gujarat,dohad,389190,1,0,0,
01-09-2025,haryana,mewat,122108,22,1,0,
01-09-2025,jammu and kashmir,kargil,194102,1,1,0,
01-09-2025,jammu and kashmir,kargil,194105,1,1,0,
01-09-2025,jammu and kashmir,leh,194101,2,0,0,
01-09-2025,jharkhand,purbi singhbhum,832110,3,0,0,
01-09-2025,karnataka,bangalore,560005,1,0,0,
01-09-2025,karnataka,bangalore,560011,2,0,0,
01-09-2025,karnataka,bangalore,560013,1,0,0,
01-09-2025,karnataka,bangalore,560023,3,3,0,
01-09-2025,karnataka,bangalore,560065,1,0,0,
01-09-2025,karnataka,bangalore,560082,1,0,0,
01-09-2025,karnataka,bangalore,560088,2,0,0,
01-09-2025,karnataka,bangalore,560089,1,0,0,
01-09-2025,karnataka,bangalore,560090,2,0,0,
01-09-2025,karnataka,bangalore,560097,3,0,0,
01-09-2025,karnataka,bangalore,560099,2,0,0,
01-09-2025,karnataka,bangalore,562120,0,1,0,
01-09-2025,karnataka,bangalore,562125,0,1,0,
01-09-2025,karnataka,belgaum,591102,6,0,0,
01-09-2025,karnataka,belgaum,591111,3,1,0,
01-09-2025,karnataka,belgaum,591118,1,0,0,
01-09-2025,karnataka,belgaum,591119,1,0,0,
01-09-2025,karnataka,belgaum,591129,3,1,0,
01-09-2025,karnataka,belgaum,591131,4,0,0,
01-09-2025,karnataka,belgaum,591136,2,0,0,
01-09-2025,karnataka,belgaum,591153,1,0,0,
01-09-2025,karnataka,belgaum,591213,1,0,0,
01-09-2025,karnataka,belgaum,591344,1,0,0,
01-09-2025,karnataka,bellary,583119,4,0,0,
01-09-2025,karnataka,bellary,583122,7,0,0,
01-09-2025,karnataka,bellary,583223,4,0,0,
01-09-2025,karnataka,bellary,583224,2,3,0,
01-09-2025,karnataka,bengaluru,560001,2,0,0,
01-09-2025,karnataka,bengaluru,560004,3,0,0,
01-09-2025,karnataka,bengaluru,560017,1,0,0,
01-09-2025,karnataka,bengaluru,560021,2,1,0,
01-09-2025,karnataka,bengaluru,560029,6,0,2,
01-09-2025,karnataka,bengaluru,560033,1,0,0,
01-09-2025,karnataka,bengaluru,560034,1,1,0,
01-09-2025,karnataka,bengaluru,560035,2,1,4,
