date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,madhya pradesh,khargone (west nimar),451228,270,103,15
01-07-2025,delhi,west,110059,1538,640,122
01-07-2025,madhya pradesh,khargone (west nimar),451441,403,397,50
01-07-2025,meghalaya,ri bhoi,793102,81,430,320
01-07-2025,delhi,west,110041,961,317,11
01-07-2025,west bengal,cooch behar,735210,150,289,12
01-07-2025,chhattisgarh,gaurela-pendra-marwahi,495117,220,105,27
01-07-2025,nagaland,dimapur,797103,44,104,10
01-07-2025,madhya pradesh,khargone (west nimar),451335,114,90,15
01-07-2025,delhi,north,110040,284,191,16
01-07-2025,gujarat,surendranagar,382775,137,104,10
01-07-2025,gujarat,surendranagar,382750,113,68,11
01-07-2025,nagaland,tuensang,798612,71,177,15
01-07-2025,madhya pradesh,khargone (west nimar),451221,184,98,10
01-07-2025,chhattisgarh,balrampur-ramanujganj,497119,244,111,15
01-07-2025,madhya pradesh,khargone (west nimar),451001,402,147,32
01-07-2025,delhi,west,110015,304,107,12
01-07-2025,delhi,west,110027,243,95,12
01-07-2025,tripura,north tripura,799271,124,75,17
01-07-2025,nagaland,longleng,798625,47,284,20
01-07-2025,nagaland,dimapur,797112,153,259,60
01-07-2025,uttar pradesh,siddharthnagar,272208,222,368,14
01-07-2025,uttar pradesh,siddharthnagar,272205,262,431,28
01-07-2025,nagaland,mon,798603,141,455,40
01-07-2025,delhi,central,110005,200,80,17
01-07-2025,andhra pradesh,sri potti sriramulu nellore,524223,43,27,11
01-07-2025,west bengal,cooch behar,736145,243,192,16
01-07-2025,delhi,south,110048,50,17,16
01-07-2025,delhi,central,110055,185,126,10
01-07-2025,west bengal,cooch behar,736167,335,366,10
01-07-2025,west bengal,cooch behar,735224,120,100,14
01-07-2025,nagaland,mokokchung,798601,73,134,13
01-07-2025,tripura,gomati,799114,69,45,10
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502032,2,0,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502291,3,0,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502375,0,1,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524134,0,1,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524142,6,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524218,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524221,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524240,2,1,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524309,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524315,3,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524343,3,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524366,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524405,2,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524406,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524412,2,0,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516002,2,0,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516003,2,1,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516172,2,0,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516233,1,0,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516289,1,0,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516433,1,0,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516501,1,0,0
01-09-2025,chhattisgarh,balrampur-ramanujganj,497001,5,0,0
01-09-2025,chhattisgarh,balrampur-ramanujganj,497118,18,4,0
01-09-2025,chhattisgarh,balrampur-ramanujganj,497224,6,4,0
01-09-2025,chhattisgarh,balrampur-ramanujganj,497225,20,15,0
01-09-2025,delhi,central,110005,4,5,0
01-09-2025,delhi,east,110031,9,3,1
01-09-2025,delhi,east,110053,2,1,0
01-09-2025,delhi,north,110007,10,2,0
01-09-2025,delhi,south,110013,1,1,0
01-09-2025,delhi,south,110016,1,1,0
01-09-2025,delhi,south,110047,4,1,0
01-09-2025,delhi,south,110068,2,0,1
01-09-2025,gujarat,panch mahals,388710,1,1,0
01-09-2025,gujarat,panch mahals,389220,1,0,0
01-09-2025,gujarat,panch mahals,389230,5,0,0
01-09-2025,gujarat,panch mahals,389240,2,0,0
01-09-2025,gujarat,panch mahals,389340,4,0,0
01-09-2025,gujarat,panch mahals,389350,0,2,0
01-09-2025,gujarat,panch mahals,389360,2,2,0
01-09-2025,gujarat,sabar kantha,383010,2,0,1
01-09-2025,gujarat,sabar kantha,383251,1,0,0
01-09-2025,gujarat,sabar kantha,383355,1,1,0
01-09-2025,gujarat,sabar kantha,383422,3,12,0
01-09-2025,gujarat,surendranagar,363002,2,0,0
01-09-2025,gujarat,surendranagar,363020,1,0,0
01-09-2025,gujarat,surendranagar,363040,2,1,0
01-09-2025,gujarat,surendranagar,363421,7,2,2
01-09-2025,gujarat,surendranagar,363427,3,1,0
01-09-2025,gujarat,surendranagar,382130,0,1,0
01-09-2025,haryana,yamunanagar,133206,1,0,0
01-09-2025,haryana,yamunanagar,135001,5,0,0
01-09-2025,haryana,yamunanagar,135101,3,0,0
01-09-2025,jharkhand,saraikela kharsawan,831002,4,2,0
01-09-2025,jharkhand,saraikela kharsawan,833219,1,1,0
01-09-2025,jharkhand,saraikela kharsawan,833220,3,0,0
01-09-2025,jharkhand,saraikela kharsawan,832403,3,0,0
01-09-2025,jharkhand,saraikela kharsawan,833219,1,0,0
01-09-2025,madhya pradesh,khandwa (east nimar),450114,1,4,0
01-09-2025,madhya pradesh,khandwa (east nimar),450771,3,0,0
01-09-2025,madhya pradesh,khargone (west nimar),451115,5,5,0
01-09-2025,madhya pradesh,khargone (west nimar),451220,2,0,0
01-09-2025,madhya pradesh,khargone (west nimar),451331,17,11,2
01-09-2025,madhya pradesh,khargone (west nimar),451440,4,0,0
01-09-2025,madhya pradesh,khargone (west nimar),451449,0,1,0
01-09-2025,maharashtra,mumbai,400003,3,0,0
01-09-2025,maharashtra,mumbai,400004,1,0,0
01-09-2025,maharashtra,mumbai,400005,2,0,0
01-09-2025,maharashtra,mumbai,400009,1,0,0
01-09-2025,maharashtra,mumbai,400016,2,0,0
01-09-2025,maharashtra,mumbai,400017,4,3,0
01-09-2025,maharashtra,mumbai,400018,0,1,0
01-09-2025,maharashtra,mumbai,400022,0,1,0
01-09-2025,maharashtra,mumbai,400078,2,0,0
01-09-2025,maharashtra,raigad,402107,1,0,0
01-09-2025,maharashtra,raigad,402309,1,0,0
01-09-2025,maharashtra,raigad,402403,1,0,0
01-09-2025,maharashtra,raigad,410218,2,1,0
01-09-2025,manipur,bishnupur,795126,0,1,0
01-09-2025,manipur,churachandpur,795133,1,0,0
01-09-2025,manipur,senapati,795106,0,3,0
01-09-2025,manipur,senapati,795107,2,4,0
01-09-2025,manipur,tamenglong,795159,2,5,0
01-09-2025,meghalaya,ri bhoi,793102,2,7,7
01-09-2025,meghalaya,ri bhoi,793122,0,0,1
01-09-2025,nagaland,dimapur,797116,0,2,0
01-09-2025,nagaland,kohima,797003,0,2,0
01-09-2025,nagaland,longleng,798625,1,4,0
01-09-2025,nagaland,mokokchung,798601,0,1,0
01-09-2025,nagaland,mon,798622,1,5,0
01-09-2025,nagaland,peren,797101,1,5,0
01-09-2025,nagaland,tuensang,798616,0,1,0
01-09-2025,punjab,sri muktsar sahib,152026,1,0,0
01-09-2025,punjab,s.a.s nagar,140306,2,0,0
01-09-2025,punjab,s.a.s nagar,140307,0,0,1
01-09-2025,telangana,kumuram bheem asifabad,504292,2,0,0
01-09-2025,telangana,kumuram bheem asifabad,504295,1,0,0
01-09-2025,telangana,medchal malkajgiri,500037,0,0,1
01-09-2025,telangana,medchal malkajgiri,500039,1,0,0
01-09-2025,telangana,medchal malkajgiri,500055,2,4,0
01-09-2025,telangana,medchal malkajgiri,500056,1,0,0
01-09-2025,telangana,medchal malkajgiri,500085,5,0,0
01-09-2025,telangana,medchal malkajgiri,501401,3,1,0
01-09-2025,telangana,medchal malkajgiri,500072,0,1,0
01-09-2025,telangana,warangal,506005,1,0,0
01-09-2025,telangana,warangal,506122,1,1,0
01-09-2025,telangana,warangal,506314,1,1,0
01-09-2025,telangana,warangal,506331,2,0,0
01-09-2025,telangana,warangal,506005,2,0,0
01-09-2025,telangana,yadadri bhuvanagiri,508285,2,0,0
01-09-2025,tripura,gomati,799104,2,0,0
01-09-2025,tripura,khowai,799203,0,0,1
01-09-2025,tripura,south tripura,799105,1,0,0
01-09-2025,tripura,south tripura,799142,1,0,0
01-09-2025,tripura,south tripura,799143,0,2,0
01-09-2025,tripura,south tripura,799145,5,1,0
01-09-2025,tripura,west tripura,799002,2,1,0
01-09-2025,tripura,west tripura,799008,3,0,0
01-09-2025,tripura,west tripura,799012,2,0,0
01-09-2025,tripura,west tripura,799115,0,1,0
01-09-2025,tripura,west tripura,799201,4,3,0
01-09-2025,tripura,west tripura,799205,2,2,0
01-09-2025,uttar pradesh,bara banki,225203,1,1,0
01-09-2025,uttar pradesh,bara banki,225301,1,0,0
01-09-2025,uttar pradesh,bara banki,225412,1,0,0
01-09-2025,uttar pradesh,sant kabir nagar,221301,1,3,0
01-09-2025,uttar pradesh,sant kabir nagar,221401,4,16,0
01-09-2025,uttar pradesh,sant kabir nagar,221407,0,1,0
01-09-2025,west bengal,cooch behar,736134,2,1,0
01-09-2025,west bengal,cooch behar,736135,4,4,0
01-09-2025,west bengal,cooch behar,736158,1,0,0
01-09-2025,west bengal,cooch behar,736170,1,1,0
01-09-2025,west bengal,cooch behar,736173,1,0,0
01-09-2025,west bengal,north 24 parganas,700125,1,0,0
01-09-2025,west bengal,north 24 parganas,700126,2,0,0
01-09-2025,west bengal,north 24 parganas,743221,2,0,0
01-09-2025,west bengal,south 24 parganas,700105,1,0,0
01-09-2025,west bengal,south 24 parganas,743383,1,0,0
01-09-2025,west bengal,south 24 parganas,743399,0,1,0
01-09-2025,west bengal,south 24 parganas,743503,7,2,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502287,1,0,0
01-09-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502313,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524126,2,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524201,5,2,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524228,3,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524230,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524234,2,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524236,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524239,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524303,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524305,1,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524307,2,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524314,3,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524316,1,1,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524321,2,0,0
01-09-2025,andhra pradesh,sri potti sriramulu nellore,524323,0,1,0
01-09-2025,andhra pradesh,y.s.r. kadapa,516360,1,1,1
01-09-2025,chhattisgarh,balrampur-ramanujganj,497119,5,1,0
01-09-2025,chhattisgarh,uttar bastar kanker,494776,2,0,0
01-09-2025,delhi,central,110001,0,1,0
01-09-2025,delhi,central,110060,4,0,0
01-09-2025,delhi,east,110096,5,2,0
01-09-2025,delhi,south,110017,4,0,0
01-09-2025,delhi,south,110019,6,3,1
01-09-2025,delhi,south,110044,18,11,0
01-09-2025,delhi,south,110049,14,0,0
01-09-2025,delhi,west,110026,0,1,0
01-09-2025,delhi,west,110043,0,1,0
01-09-2025,delhi,west,110063,6,1,0
01-09-2025,delhi,west,110087,2,3,0
01-09-2025,gujarat,panch mahals,388270,1,0,0
01-09-2025,gujarat,panch mahals,389001,6,1,0
01-09-2025,gujarat,panch mahals,389210,4,3,0
01-09-2025,gujarat,panch mahals,389380,2,0,0
01-09-2025,gujarat,sabar kantha,383110,10,0,0
01-09-2025,gujarat,sabar kantha,383220,1,1,1
01-09-2025,gujarat,sabar kantha,383245,1,0,0
01-09-2025,gujarat,sabar kantha,383250,2,0,0
01-09-2025,gujarat,sabar kantha,383276,0,1,0
01-09-2025,gujarat,surendranagar,363115,2,0,0
01-09-2025,gujarat,surendranagar,363330,2,2,0
01-09-2025,gujarat,surendranagar,363423,0,0,1
01-09-2025,gujarat,surendranagar,363530,1,1,0
01-09-2025,gujarat,surendranagar,382780,0,1,0
01-09-2025,gujarat,dangs,394710,11,6,0
01-09-2025,haryana,yamunanagar,135103,1,0,0
01-09-2025,haryana,yamunanagar,135106,2,0,0
01-09-2025,jharkhand,saraikela kharsawan,833216,3,0,0
01-09-2025,jharkhand,saraikela kharsawan,832402,1,1,0
01-09-2025,madhya pradesh,khandwa (east nimar),450117,1,3,0
01-09-2025,madhya pradesh,khandwa (east nimar),450551,1,4,0
01-09-2025,madhya pradesh,khandwa (east nimar),450661,3,1,0
01-09-2025,madhya pradesh,khandwa (east nimar),450991,1,3,0
01-09-2025,madhya pradesh,khargone (west nimar),451225,1,0,0
01-09-2025,madhya pradesh,khargone (west nimar),451442,4,4,0
01-09-2025,maharashtra,chhatrapati sambhajinagar,431001,2,1,0
01-09-2025,maharashtra,mumbai,400026,1,0,0
01-09-2025,maharashtra,raigad,402103,2,0,0
01-09-2025,manipur,bishnupur,795133,2,5,0
01-09-2025,manipur,churachandpur,795117,0,2,0
01-09-2025,manipur,churachandpur,795143,1,1,0
01-09-2025,manipur,senapati,795122,1,1,0
01-09-2025,manipur,tamenglong,795141,2,0,0
01-09-2025,manipur,thoubal,795138,5,4,0
01-09-2025,manipur,thoubal,795148,0,3,0
01-09-2025,manipur,thoubal,795149,0,1,0
01-09-2025,manipur,ukhrul,795145,1,3,0
01-09-2025,nagaland,chumoukedima,797115,1,0,0
01-09-2025,nagaland,dimapur,797103,2,2,0
01-09-2025,nagaland,dimapur,797112,3,4,1
01-09-2025,nagaland,kohima,797001,0,2,0
01-09-2025,nagaland,kohima,797005,1,1,0
01-09-2025,nagaland,phek,797102,1,0,0
01-09-2025,nagaland,phek,797108,2,1,1
01-09-2025,nagaland,tuensang,798612,3,0,0
01-09-2025,nagaland,tuensang,798625,1,3,0
01-09-2025,nagaland,wokha,797100,0,1,0
01-09-2025,nagaland,zunheboto,797109,0,0,1
01-09-2025,telangana,medchal malkajgiri,500010,3,6,0
01-09-2025,telangana,medchal malkajgiri,501301,2,1,0
01-09-2025,telangana,medchal malkajgiri,500043,1,0,0
01-09-2025,telangana,medchal malkajgiri,500056,0,2,0
01-09-2025,telangana,yadadri bhuvanagiri,508111,1,0,0
01-09-2025,telangana,yadadri bhuvanagiri,508112,5,2,0
01-09-2025,telangana,yadadri bhuvanagiri,508113,1,0,0
01-09-2025,tripura,dhalai,799204,0,1,0
01-09-2025,tripura,dhalai,799264,1,2,0
01-09-2025,tripura,dhalai,799278,2,1,0
01-09-2025,tripura,gomati,799105,2,1,0
01-09-2025,tripura,khowai,799201,3,2,0
01-09-2025,tripura,khowai,799207,0,0,1
01-09-2025,tripura,north tripura,799260,1,2,0
01-09-2025,tripura,north tripura,799263,3,3,0
01-09-2025,tripura,north tripura,799279,1,0,0
01-09-2025,tripura,north tripura,799288,1,0,0
01-09-2025,tripura,sepahijala,799102,7,4,0
01-09-2025,tripura,south tripura,799013,1,0,0
01-09-2025,tripura,south tripura,799101,0,1,0
01-09-2025,tripura,south tripura,799125,1,0,0
01-09-2025,tripura,unakoti,799280,2,1,0
01-09-2025,tripura,unakoti,799290,2,2,0
01-09-2025,tripura,west tripura,799045,4,2,0
01-09-2025,tripura,west tripura,799203,1,2,0
01-09-2025,tripura,west tripura,799207,1,1,0
01-09-2025,uttar pradesh,bara banki,225121,1,1,0
01-09-2025,uttar pradesh,bara banki,225305,0,1,0
01-09-2025,uttar pradesh,sant kabir nagar,221308,2,7,0
01-09-2025,uttar pradesh,sant kabir nagar,221309,5,6,0
01-09-2025,uttar pradesh,sant kabir nagar,221404,4,7,0
01-09-2025,west bengal,cooch behar,735122,2,0,0
01-09-2025,west bengal,cooch behar,736157,3,0,0
01-09-2025,west bengal,cooch behar,736159,1,3,0
01-09-2025,west bengal,cooch behar,736165,1,0,0
01-09-2025,west bengal,cooch behar,736176,2,1,0
01-09-2025,west bengal,north 24 parganas,700119,4,1,0
01-09-2025,west bengal,north 24 parganas,700124,2,0,0
01-09-2025,west bengal,north 24 parganas,700135,1,2,0
01-09-2025,west bengal,north 24 parganas,700155,0,1,0
01-09-2025,west bengal,south 24 parganas,700063,1,0,0
01-09-2025,west bengal,south 24 parganas,700149,0,1,0
01-09-2025,west bengal,south 24 parganas,743338,1,0,0
01-09-2025,west bengal,south 24 parganas,743349,2,1,0
01-09-2025,west bengal,south 24 parganas,743373,5,1,0
01-09-2025,west bengal,south 24 parganas,743374,0,1,0
01-09-2025,punjab,s.a.s nagar,140603,3,2,0
01-09-2025,punjab,s.a.s nagar,160014,1,0,0
01-09-2025,telangana,kumuram bheem asifabad,504273,1,1,0
01-09-2025,telangana,kumuram bheem asifabad,504293,3,0,0
01-09-2025,telangana,kumuram bheem asifabad,504296,4,0,0
01-09-2025,maharashtra,raigad,400707,1,0,0
01-09-2025,maharashtra,raigad,402122,1,0,0
01-09-2025,maharashtra,raigad,410208,0,2,0
01-09-2025,manipur,chandel,795131,10,21,0
01-09-2025,manipur,churachandpur,795006,0,0,1
01-09-2025,manipur,churachandpur,795128,9,12,1
01-09-2025,manipur,kakching,795103,1,1,0
01-09-2025,manipur,senapati,795129,2,1,0
01-09-2025,manipur,thoubal,795132,1,0,0
01-09-2025,meghalaya,ri bhoi,793103,0,8,10
01-09-2025,meghalaya,ri bhoi,793104,0,0,2
01-09-2025,nagaland,dimapur,797106,1,1,1
01-09-2025,nagaland,dimapur,797113,0,1,0
01-09-2025,nagaland,dimapur,797115,2,1,0
01-09-2025,nagaland,dimapur,797117,0,1,1
01-09-2025,nagaland,kiphire,798611,4,2,0
01-09-2025,nagaland,mon,798603,0,4,1
01-09-2025,nagaland,noklak,798626,1,0,0
01-09-2025,nagaland,peren,797110,3,6,1
01-09-2025,nagaland,phek,797114,0,3,0
01-09-2025,nagaland,wokha,797111,4,2,1
01-09-2025,punjab,sri muktsar sahib,152031,1,0,0
01-09-2025,punjab,s.a.s nagar,140601,1,0,0
01-09-2025,punjab,s.a.s nagar,140109,0,1,0
