date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,gujarat,panch mahals,389210,387,1337
01-03-2025,maharashtra,mumbai,400016,92,97
01-03-2025,west bengal,cooch behar,736131,21,42
01-03-2025,punjab,s.a.s nagar,140301,535,591
01-03-2025,chhattisgarh,uttar bastar kanker,494670,75,241
01-03-2025,gujarat,panch mahals,388270,33,170
01-03-2025,jharkhand,saraikela kharsawan,832401,175,493
01-03-2025,tripura,west tripura,799203,188,374
01-03-2025,punjab,s.a.s nagar,160059,42,36
01-03-2025,maharashtra,mumbai,400031,33,61
01-03-2025,chhattisgarh,uttar bastar kanker,494669,31,233
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524121,95,111
01-03-2025,madhya pradesh,khargone (west nimar),451441,1003,1310
01-03-2025,delhi,central,110002,260,427
01-03-2025,tripura,sepahijala,799102,1384,390
01-03-2025,maharashtra,raigad,402401,173,128
01-03-2025,maharashtra,mumbai,400018,56,80
01-03-2025,maharashtra,raigad,402307,15,21
01-03-2025,manipur,bishnupur,795134,116,202
01-03-2025,manipur,senapati,795134,10,12
01-03-2025,chhattisgarh,balrampur-ramanujganj,497119,81,139
01-03-2025,punjab,s.a.s nagar,140110,69,145
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502248,40,91
01-03-2025,gujarat,sabar kantha,383430,202,190
01-03-2025,telangana,medchal malkajgiri,500040,14,52
01-03-2025,nagaland,tuensang,798616,36,145
01-03-2025,jharkhand,saraikela kharsawan,832403,109,239
01-03-2025,gujarat,surendranagar,363030,332,291
01-03-2025,tripura,unakoti,799277,664,79
01-03-2025,madhya pradesh,khandwa (east nimar),450119,27,10
01-03-2025,delhi,west,110087,227,436
01-03-2025,nagaland,mon,798621,326,587
01-03-2025,delhi,south,110025,891,1409
01-03-2025,maharashtra,mumbai,400012,77,132
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502295,10,17
01-03-2025,tripura,west tripura,799213,16,36
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524137,141,162
01-03-2025,tripura,west tripura,799004,738,1111
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524305,83,149
01-03-2025,uttar pradesh,sant kabir nagar,221407,20,31
01-03-2025,gujarat,panch mahals,389260,69,316
01-03-2025,tripura,west tripura,799006,429,323
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524312,14,31
01-03-2025,madhya pradesh,khandwa (east nimar),450551,230,171
01-03-2025,gujarat,surendranagar,363115,69,100
01-03-2025,chhattisgarh,uttar bastar kanker,494335,42,279
01-03-2025,maharashtra,raigad,402109,169,389
01-03-2025,maharashtra,mumbai,400034,28,33
01-03-2025,haryana,yamunanagar,135003,347,736
01-03-2025,gujarat,panch mahals,389380,85,156
01-03-2025,maharashtra,mumbai,400007,22,23
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524313,26,46
01-03-2025,tripura,south tripura,799101,392,656
01-03-2025,madhya pradesh,khandwa (east nimar),450051,65,104
01-03-2025,maharashtra,raigad,402309,20,48
01-03-2025,maharashtra,raigad,410101,261,244
01-03-2025,telangana,medchal malkajgiri,501301,15,16
01-03-2025,uttar pradesh,sant kabir nagar,221308,465,206
01-03-2025,telangana,medchal malkajgiri,500049,12,16
01-03-2025,punjab,s.a.s nagar,160062,10,42
01-03-2025,nagaland,peren,797103,11,36
01-03-2025,delhi,east,110051,501,757
01-03-2025,tripura,gomati,799125,89,23
01-03-2025,west bengal,north 24 parganas,743126,21,116
01-03-2025,manipur,senapati,795106,69,157
01-03-2025,madhya pradesh,khandwa (east nimar),450112,124,81
01-03-2025,tripura,west tripura,799105,26,67
01-03-2025,maharashtra,mumbai,400022,102,152
01-03-2025,jharkhand,saraikela kharsawan,831002,480,550
01-03-2025,punjab,s.a.s nagar,147506,30,20
01-03-2025,gujarat,surendranagar,382745,95,92
01-03-2025,tripura,west tripura,799009,202,205
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524343,74,105
01-03-2025,nagaland,wokha,797111,232,1046
01-03-2025,gujarat,sabar kantha,383315,61,227
01-03-2025,telangana,warangal,506006,18,43
01-03-2025,gujarat,sabar kantha,383270,240,435
01-03-2025,punjab,s.a.s nagar,140401,15,29
01-03-2025,gujarat,sabar kantha,383240,17,45
01-03-2025,haryana,yamunanagar,133204,194,520
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524421,77,47
01-03-2025,telangana,medchal malkajgiri,500039,40,29
01-03-2025,delhi,south,110016,153,88
01-03-2025,maharashtra,raigad,402202,92,105
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524123,69,54
01-03-2025,maharashtra,raigad,402303,51,149
01-03-2025,nagaland,mokokchung,798601,82,254
01-03-2025,delhi,south,110048,105,122
01-03-2025,gujarat,panch mahals,389232,26,110
01-03-2025,tripura,unakoti,799288,72,30
01-03-2025,gujarat,sabar kantha,383235,183,224
01-03-2025,maharashtra,raigad,410210,248,352
01-03-2025,manipur,senapati,795150,35,104
01-03-2025,maharashtra,chhatrapati sambhajinagar,431001,41,246
01-03-2025,gujarat,sabar kantha,383335,22,115
01-03-2025,tripura,north tripura,799263,170,539
01-03-2025,jharkhand,saraikela kharsawan,832401,593,624
01-03-2025,nagaland,mokokchung,798618,21,71
01-03-2025,tripura,north tripura,799271,291,159
01-03-2025,haryana,yamunanagar,135102,217,397
01-03-2025,maharashtra,mumbai,400028,42,85
01-03-2025,maharashtra,raigad,402402,20,17
01-03-2025,gujarat,surendranagar,363430,177,189
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524228,69,61
01-03-2025,west bengal,cooch behar,736146,11,98
01-03-2025,chhattisgarh,uttar bastar kanker,494336,38,187
01-03-2025,gujarat,sabar kantha,383251,39,105
01-03-2025,maharashtra,mumbai,400002,24,50
01-03-2025,gujarat,sabar kantha,383310,38,130
01-03-2025,maharashtra,mumbai,400008,79,87
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502255,26,112
01-03-2025,punjab,s.a.s nagar,140901,75,82
01-03-2025,haryana,yamunanagar,135101,227,413
01-03-2025,delhi,south,110068,238,215
01-03-2025,tripura,west tripura,799202,37,59
01-03-2025,manipur,thoubal,795149,72,78
01-03-2025,tripura,west tripura,799003,568,878
01-03-2025,madhya pradesh,khandwa (east nimar),450554,153,126
01-03-2025,manipur,senapati,795118,45,91
01-03-2025,maharashtra,raigad,402308,16,62
01-03-2025,delhi,west,110043,223,482
01-03-2025,tripura,south tripura,799104,315,506
01-03-2025,manipur,senapati,795129,44,65
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502334,16,101
01-03-2025,maharashtra,raigad,410220,33,35
01-03-2025,madhya pradesh,khargone (west nimar),451113,616,1035
01-03-2025,tripura,north tripura,799260,396,185
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524222,12,26
01-03-2025,telangana,warangal,506013,17,25
01-03-2025,andhra pradesh,y.s.r. kadapa,516002,33,42
01-03-2025,west bengal,north 24 parganas,743456,10,21
01-03-2025,jharkhand,saraikela kharsawan,831012,11,57
01-03-2025,delhi,west,110059,3279,5137
01-03-2025,tripura,dhalai,799278,306,152
01-03-2025,telangana,yadadri bhuvanagiri,508116,44,81
01-03-2025,maharashtra,raigad,402102,13,32
01-03-2025,gujarat,sabar kantha,383421,35,71
01-03-2025,tripura,south tripura,799157,115,308
01-03-2025,tripura,west tripura,799102,269,864
01-03-2025,nagaland,peren,797101,78,100
01-03-2025,tripura,west tripura,799022,62,11
01-03-2025,telangana,medchal malkajgiri,501301,49,138
01-03-2025,maharashtra,raigad,410205,187,238
01-03-2025,tripura,khowai,799202,46,10
01-03-2025,west bengal,north 24 parganas,743145,11,39
01-03-2025,telangana,yadadri bhuvanagiri,508126,32,53
01-03-2025,haryana,yamunanagar,133206,75,219
01-03-2025,telangana,warangal,506002,92,279
01-03-2025,tripura,west tripura,799103,118,519
01-03-2025,gujarat,sabar kantha,383220,95,140
01-03-2025,gujarat,panch mahals,389265,30,199
01-03-2025,gujarat,sabar kantha,383340,30,143
01-03-2025,west bengal,north 24 parganas,700125,13,65
01-03-2025,manipur,tamenglong,795159,43,72
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524403,55,58
01-03-2025,madhya pradesh,khargone (west nimar),451111,581,629
01-03-2025,maharashtra,raigad,410218,217,397
01-03-2025,west bengal,south 24 parganas,743357,29,219
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524366,30,19
01-03-2025,maharashtra,mumbai,400026,20,26
01-03-2025,gujarat,surendranagar,382130,19,18
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524002,303,455
01-03-2025,uttar pradesh,sant kabir nagar,221303,533,258
01-03-2025,maharashtra,mumbai,400005,109,83
01-03-2025,manipur,churachandpur,795128,452,503
01-03-2025,maharashtra,raigad,402122,17,32
01-03-2025,tripura,south tripura,799142,118,156
01-03-2025,telangana,medchal malkajgiri,500087,35,39
01-03-2025,tripura,north tripura,799290,62,262
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502312,12,77
01-03-2025,chhattisgarh,dakshin bastar dantewada,494552,49,130
01-03-2025,andhra pradesh,y.s.r. kadapa,516360,39,47
01-03-2025,tripura,west tripura,799045,461,528
01-03-2025,tripura,gomati,799120,111,26
01-03-2025,gujarat,panch mahals,389370,179,189
01-03-2025,telangana,warangal,506122,16,32
01-03-2025,gujarat,sabar kantha,383422,391,395
01-03-2025,tripura,west tripura,799201,561,631
01-03-2025,gujarat,panch mahals,389190,29,88
01-03-2025,west bengal,north 24 parganas,743446,28,125
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524227,25,23
01-03-2025,gujarat,surendranagar,382245,10,1
01-03-2025,maharashtra,raigad,402207,41,51
01-03-2025,madhya pradesh,khargone (west nimar),451660,228,204
01-03-2025,tripura,north tripura,799262,433,183
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524345,79,150
01-03-2025,nagaland,dimapur,797112,536,1270
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524320,41,66
01-03-2025,manipur,thoubal,795130,196,133
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502281,13,84
01-03-2025,west bengal,south 24 parganas,700150,39,135
01-03-2025,maharashtra,mumbai,400019,53,55
01-03-2025,tripura,west tripura,799055,25,11
01-03-2025,punjab,s.a.s nagar,140109,26,83
01-03-2025,west bengal,north 24 parganas,743442,43,127
01-03-2025,tripura,north tripura,799254,204,139
01-03-2025,gujarat,sabar kantha,383434,48,83
01-03-2025,nagaland,longleng,798622,10,48
01-03-2025,gujarat,panch mahals,389310,63,129
01-03-2025,tripura,south tripura,799120,22,61
01-03-2025,maharashtra,raigad,402304,155,96
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524224,38,49
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524306,41,66
01-03-2025,uttar pradesh,sant kabir nagar,221309,480,131
01-03-2025,maharashtra,raigad,402104,104,133
01-03-2025,gujarat,dangs,394710,754,1250
01-03-2025,maharashtra,mumbai,400025,30,58
01-03-2025,manipur,ukhrul,795149,33,61
01-03-2025,maharashtra,mumbai,400078,27,71
01-03-2025,west bengal,south 24 parganas,743383,87,203
01-03-2025,manipur,churachandpur,795116,37,87
01-03-2025,manipur,thoubal,795138,259,511
01-03-2025,jharkhand,saraikela kharsawan,832108,28,116
01-03-2025,haryana,yamunanagar,135133,302,805
01-03-2025,manipur,thoubal,795148,194,251
01-03-2025,manipur,senapati,795149,15,23
01-03-2025,tripura,west tripura,799002,316,266
01-03-2025,uttar pradesh,sant kabir nagar,221401,418,386
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502220,16,33
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524003,107,127
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524311,46,76
01-03-2025,telangana,medchal malkajgiri,500090,33,33
01-03-2025,punjab,sri muktsar sahib,152107,19,248
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502110,16,41
01-03-2025,gujarat,surendranagar,382750,179,229
01-03-2025,tripura,dhalai,799289,717,332
01-03-2025,maharashtra,raigad,402116,77,56
01-03-2025,assam,cachar,788831,13,16
01-03-2025,gujarat,panch mahals,389320,108,268
01-03-2025,nagaland,kohima,797105,47,296
01-03-2025,chhattisgarh,balrampur-ramanujganj,497220,65,296
01-03-2025,west bengal,cooch behar,736157,10,46
01-03-2025,tripura,gomati,799013,217,61
01-03-2025,telangana,medchal malkajgiri,500043,26,18
01-03-2025,meghalaya,ri bhoi,781131,15,14
01-03-2025,telangana,kumuram bheem asifabad,504292,19,29
01-03-2025,tripura,west tripura,799007,64,93
01-03-2025,gujarat,panch mahals,389330,107,163
01-03-2025,gujarat,sabar kantha,383215,242,217
01-03-2025,telangana,warangal,506001,61,63
01-03-2025,nagaland,noklak,798626,16,59
01-03-2025,maharashtra,raigad,402108,86,83
01-03-2025,delhi,west,110018,1022,1902
01-03-2025,gujarat,sabar kantha,383410,95,104
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524401,67,23
01-03-2025,jharkhand,saraikela kharsawan,833220,496,448
01-03-2025,tripura,south tripura,799145,935,861
01-03-2025,maharashtra,raigad,402112,68,142
01-03-2025,telangana,medchal malkajgiri,500085,19,12
01-03-2025,tripura,sepahijala,799105,36,25
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502316,10,46
01-03-2025,gujarat,panch mahals,389172,33,145
01-03-2025,delhi,west,110058,162,346
01-03-2025,telangana,warangal,506003,26,26
01-03-2025,gujarat,surendranagar,363423,51,70
01-03-2025,tripura,gomati,799101,480,87
01-03-2025,maharashtra,mumbai,400013,57,83
01-03-2025,tripura,north tripura,799250,321,102
01-03-2025,manipur,chandel,795131,60,51
01-03-2025,maharashtra,mumbai,400006,17,27
01-03-2025,nagaland,phek,797104,31,404
01-03-2025,punjab,s.a.s nagar,140413,65,145
01-03-2025,tripura,west tripura,799012,160,94
01-03-2025,tripura,south tripura,799153,162,209
01-03-2025,tripura,khowai,799201,465,135
01-03-2025,telangana,medchal malkajgiri,500062,59,166
01-03-2025,gujarat,sabar kantha,383250,30,77
01-03-2025,gujarat,sabar kantha,383120,55,95
01-03-2025,tripura,sepahijala,799131,359,206
01-03-2025,gujarat,surendranagar,363415,78,125
01-03-2025,tripura,west tripura,799211,733,535
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524005,26,48
01-03-2025,maharashtra,raigad,402302,73,84
01-03-2025,west bengal,cooch behar,735304,10,42
01-03-2025,punjab,s.a.s nagar,160071,44,72
01-03-2025,nagaland,phek,797114,10,44
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524134,74,59
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502286,21,36
01-03-2025,maharashtra,raigad,402126,10,13
01-03-2025,delhi,south,110013,183,153
01-03-2025,maharashtra,mumbai,400003,37,43
01-03-2025,delhi,east,110095,555,729
01-03-2025,maharashtra,mumbai,400009,48,41
01-03-2025,gujarat,sabar kantha,383030,75,139
01-03-2025,nagaland,longleng,798618,25,143
01-03-2025,telangana,medchal malkajgiri,500043,32,81
01-03-2025,madhya pradesh,khandwa (east nimar),451115,101,98
01-03-2025,jharkhand,saraikela kharsawan,833216,472,538
01-03-2025,tripura,dhalai,799286,388,199
01-03-2025,madhya pradesh,khargone (west nimar),451449,32,31
01-03-2025,jharkhand,saraikela kharsawan,833219,40,120
01-03-2025,maharashtra,raigad,410216,13,19
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524317,23,34
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524414,53,43
01-03-2025,punjab,s.a.s nagar,140307,176,187
01-03-2025,chhattisgarh,balrampur-ramanujganj,497224,65,215
01-03-2025,tripura,dhalai,799275,383,344
01-03-2025,gujarat,panch mahals,388713,74,212
01-03-2025,maharashtra,mumbai,400064,13,30
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524101,239,295
01-03-2025,maharashtra,raigad,402101,18,29
01-03-2025,maharashtra,raigad,410208,161,215
01-03-2025,west bengal,south 24 parganas,743347,86,268
01-03-2025,gujarat,panch mahals,389341,136,269
01-03-2025,jharkhand,saraikela kharsawan,832402,27,32
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502107,12,43
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502001,18,79
01-03-2025,maharashtra,mumbai,400015,92,82
01-03-2025,west bengal,south 24 parganas,743338,37,114
01-03-2025,maharashtra,raigad,410201,537,728
01-03-2025,madhya pradesh,khargone (west nimar),451225,225,255
01-03-2025,delhi,south,110017,327,456
01-03-2025,delhi,south,110065,363,430
01-03-2025,delhi,south,110062,2324,3785
01-03-2025,tripura,north tripura,799281,70,153
01-03-2025,uttar pradesh,sant kabir nagar,221314,245,97
01-03-2025,gujarat,sabar kantha,383210,51,92
01-03-2025,tripura,south tripura,799125,162,334
01-03-2025,maharashtra,mumbai,400004,41,59
01-03-2025,delhi,north,110007,487,973
01-03-2025,manipur,senapati,795122,33,78
01-03-2025,chhattisgarh,uttar bastar kanker,494777,29,221
01-03-2025,punjab,s.a.s nagar,140506,14,16
01-03-2025,maharashtra,raigad,402105,72,150
01-03-2025,tripura,sepahijala,799115,331,188
01-03-2025,tripura,south tripura,799116,107,320
01-03-2025,gujarat,sabar kantha,383305,187,173
01-03-2025,manipur,senapati,795113,23,13
01-03-2025,delhi,north,110054,355,541
01-03-2025,punjab,s.a.s nagar,160062,131,113
01-03-2025,punjab,s.a.s nagar,140604,99,74
01-03-2025,delhi,south,110049,180,207
01-03-2025,madhya pradesh,khandwa (east nimar),450881,179,109
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524239,25,22
01-03-2025,telangana,warangal,506005,18,37
01-03-2025,maharashtra,raigad,402120,35,74
01-03-2025,delhi,central,110055,346,505
01-03-2025,manipur,chandel,795101,21,31
01-03-2025,tripura,west tripura,799100,59,220
01-03-2025,delhi,central,110011,37,47
01-03-2025,telangana,warangal,506331,31,43
01-03-2025,west bengal,cooch behar,736158,13,31
01-03-2025,tripura,west tripura,799001,511,507
01-03-2025,tripura,khowai,799203,310,104
01-03-2025,gujarat,panch mahals,389230,143,666
01-03-2025,maharashtra,mumbai,400011,47,110
01-03-2025,delhi,south,110024,123,154
01-03-2025,punjab,s.a.s nagar,160014,48,59
01-03-2025,uttar pradesh,sant kabir nagar,221304,702,433
01-03-2025,gujarat,dangs,394730,368,535
01-03-2025,gujarat,panch mahals,389235,24,135
01-03-2025,gujarat,surendranagar,363040,152,184
01-03-2025,andhra pradesh,dr. b.r. ambedkar konaseema,502319,13,67
01-03-2025,gujarat,sabar kantha,383350,65,232
01-03-2025,gujarat,surendranagar,382765,260,217
01-03-2025,andhra pradesh,sri potti sriramulu nellore,524236,18,32
