,date,state,district,pincode,demo_age_5_17,demo_age_17_
278,16-12-2025,odisha,jajapur,755003,0,3
279,16-12-2025,odisha,jajapur,755005,0,14
280,16-12-2025,odisha,jajapur,755009,2,9
281,16-12-2025,odisha,jajapur,755026,1,5
282,16-12-2025,odisha,jajapur,755043,1,4
283,16-12-2025,odisha,kendujhar,758017,1,11
284,16-12-2025,odisha,kendujhar,758021,2,28
285,16-12-2025,odisha,kendujhar,758022,0,10
286,16-12-2025,odisha,kendujhar,758025,1,7
287,16-12-2025,odisha,kendujhar,758032,1,12
288,16-12-2025,odisha,kendujhar,758034,2,8
289,16-12-2025,odisha,kendujhar,758038,0,2
290,16-12-2025,odisha,kendujhar,758043,1,9
291,16-12-2025,odisha,kendujhar,758078,0,4
292,16-12-2025,odisha,khorda,751002,1,8
293,16-12-2025,odisha,khorda,751007,2,4
294,16-12-2025,odisha,khorda,751024,0,8
295,16-12-2025,odisha,khorda,752019,0,2
296,16-12-2025,odisha,khorda,752034,1,4
297,16-12-2025,odisha,nabarangapur,764058,0,13
298,16-12-2025,odisha,nabarangapur,764070,0,7
299,16-12-2025,odisha,nabarangapur,764071,1,16
300,16-12-2025,odisha,nabarangapur,764085,0,1
301,16-12-2025,odisha,sonapur,767019,0,12
302,16-12-2025,odisha,subarnapur,767020,0,1
303,16-12-2025,odisha,sundergarh,769004,3,8
304,16-12-2025,odisha,sundergarh,769042,1,6
305,16-12-2025,odisha,sundergarh,770001,0,2
306,16-12-2025,odisha,sundergarh,770002,0,4
307,16-12-2025,odisha,sundergarh,770013,0,2
308,16-12-2025,odisha,sundergarh,770015,0,9
309,16-12-2025,odisha,sundergarh,770016,2,9
310,16-12-2025,odisha,sundergarh,770019,0,5
311,16-12-2025,odisha,sundergarh,770024,1,4
312,16-12-2025,odisha,sundergarh,770034,2,3
313,16-12-2025,odisha,sundergarh,770042,0,1
314,16-12-2025,odisha,sundergarh,770043,0,5
315,16-12-2025,odisha,sundergarh,770044,6,13
316,16-12-2025,odisha,sundergarh,770046,0,2
317,16-12-2025,odisha,sundergarh,770048,3,7
318,16-12-2025,odisha,sundergarh,770072,0,3
319,16-12-2025,odisha,anugul,759107,0,1
320,16-12-2025,odisha,anugul,759122,0,1
321,16-12-2025,odisha,anugul,759129,0,1
322,16-12-2025,odisha,baleshwar,756025,0,1
323,16-12-2025,odisha,baleshwar,756046,0,2
324,16-12-2025,odisha,kendujhar,758001,0,1
325,16-12-2025,odisha,kendujhar,758014,0,1
326,16-12-2025,odisha,kendujhar,758041,0,1
327,16-12-2025,puducherry,pondicherry,605110,1,3
328,16-12-2025,punjab,firozpur,152022,0,1
329,16-12-2025,punjab,firozpur,152121,0,4
330,16-12-2025,punjab,firozpur,152122,0,6
331,16-12-2025,punjab,firozpur,152123,0,5
332,16-12-2025,punjab,firozpur,152132,0,1
333,16-12-2025,punjab,nawanshahr,144421,0,1
334,16-12-2025,punjab,nawanshahr,144505,0,4
335,16-12-2025,punjab,nawanshahr,144506,0,2
336,16-12-2025,punjab,nawanshahr,144509,0,2
337,16-12-2025,punjab,nawanshahr,144511,0,2
338,16-12-2025,punjab,nawanshahr,144514,0,7
339,16-12-2025,punjab,nawanshahr,144518,0,3
340,16-12-2025,punjab,s.a.s nagar(mohali),140103,0,1
341,16-12-2025,punjab,s.a.s nagar(mohali),140507,0,2
342,16-12-2025,punjab,s.a.s nagar(mohali),160062,0,3
343,16-12-2025,punjab,sas nagar (mohali),140110,0,4
344,16-12-2025,punjab,sas nagar (mohali),140601,0,14
345,16-12-2025,punjab,sas nagar (mohali),140604,1,11
346,16-12-2025,punjab,sas nagar (mohali),147506,1,0
347,16-12-2025,punjab,sas nagar (mohali),160014,0,5
348,16-12-2025,punjab,sas nagar (mohali),160071,0,12
349,16-12-2025,punjab,shaheed bhagat singh nagar,144512,1,2
350,16-12-2025,punjab,shaheed bhagat singh nagar,144513,0,1
351,16-12-2025,punjab,shaheed bhagat singh nagar,144517,0,4
352,16-12-2025,punjab,shaheed bhagat singh nagar,144526,0,1
353,16-12-2025,punjab,shaheed bhagat singh nagar,144533,0,3
354,16-12-2025,rajasthan,chittaurgarh,312001,0,9
355,16-12-2025,rajasthan,chittaurgarh,312201,0,1
356,16-12-2025,rajasthan,chittaurgarh,312604,0,1
357,16-12-2025,rajasthan,chittaurgarh,312612,1,2
358,16-12-2025,rajasthan,chittaurgarh,312613,1,1
359,16-12-2025,rajasthan,chittaurgarh,323307,1,5
360,16-12-2025,rajasthan,dhaulpur,328001,0,6
361,18-12-2025,andhra pradesh,adilabad,504106,0,1
362,18-12-2025,andhra pradesh,adilabad,504205,0,2
363,18-12-2025,andhra pradesh,adilabad,504208,0,1
364,18-12-2025,andhra pradesh,adilabad,504209,0,1
365,18-12-2025,andhra pradesh,anantapur,515004,0,1
366,18-12-2025,andhra pradesh,anantapur,515123,0,2
367,18-12-2025,andhra pradesh,anantapur,515159,0,1
368,18-12-2025,andhra pradesh,anantapur,515766,0,2
369,18-12-2025,andhra pradesh,ananthapur,515164,0,1
370,18-12-2025,andhra pradesh,ananthapur,515211,0,1
371,18-12-2025,andhra pradesh,ananthapur,515311,0,1
372,18-12-2025,andhra pradesh,ananthapur,515591,0,3
373,18-12-2025,andhra pradesh,cuddapah,516004,0,1
374,18-12-2025,andhra pradesh,cuddapah,516101,0,3
375,18-12-2025,andhra pradesh,cuddapah,516107,1,1
376,18-12-2025,andhra pradesh,cuddapah,516108,1,1
377,18-12-2025,andhra pradesh,cuddapah,516175,0,4
378,18-12-2025,andhra pradesh,cuddapah,516214,0,2
379,18-12-2025,andhra pradesh,cuddapah,516269,1,4
380,18-12-2025,andhra pradesh,cuddapah,516339,0,1
381,18-12-2025,andhra pradesh,cuddapah,516454,0,1
382,18-12-2025,andhra pradesh,dr. b. r. ambedkar konaseema,533247,0,1
383,18-12-2025,andhra pradesh,dr. b. r. ambedkar konaseema,533255,0,1
384,18-12-2025,andhra pradesh,dr. b. r. ambedkar konaseema,533308,1,0
385,18-12-2025,andhra pradesh,hyderabad,500001,0,1
386,18-12-2025,andhra pradesh,hyderabad,500026,0,1
387,18-12-2025,andhra pradesh,hyderabad,500096,0,1
388,18-12-2025,andhra pradesh,karimnagar,505475,0,1
389,18-12-2025,andhra pradesh,karimnagar,505527,0,1
390,18-12-2025,andhra pradesh,khammam,507003,0,2
391,18-12-2025,andhra pradesh,khammam,507101,0,1
392,18-12-2025,andhra pradesh,khammam,507166,0,1
393,18-12-2025,andhra pradesh,khammam,507170,0,1
394,18-12-2025,andhra pradesh,khammam,507303,0,2
395,18-12-2025,andhra pradesh,mahabub nagar,509001,0,1
396,18-12-2025,andhra pradesh,mahabub nagar,509205,0,1
397,18-12-2025,andhra pradesh,mahabub nagar,509207,0,2
398,18-12-2025,andhra pradesh,mahabub nagar,509340,0,1
399,18-12-2025,andhra pradesh,medak,502334,0,1
400,18-12-2025,andhra pradesh,n. t. r,521456,0,1
401,18-12-2025,andhra pradesh,nalgonda,508210,0,2
402,18-12-2025,andhra pradesh,nalgonda,508213,0,2
403,18-12-2025,andhra pradesh,nellore,524002,0,3
404,18-12-2025,andhra pradesh,nellore,524132,0,3
405,18-12-2025,andhra pradesh,nellore,524142,0,2
406,18-12-2025,andhra pradesh,nellore,524203,0,1
407,18-12-2025,andhra pradesh,nellore,524223,0,1
408,18-12-2025,andhra pradesh,nellore,524234,0,2
409,18-12-2025,andhra pradesh,nellore,524302,1,1
410,18-12-2025,andhra pradesh,nellore,524305,0,1
411,18-12-2025,andhra pradesh,nellore,524311,0,2
412,18-12-2025,andhra pradesh,nellore,524321,0,0
413,18-12-2025,andhra pradesh,nellore,524341,0,1
414,18-12-2025,andhra pradesh,nellore,524413,0,2
415,18-12-2025,andhra pradesh,rangareddi,500018,0,11
416,18-12-2025,andhra pradesh,rangareddi,500055,0,2
417,18-12-2025,andhra pradesh,rangareddi,501503,0,2
418,18-12-2025,andhra pradesh,warangal,506002,0,4
419,18-12-2025,andhra pradesh,warangal,506105,0,1
420,18-12-2025,andhra pradesh,warangal,506112,0,2
421,18-12-2025,andhra pradesh,warangal,506244,0,1
422,18-12-2025,andhra pradesh,warangal,506301,0,1
423,18-12-2025,andhra pradesh,y. s. r,516162,0,1
424,18-12-2025,assam,karimganj,788166,0,2
425,18-12-2025,assam,karimganj,788713,0,1
426,18-12-2025,assam,karimganj,788720,0,6
427,18-12-2025,assam,karimganj,788724,0,4
428,18-12-2025,assam,karimganj,788734,0,2
429,18-12-2025,assam,sibsagar,785680,0,3
430,18-12-2025,assam,sibsagar,785682,0,1
431,18-12-2025,bihar,east champaran,845416,0,4
432,18-12-2025,bihar,east champaran,845418,1,11
433,18-12-2025,bihar,east champaran,845419,0,1
434,18-12-2025,bihar,east champaran,845420,2,7
435,18-12-2025,bihar,east champaran,845424,0,5
436,18-12-2025,bihar,east champaran,845429,1,10
437,18-12-2025,bihar,east champaran,845431,3,3
438,18-12-2025,bihar,east champaran,845440,0,6
439,18-12-2025,bihar,east champaran,845457,0,2
440,18-12-2025,bihar,east champaran,845458,2,6
441,18-12-2025,bihar,purba champaran,845301,0,1
442,18-12-2025,bihar,purnea,854301,0,3
443,15-12-2025,west bengal,puruliya,722153,0,1
444,15-12-2025,west bengal,puruliya,723101,5,65
445,15-12-2025,west bengal,puruliya,723103,3,24
446,15-12-2025,west bengal,puruliya,723143,4,32
447,15-12-2025,west bengal,puruliya,723157,0,3
448,15-12-2025,west bengal,puruliya,723214,0,14
449,15-12-2025,west bengal,south dinajpur,733124,0,10
450,15-12-2025,west bengal,south dinajpur,733133,0,1
451,15-12-2025,west bengal,south dinajpur,733145,0,5
452,15-12-2025,west bengal,south twenty four parganas,700082,0,4
453,15-12-2025,west bengal,south twenty four parganas,743312,0,14
454,15-12-2025,west bengal,south twenty four parganas,743329,0,10
455,15-12-2025,west bengal,south twenty four parganas,743332,1,10
456,15-12-2025,west bengal,south twenty four parganas,743383,1,26
457,15-12-2025,west bengal,south twenty four parganas,743390,0,1
458,15-12-2025,west bengal,south twenty four parganas,743610,0,1
459,15-12-2025,west bengal,west midnapore,721150,0,8
460,15-12-2025,west bengal,west midnapore,721424,0,1
461,15-12-2025,west bengal,west midnapore,721436,0,5
462,25-11-2025,andhra pradesh,mahabub nagar,509128,0,1
463,25-11-2025,andhra pradesh,mahabub nagar,509228,0,2
464,25-11-2025,andhra pradesh,mahbubnagar,509104,1,3
465,25-11-2025,andhra pradesh,mahbubnagar,509105,0,2
466,25-11-2025,andhra pradesh,mahbubnagar,509131,0,1
467,25-11-2025,andhra pradesh,mahbubnagar,509203,0,2
468,25-11-2025,andhra pradesh,mahbubnagar,509206,1,2
469,25-11-2025,andhra pradesh,medak,502102,0,3
470,25-11-2025,andhra pradesh,medak,502110,0,1
471,25-11-2025,andhra pradesh,n. t. r,520001,3,6
472,25-11-2025,andhra pradesh,n. t. r,520002,1,2
473,25-11-2025,andhra pradesh,n. t. r,520007,2,7
474,25-11-2025,andhra pradesh,n. t. r,520010,1,7
475,25-11-2025,andhra pradesh,n. t. r,520015,8,14
476,25-11-2025,andhra pradesh,n. t. r,521185,0,2
477,25-11-2025,andhra pradesh,n. t. r,521402,0,2
478,25-11-2025,andhra pradesh,n. t. r,521456,1,4
479,25-11-2025,andhra pradesh,nalgonda,508001,0,3
480,25-11-2025,andhra pradesh,nalgonda,508111,0,1
481,25-11-2025,andhra pradesh,nalgonda,508201,0,1
482,25-11-2025,andhra pradesh,nalgonda,508213,0,2
483,25-11-2025,andhra pradesh,nellore,524001,2,6
484,25-11-2025,andhra pradesh,nellore,524101,1,6
485,25-11-2025,andhra pradesh,nellore,524137,0,2
486,25-11-2025,andhra pradesh,nellore,524222,0,1
487,25-11-2025,andhra pradesh,nellore,524225,0,1
488,25-11-2025,andhra pradesh,nellore,524313,0,2
489,25-11-2025,andhra pradesh,nellore,524314,1,1
490,25-11-2025,andhra pradesh,nellore,524320,0,1
491,25-11-2025,andhra pradesh,nellore,524344,0,1
492,25-11-2025,andhra pradesh,nellore,524402,2,0
493,25-11-2025,andhra pradesh,nellore,524403,0,2
494,25-11-2025,andhra pradesh,nellore,524408,2,7
495,25-11-2025,andhra pradesh,nellore,524413,0,3
496,25-11-2025,andhra pradesh,nizamabad,503307,0,2
497,25-11-2025,andhra pradesh,rangareddi,500035,2,4
498,25-11-2025,andhra pradesh,rangareddi,500046,0,1
499,25-11-2025,andhra pradesh,rangareddi,500060,0,3
500,25-11-2025,andhra pradesh,rangareddi,500076,0,1
501,25-11-2025,andhra pradesh,rangareddi,501101,0,1
502,25-11-2025,andhra pradesh,warangal,506002,0,12
