,date,state,district,pincode,bio_age_5_17,bio_age_17_
52,08-12-2025,west bengal,haora,711203,0,2
53,08-12-2025,west bengal,haora,711205,0,2
54,08-12-2025,west bengal,haora,711403,0,3
55,08-12-2025,west bengal,haora,711411,0,1
56,08-12-2025,west bengal,haora,711412,1,1
57,08-12-2025,west bengal,hugli,712148,1,0
58,08-12-2025,west bengal,hugli,712149,0,2
59,08-12-2025,west bengal,koch bihar,735301,0,1
60,08-12-2025,west bengal,koch bihar,736159,5,6
61,08-12-2025,west bengal,koch bihar,736170,0,1
62,08-12-2025,west bengal,koch bihar,736172,0,2
63,08-12-2025,west bengal,koch bihar,736176,1,1
64,08-12-2025,west bengal,maldah,732121,0,1
65,08-12-2025,west bengal,maldah,732127,0,1
66,08-12-2025,west bengal,maldah,732141,0,1
67,08-12-2025,west bengal,maldah,732205,0,7
68,08-12-2025,west bengal,maldah,732207,3,5
69,08-12-2025,west bengal,north dinajpur,733123,0,1
70,08-12-2025,west bengal,north dinajpur,733128,0,1
71,08-12-2025,west bengal,north dinajpur,733156,0,1
72,08-12-2025,west bengal,north twenty four parganas,700120,1,0
73,08-12-2025,west bengal,north twenty four parganas,700121,1,4
74,08-12-2025,west bengal,north twenty four parganas,700127,0,1
75,08-12-2025,west bengal,north twenty four parganas,700128,0,2
76,08-12-2025,west bengal,north twenty four parganas,700129,1,4
77,08-12-2025,west bengal,north twenty four parganas,743127,0,1
78,08-12-2025,west bengal,north twenty four parganas,743235,0,1
79,08-12-2025,west bengal,north twenty four parganas,743249,1,1
80,08-12-2025,west bengal,north twenty four parganas,743329,0,1
81,08-12-2025,west bengal,puruliya,723128,3,8
82,08-12-2025,west bengal,puruliya,723133,5,8
83,08-12-2025,west bengal,puruliya,723144,0,1
84,08-12-2025,west bengal,puruliya,723145,2,10
85,08-12-2025,west bengal,puruliya,723148,1,5
86,08-12-2025,west bengal,puruliya,723156,0,1
87,08-12-2025,west bengal,puruliya,723160,0,1
88,08-12-2025,west bengal,south dinajpur,733121,0,4
89,08-12-2025,west bengal,south dinajpur,733142,0,2
90,08-12-2025,west bengal,south twenty four parganas,700103,1,1
91,08-12-2025,west bengal,south twenty four parganas,700140,0,1
92,08-12-2025,west bengal,south twenty four parganas,700141,0,1
93,08-12-2025,west bengal,south twenty four parganas,700150,0,2
94,08-12-2025,west bengal,south twenty four parganas,743329,0,5
95,08-12-2025,west bengal,south twenty four parganas,743354,0,1
96,08-12-2025,west bengal,south twenty four parganas,743356,0,1
97,08-12-2025,west bengal,south twenty four parganas,743373,1,17
98,08-12-2025,west bengal,south twenty four parganas,743374,1,4
99,08-12-2025,west bengal,south twenty four parganas,743377,0,2
100,08-12-2025,west bengal,south twenty four parganas,743390,0,1
101,08-12-2025,west bengal,west midnapore,721102,0,7
102,08-12-2025,west bengal,west midnapore,721131,0,1
103,08-12-2025,west bengal,west midnapore,721517,2,2
104,08-12-2025,assam,karimganj,788152,8,6
105,08-12-2025,assam,karimganj,788701,14,6
106,08-12-2025,assam,karimganj,788709,13,7
107,08-12-2025,assam,karimganj,788737,14,5
108,08-12-2025,assam,karimganj,788806,35,4
109,08-12-2025,assam,sibsagar,785670,0,1
110,08-12-2025,assam,sibsagar,785680,6,3
111,08-12-2025,assam,sibsagar,785683,1,0
112,08-12-2025,assam,sibsagar,785686,1,0
113,08-12-2025,assam,south salmara mankachar,783128,1,1
114,08-12-2025,assam,south salmara mankachar,783131,5,1
115,08-12-2025,bihar,east champaran,845305,16,21
116,08-12-2025,bihar,east champaran,845315,6,5
117,08-12-2025,bihar,east champaran,845413,6,9
118,08-12-2025,bihar,east champaran,845414,12,6
119,08-12-2025,bihar,east champaran,845416,25,37
120,08-12-2025,bihar,east champaran,845417,6,12
121,08-12-2025,bihar,east champaran,845423,9,10
122,08-12-2025,bihar,east champaran,845424,14,10
123,08-12-2025,bihar,east champaran,845425,7,14
124,08-12-2025,bihar,east champaran,845427,10,12
125,08-12-2025,bihar,east champaran,845456,13,16
126,08-12-2025,bihar,purnea,854301,1,7
127,08-12-2025,bihar,west champaran,845101,14,22
128,08-12-2025,bihar,west champaran,845103,10,10
129,08-12-2025,bihar,west champaran,845107,2,3
130,08-12-2025,bihar,west champaran,845306,3,3
131,08-12-2025,chhattisgarh,baloda bazar,492112,27,2
132,08-12-2025,chhattisgarh,baloda bazar,493101,39,19
133,08-12-2025,chhattisgarh,baloda bazar,493113,23,6
134,08-12-2025,chhattisgarh,baloda bazar,493118,185,46
135,08-12-2025,chhattisgarh,baloda bazar,493344,64,21
136,08-12-2025,chhattisgarh,baloda bazar,495660,0,1
137,08-12-2025,chhattisgarh,balrampur,497119,34,8
138,08-12-2025,chhattisgarh,balrampur,497223,15,6
139,08-12-2025,chhattisgarh,balrampur,497224,92,22
140,08-12-2025,chhattisgarh,balrampur,497225,24,26
141,08-12-2025,chhattisgarh,dantewada,494449,7,6
142,08-12-2025,chhattisgarh,dantewada,494556,3,5
143,08-12-2025,chhattisgarh,kanker,494335,28,18
144,08-12-2025,chhattisgarh,kanker,494776,29,16
145,08-12-2025,chhattisgarh,kanker,494777,9,9
146,08-12-2025,chhattisgarh,kawardha,491559,155,29
147,08-12-2025,chhattisgarh,kawardha,491888,7,7
148,08-12-2025,chhattisgarh,koriya,497442,73,48
149,08-12-2025,chhattisgarh,koriya,497449,76,40
150,08-12-2025,chhattisgarh,koriya,497559,4,2
151,08-12-2025,chhattisgarh,mohalla-manpur-ambagarh chowki,491666,1,0
152,08-12-2025,chhattisgarh,mohalla-manpur-ambagarh chowki,491668,1,0
153,08-12-2025,delhi,east delhi,110031,20,25
154,08-12-2025,delhi,north delhi,110054,4,10
155,08-12-2025,delhi,north east delhi,110053,74,107
156,08-12-2025,delhi,north west delhi,110042,58,124
157,08-12-2025,delhi,north west delhi,110052,22,13
158,08-12-2025,delhi,north west delhi,110056,1,0
159,08-12-2025,delhi,north west delhi,110081,20,39
160,08-12-2025,delhi,north west delhi,110085,91,50
161,08-12-2025,delhi,north west delhi,110086,140,176
162,08-12-2025,delhi,north west delhi,110089,16,16
163,08-12-2025,delhi,south delhi,110013,6,5
164,08-12-2025,delhi,south delhi,110044,44,45
165,08-12-2025,delhi,south west delhi,110021,2,3
166,08-12-2025,delhi,south west delhi,110057,5,7
167,08-12-2025,delhi,south west delhi,110061,7,7
168,08-12-2025,delhi,south west delhi,110067,2,3
169,08-12-2025,delhi,west delhi,110027,10,25
170,08-12-2025,delhi,west delhi,110041,55,91
171,08-12-2025,delhi,west delhi,110058,15,10
172,08-12-2025,gujarat,ahmadabad,380023,0,1
173,08-12-2025,gujarat,ahmadabad,380027,0,1
174,08-12-2025,gujarat,ahmadabad,380028,0,9
175,08-12-2025,gujarat,ahmadabad,380050,0,1
176,08-12-2025,gujarat,ahmadabad,380052,0,1
177,08-12-2025,gujarat,ahmadabad,380061,0,2
178,08-12-2025,gujarat,ahmadabad,382345,0,2
179,08-12-2025,gujarat,ahmadabad,382350,0,6
180,08-12-2025,gujarat,ahmadabad,382445,0,2
181,08-12-2025,gujarat,banaskantha,385310,61,89
182,08-12-2025,gujarat,banaskantha,385421,21,15
183,08-12-2025,gujarat,banaskantha,385566,13,20
184,08-12-2025,gujarat,dohad,389152,3,9
185,08-12-2025,gujarat,dohad,389190,0,1
186,08-12-2025,gujarat,panchmahals,388270,4,8
187,08-12-2025,gujarat,panchmahals,388713,7,13
188,08-12-2025,gujarat,panchmahals,389220,11,24
189,08-12-2025,gujarat,panchmahals,389232,7,13
190,08-12-2025,gujarat,panchmahals,389235,2,7
191,08-12-2025,gujarat,panchmahals,389240,1,32
192,08-12-2025,gujarat,sabarkantha,383010,2,13
193,08-12-2025,gujarat,sabarkantha,383210,1,4
194,08-12-2025,gujarat,sabarkantha,383250,2,7
195,08-12-2025,gujarat,sabarkantha,383276,4,5
196,08-12-2025,gujarat,sabarkantha,383307,1,11
197,08-12-2025,gujarat,sabarkantha,383320,1,3
198,08-12-2025,gujarat,sabarkantha,383345,2,13
199,08-12-2025,gujarat,sabarkantha,383430,5,8
200,08-12-2025,gujarat,sabarkantha,383434,2,2
201,08-12-2025,gujarat,surendra nagar,363410,5,12
202,08-12-2025,gujarat,surendra nagar,363415,1,6
203,08-12-2025,gujarat,surendra nagar,363423,1,3
204,08-12-2025,gujarat,surendra nagar,363435,0,2
205,08-12-2025,gujarat,surendra nagar,363440,7,11
206,08-12-2025,gujarat,surendra nagar,363510,4,10
207,08-12-2025,gujarat,surendra nagar,382745,7,2
208,08-12-2025,gujarat,the dangs,394720,0,3
209,08-12-2025,gujarat,the dangs,394730,6,12
210,08-12-2025,haryana,gurgaon,122002,6,7
211,08-12-2025,haryana,gurgaon,122006,3,3
212,08-12-2025,haryana,gurgaon,122015,2,0
213,08-12-2025,haryana,gurgaon,122101,5,3
214,08-12-2025,haryana,gurgaon,122502,4,5
215,08-12-2025,haryana,gurgaon,122505,7,4
216,08-12-2025,haryana,mewat,122104,30,26
217,08-12-2025,haryana,yamuna nagar,135002,4,9
218,08-12-2025,haryana,yamuna nagar,135003,18,40
219,08-12-2025,himachal pradesh,lahul & spiti,172117,1,3
220,08-12-2025,himachal pradesh,lahul and spiti,175140,1,0
221,08-12-2025,jammu and kashmir,badgam,190015,0,1
222,08-12-2025,jammu and kashmir,bandipore,193121,2,3
223,08-12-2025,jammu and kashmir,bandipore,193503,4,1
224,08-12-2025,jammu and kashmir,baramula,193101,34,20
225,08-12-2025,jammu and kashmir,baramula,193108,0,1
226,08-12-2025,jammu and kashmir,baramula,193122,19,13
227,08-12-2025,jammu and kashmir,baramula,193221,0,3
228,08-12-2025,jammu and kashmir,kargil,194102,1,0
229,08-12-2025,jammu and kashmir,kargil,194103,3,0
230,08-12-2025,jammu and kashmir,kargil,194302,1,0
231,08-12-2025,jammu and kashmir,punch,185102,67,13
232,08-12-2025,jammu and kashmir,punch,185121,69,34
233,08-12-2025,jharkhand,garhwa *,822114,2,10
234,08-12-2025,jharkhand,hazaribag,825301,1,6
235,08-12-2025,jharkhand,hazaribag,825406,0,1
236,08-12-2025,jharkhand,hazaribag,825408,1,0
237,08-12-2025,jharkhand,pashchimi singhbhum,833214,0,2
238,08-12-2025,jharkhand,pashchimi singhbhum,835216,0,1
239,08-12-2025,jharkhand,purbi singhbhum,831002,3,14
240,08-12-2025,jharkhand,purbi singhbhum,831011,0,5
241,08-12-2025,jharkhand,purbi singhbhum,831016,0,1
242,08-12-2025,jharkhand,seraikela-kharsawan,831002,15,15
243,08-12-2025,jharkhand,seraikela-kharsawan,832402,1,2
244,08-12-2025,jharkhand,seraikela-kharsawan,833220,8,11
245,08-12-2025,jharkhand,seraikela-kharsawan,832401,1,11
246,08-12-2025,jharkhand,seraikela-kharsawan,832404,4,9
247,08-12-2025,maharashtra,ahmadnagar,413718,1,1
248,08-12-2025,maharashtra,ahmadnagar,413721,0,12
249,08-12-2025,maharashtra,ahmadnagar,413738,3,4
250,08-12-2025,maharashtra,ahmadnagar,414105,40,10
251,08-12-2025,maharashtra,ahmadnagar,414301,3,5
252,08-12-2025,maharashtra,ahmadnagar,414305,4,5
253,08-12-2025,maharashtra,ahmadnagar,414604,26,6
254,08-12-2025,maharashtra,ahmadnagar,414605,3,0
255,08-12-2025,maharashtra,ahmadnagar,414607,0,3
256,08-12-2025,maharashtra,ahmadnagar,422622,4,9
257,08-12-2025,maharashtra,ahmed nagar,413714,1,3
258,08-12-2025,maharashtra,ahmed nagar,413736,0,1
259,08-12-2025,maharashtra,ahmed nagar,414201,0,1
260,08-12-2025,maharashtra,ahmed nagar,414402,0,1
261,08-12-2025,maharashtra,aurangabad,431009,5,5
262,08-12-2025,maharashtra,aurangabad,431117,4,9
263,08-12-2025,maharashtra,aurangabad,431148,2,1
264,08-12-2025,maharashtra,aurangabad,431150,10,13
265,08-12-2025,maharashtra,aurangabad,431151,2,3
266,08-12-2025,maharashtra,aurangabad,431202,0,1
267,08-12-2025,maharashtra,aurangabad,431213,0,1
268,08-12-2025,maharashtra,bid,431124,0,3
269,08-12-2025,maharashtra,bid,431517,0,16
270,08-12-2025,maharashtra,bid,431519,0,3
271,08-12-2025,maharashtra,buldana,443106,2,0
272,08-12-2025,maharashtra,buldana,443206,0,1
273,08-12-2025,maharashtra,buldana,444306,0,5
274,08-12-2025,maharashtra,gondiya,441802,2,0
275,08-12-2025,maharashtra,gondiya *,441702,0,1
276,08-12-2025,maharashtra,gondiya *,441916,0,1
277,08-12-2025,maharashtra,mumbai city,400004,22,4
278,08-12-2025,maharashtra,mumbai city,400007,2,0
279,08-12-2025,maharashtra,mumbai city,400010,11,1
280,08-12-2025,maharashtra,mumbai city,400012,4,2
281,08-12-2025,maharashtra,mumbai city,400030,9,0
282,08-12-2025,maharashtra,mumbai city,400033,3,3
283,08-12-2025,maharashtra,mumbai( sub urban ),400053,0,1
284,08-12-2025,maharashtra,mumbai( sub urban ),400059,0,2
285,08-12-2025,maharashtra,mumbai( sub urban ),400068,0,4
286,08-12-2025,maharashtra,mumbai( sub urban ),400075,0,2
287,08-12-2025,maharashtra,mumbai( sub urban ),400077,0,5
288,08-12-2025,maharashtra,mumbai( sub urban ),400092,0,1
289,08-12-2025,maharashtra,nandurbar *,425452,0,2
290,08-12-2025,maharashtra,osmanabad,413511,0,1
291,08-12-2025,maharashtra,osmanabad,413602,10,13
292,08-12-2025,maharashtra,raigarh,402101,1,1
293,08-12-2025,maharashtra,raigarh,402107,21,34
294,08-12-2025,maharashtra,raigarh,402109,11,18
295,08-12-2025,maharashtra,raigarh,402116,1,0
296,08-12-2025,maharashtra,raigarh,402301,1,15
297,08-12-2025,maharashtra,raigarh,402304,3,7
298,08-12-2025,maharashtra,raigarh,402309,1,8
299,08-12-2025,maharashtra,raigarh,410203,4,19
300,08-12-2025,maharashtra,raigarh,410216,1,1
301,08-12-2025,maharashtra,raigarh,410218,13,10
302,08-12-2025,maharashtra,raigarh,415213,1,1
303,08-12-2025,maharashtra,raigarh(mh),402110,0,1
304,08-12-2025,manipur,bishnupur,795133,21,11
305,08-12-2025,manipur,churachandpur,795101,1,0
306,08-12-2025,manipur,imphal east,795005,14,20
307,08-12-2025,manipur,imphal east,795114,4,4
308,08-12-2025,manipur,imphal west,795001,9,29
309,08-12-2025,manipur,imphal west,795146,13,2
310,08-12-2025,manipur,senapati,795002,1,0
311,08-12-2025,manipur,senapati,795104,9,11
312,08-12-2025,manipur,senapati,795122,3,3
313,08-12-2025,manipur,senapati,795129,3,3
314,08-12-2025,manipur,senapati,795150,0,4
315,08-12-2025,manipur,tamenglong,795115,1,0
316,08-12-2025,manipur,thoubal,795101,1,3
317,08-12-2025,manipur,thoubal,795103,19,9
318,08-12-2025,manipur,thoubal,795148,21,10
319,08-12-2025,manipur,thoubal,795149,6,2
320,08-12-2025,meghalaya,east garo hills,794110,4,2
321,08-12-2025,meghalaya,east jaintia hills,793200,7,3
322,08-12-2025,meghalaya,east khasi hills,793003,3,2
323,08-12-2025,meghalaya,east khasi hills,793004,3,2
324,08-12-2025,meghalaya,east khasi hills,793017,8,0
325,08-12-2025,meghalaya,east khasi hills,793021,1,1
326,08-12-2025,meghalaya,east khasi hills,793112,0,4
327,08-12-2025,meghalaya,eastern west khasi hills,793120,0,1
328,08-12-2025,meghalaya,ri bhoi,793101,4,0
329,08-12-2025,meghalaya,ri bhoi,793105,4,1
330,08-12-2025,meghalaya,south garo hills,794102,2,0
331,08-12-2025,meghalaya,south west garo hills,794106,9,7
332,08-12-2025,meghalaya,south west khasi hills,793106,3,7
333,08-12-2025,meghalaya,west garo hills,794002,2,3
334,08-12-2025,meghalaya,west jaintia hills,793109,0,1
335,08-12-2025,mizoram,saiha,796901,25,3
336,08-12-2025,nagaland,chumukedima,797112,0,1
337,08-12-2025,nagaland,dimapur,797117,4,1
338,08-12-2025,nagaland,kiphire,798611,9,7
339,08-12-2025,nagaland,kohima,797004,0,2
340,08-12-2025,nagaland,mokokchung,798604,5,0
341,08-12-2025,nagaland,mokokchung,798613,2,2
342,08-12-2025,nagaland,mon,798602,6,4
343,08-12-2025,nagaland,noklak,798626,0,1
344,08-12-2025,nagaland,phek,797108,2,7
345,08-12-2025,nagaland,tuensang,798616,4,5
346,08-12-2025,odisha,baleshwar,756023,0,3
347,08-12-2025,odisha,baleshwar,756027,3,7
348,08-12-2025,odisha,baleshwar,756032,0,6
349,08-12-2025,odisha,baleshwar,756034,0,1
350,08-12-2025,odisha,baleshwar,756058,0,1
351,08-12-2025,odisha,baleshwar,756059,1,2
352,08-12-2025,odisha,baleshwar,756083,2,2
353,08-12-2025,odisha,baleshwar,756126,0,1
354,08-12-2025,odisha,baleshwar,756134,1,0
355,08-12-2025,odisha,baleswar,756002,16,6
356,08-12-2025,odisha,baleswar,756003,14,10
357,08-12-2025,odisha,baleswar,756027,20,3
358,08-12-2025,odisha,baleswar,756029,7,0
359,08-12-2025,odisha,baleswar,756032,11,10
360,08-12-2025,odisha,baleswar,756041,2,1
361,08-12-2025,odisha,baleswar,756044,7,4
362,08-12-2025,odisha,baleswar,756045,10,8
363,08-12-2025,odisha,baleswar,756060,4,1
364,08-12-2025,odisha,baleswar,756079,1,2
365,08-12-2025,odisha,baleswar,756126,9,6
366,08-12-2025,odisha,baudh,762030,1,3
367,08-12-2025,odisha,debagarh,768109,40,5
368,08-12-2025,odisha,debagarh,768110,12,7
369,08-12-2025,odisha,debagarh,768119,3,1
370,08-12-2025,odisha,debagarh,768121,8,3
371,08-12-2025,odisha,jagatsinghpur,754111,1,2
372,08-12-2025,odisha,jagatsinghpur,754113,0,3
373,08-12-2025,odisha,jagatsinghpur,754119,0,4
374,08-12-2025,odisha,jagatsinghpur,754138,1,3
375,08-12-2025,odisha,jajapur,755003,6,2
376,08-12-2025,odisha,jajapur,755007,11,6
377,08-12-2025,odisha,jajapur,755010,2,0
378,08-12-2025,odisha,jajapur,755012,3,1
379,08-12-2025,odisha,jajapur,755013,3,1
380,08-12-2025,odisha,jajapur,755014,2,6
381,08-12-2025,odisha,jajapur,755025,4,2
382,08-12-2025,odisha,jajapur,755027,2,2
383,08-12-2025,odisha,jajapur,755032,0,1
384,08-12-2025,odisha,jajapur,755043,4,4
385,08-12-2025,odisha,kendujhar,758021,19,14
386,08-12-2025,odisha,kendujhar,758022,3,6
387,08-12-2025,odisha,kendujhar,758035,11,6
388,08-12-2025,odisha,kendujhar,758082,3,4
389,08-12-2025,odisha,khorda,751001,15,0
390,08-12-2025,odisha,khorda,751003,8,1
391,08-12-2025,odisha,khorda,751023,0,1
392,08-12-2025,odisha,khorda,751025,2,0
393,08-12-2025,odisha,khorda,751031,2,0
394,08-12-2025,odisha,khorda,752018,7,3
395,08-12-2025,odisha,khorda,752031,19,12
396,08-12-2025,odisha,khorda,752056,19,4
397,08-12-2025,odisha,khorda,752077,0,1
398,08-12-2025,odisha,khorda,752100,7,2
399,08-12-2025,odisha,khorda,752106,1,0
400,08-12-2025,odisha,nabarangapur,764059,18,11
401,08-12-2025,odisha,nabarangapur,764063,6,9
402,08-12-2025,odisha,nabarangapur,764074,25,36
403,08-12-2025,odisha,sonapur,767017,3,1
404,08-12-2025,odisha,sonapur,767018,28,11
405,08-12-2025,odisha,sonapur,767019,10,4
406,08-12-2025,odisha,subarnapur,767017,0,1
407,08-12-2025,odisha,subarnapur,767019,0,6
408,08-12-2025,odisha,subarnapur,767068,0,1
409,08-12-2025,odisha,sundergarh,769002,1,4
410,08-12-2025,odisha,sundergarh,769003,5,8
411,08-12-2025,odisha,sundergarh,769042,3,4
412,08-12-2025,odisha,sundergarh,770001,7,0
413,08-12-2025,odisha,sundergarh,770012,7,4
414,08-12-2025,odisha,sundergarh,770014,3,0
415,08-12-2025,odisha,sundergarh,770022,3,3
416,08-12-2025,odisha,sundergarh,770023,2,2
417,08-12-2025,odisha,sundergarh,770046,2,0
418,08-12-2025,odisha,sundergarh,770075,1,0
419,08-12-2025,odisha,baleshwar,756032,0,1
420,08-12-2025,odisha,baleshwar,756049,3,0
421,08-12-2025,odisha,baleshwar,756084,0,1
422,08-12-2025,puducherry,pondicherry,605011,1,0
423,08-12-2025,puducherry,pondicherry,605012,0,2
424,08-12-2025,puducherry,pondicherry,605501,2,3
425,08-12-2025,puducherry,pondicherry,607402,1,9
426,08-12-2025,punjab,firozpur,152002,1,7
427,08-12-2025,punjab,firozpur,152004,4,1
428,08-12-2025,punjab,firozpur,152116,1,1
429,08-12-2025,punjab,firozpur,152117,0,4
430,08-12-2025,punjab,muktsar,152025,0,8
431,08-12-2025,punjab,muktsar,152114,0,6
432,08-12-2025,punjab,nawanshahr,144511,0,1
433,08-12-2025,punjab,nawanshahr,144518,0,1
434,08-12-2025,punjab,nawanshahr,144521,0,5
435,08-12-2025,punjab,s.a.s nagar(mohali),140306,0,1
436,08-12-2025,punjab,s.a.s nagar(mohali),160014,0,1
437,08-12-2025,punjab,sas nagar (mohali),140308,3,2
438,08-12-2025,punjab,shaheed bhagat singh nagar,144422,1,1
439,08-12-2025,punjab,shaheed bhagat singh nagar,144510,2,0
440,08-12-2025,punjab,shaheed bhagat singh nagar,144521,17,17
441,08-12-2025,punjab,shaheed bhagat singh nagar,144525,2,2
442,08-12-2025,punjab,shaheed bhagat singh nagar,144632,10,5
443,08-12-2025,rajasthan,chittaurgarh,312601,0,1
444,08-12-2025,rajasthan,chittaurgarh,312604,1,1
445,08-12-2025,rajasthan,chittaurgarh,312613,0,2
446,08-12-2025,rajasthan,jalor,343042,7,7
447,08-12-2025,rajasthan,jhunjhunun,331030,2,4
448,08-12-2025,rajasthan,jhunjhunun,333011,5,1
449,08-12-2025,rajasthan,jhunjhunun,333028,1,0
450,08-12-2025,rajasthan,jhunjhunun,333031,9,11
451,08-12-2025,rajasthan,jhunjhunun,333036,4,4
452,08-12-2025,rajasthan,jhunjhunun,333042,11,12
453,08-12-2025,rajasthan,jhunjhunun,333308,2,4
454,08-12-2025,rajasthan,jhunjhunun,333515,2,4
455,08-12-2025,rajasthan,jhunjhunun,333705,4,5
456,08-12-2025,sikkim,east,737101,0,1
457,08-12-2025,sikkim,east,737132,2,0
458,08-12-2025,sikkim,east,737133,1,1
459,08-12-2025,sikkim,north,737107,1,0
460,08-12-2025,sikkim,south,737128,0,1
461,08-12-2025,tamil nadu,kanyakumari,629001,5,3
462,08-12-2025,tamil nadu,kanyakumari,629004,11,0
463,08-12-2025,tamil nadu,kanyakumari,629153,5,2
464,08-12-2025,tamil nadu,kanyakumari,629164,2,0
465,08-12-2025,tamil nadu,kanyakumari,629167,3,0
466,08-12-2025,tamil nadu,kanyakumari,629170,1,0
467,08-12-2025,tamil nadu,kanyakumari,629174,1,1
468,08-12-2025,tamil nadu,kanyakumari,629177,13,0
469,08-12-2025,tamil nadu,kanyakumari,629178,3,0
470,08-12-2025,tamil nadu,kanyakumari,629202,2,0
471,08-12-2025,tamil nadu,kanyakumari,629401,2,2
472,08-12-2025,tamil nadu,kanyakumari,629402,2,0
473,08-12-2025,tamil nadu,kanyakumari,629601,2,1
474,08-12-2025,tamil nadu,kanyakumari,629703,2,0
475,08-12-2025,tamil nadu,tirupattur,635653,3,1
476,08-12-2025,tamil nadu,tirupattur,635804,1,2
477,08-12-2025,tamil nadu,tirupattur,635851,2,2
478,08-12-2025,tamil nadu,tiruvallur,600066,12,8
479,08-12-2025,tamil nadu,tiruvallur,600072,13,13
480,08-12-2025,tamil nadu,tiruvallur,600087,4,7
481,08-12-2025,tamil nadu,tiruvallur,600107,9,4
482,08-12-2025,tamil nadu,tiruvallur,600123,4,9
483,08-12-2025,tamil nadu,tiruvallur,601203,9,12
484,08-12-2025,tamil nadu,tiruvallur,601204,15,3
485,08-12-2025,tamil nadu,tiruvallur,602026,7,3
486,08-12-2025,tamil nadu,tiruvallur,631204,2,2
487,08-12-2025,tamil nadu,tiruvallur,631207,5,0
488,08-12-2025,tamil nadu,tiruvallur,631210,7,2
489,08-12-2025,tamil nadu,tiruvallur,631213,3,0
490,08-12-2025,tamil nadu,tiruvallur,631302,8,6
491,08-12-2025,tamil nadu,villupuram,604152,4,3
492,08-12-2025,tamil nadu,villupuram,604153,2,1
493,08-12-2025,tamil nadu,villupuram,604204,7,1
494,08-12-2025,tamil nadu,villupuram,604206,1,1
495,08-12-2025,tamil nadu,villupuram,604207,3,0
496,08-12-2025,tamil nadu,villupuram,604208,6,6
497,08-12-2025,tamil nadu,villupuram,604302,4,3
498,08-12-2025,tamil nadu,villupuram,604303,12,0
499,08-12-2025,tamil nadu,villupuram,605102,1,0
500,08-12-2025,tamil nadu,villupuram,605106,3,1
501,08-12-2025,tamil nadu,villupuram,605108,7,5
502,08-12-2025,tamil nadu,villupuram,605203,10,1
503,08-12-2025,tamil nadu,villupuram,605401,11,3
504,08-12-2025,tamil nadu,villupuram,605602,12,9
